sourceId,sourcePath,decision,targetId,targetPath,relationshipType,placement,anchorText,approvalBasis,confidence,deferReason
article.resource-math-algebra-radicals-exponents-functions-solving-radical-equations,/subjects/math/algebra/radicals-exponents-functions/solving-radical-equations/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-algebra-rational-expressions-add-subtract-rational-expressions,/subjects/math/algebra/rational-expressions/add-subtract-rational-expressions/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-algebra-rational-expressions-direct-inverse-variation,/subjects/math/algebra/rational-expressions/direct-inverse-variation/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-algebra-rational-expressions-rational-domain-restrictions,/subjects/math/algebra/rational-expressions/rational-domain-restrictions/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-algebra-rational-expressions-simplifying-complex-rational-expressions,/subjects/math/algebra/rational-expressions/simplifying-complex-rational-expressions/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-algebra-rational-expressions-simplifying-rational-expressions,/subjects/math/algebra/rational-expressions/simplifying-rational-expressions/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-algebra-rational-expressions-solving-rational-equations,/subjects/math/algebra/rational-expressions/solving-rational-equations/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.topic-math-algebra-systems-inequalities,/subjects/math/algebra/systems-inequalities/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-algebra-systems-inequalities-choosing-system-method,/subjects/math/algebra/systems-inequalities/choosing-system-method/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-algebra-systems-inequalities-compound-inequalities,/subjects/math/algebra/systems-inequalities/compound-inequalities/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-algebra-systems-inequalities-elimination-systems,/subjects/math/algebra/systems-inequalities/elimination-systems/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-algebra-systems-inequalities-graphing-linear-inequalities,/subjects/math/algebra/systems-inequalities/graphing-linear-inequalities/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-algebra-systems-inequalities-no-one-infinite-solutions,/subjects/math/algebra/systems-inequalities/no-one-infinite-solutions/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-algebra-systems-inequalities-substitution-systems,/subjects/math/algebra/systems-inequalities/substitution-systems/,NO_EXACT_TEXTBOOK_MATCH,,,,,,,,"No candidate passed every exactness condition: exactSharedSkill, samePrimaryConcept."
article.resource-math-calculus-derivative-applications-curve-sketching-from-derivatives,/subjects/math/calculus/derivative-applications/curve-sketching-from-derivatives/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-calculus-derivative-applications-linear-approximation,/subjects/math/calculus/derivative-applications/linear-approximation/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-calculus-derivative-applications-optimization,/subjects/math/calculus/derivative-applications/optimization/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-calculus-derivative-applications-related-rates,/subjects/math/calculus/derivative-applications/related-rates/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
textbook-lesson.calc-1-unit-2b-derivative-applications-unit-2b-review,/subjects/math/calculus/derivative-applications/unit-2b-review/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-calculus-derivatives-chain-rule,/subjects/math/calculus/derivatives/chain-rule/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-calculus-derivatives-derivative-of-x-to-the-x,/subjects/math/calculus/derivatives/derivative-of-x-to-the-x/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-calculus-derivatives-derivatives-of-inverse-trig-functions,/subjects/math/calculus/derivatives/derivatives-of-inverse-trig-functions/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-calculus-derivatives-product-rule-vs-quotient-rule,/subjects/math/calculus/derivatives/product-rule-vs-quotient-rule/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-calculus-integration-applications-average-value-of-a-function,/subjects/math/calculus/integration-applications/average-value-of-a-function/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-calculus-integration-applications-washer-vs-shell,/subjects/math/calculus/integration-applications/washer-vs-shell/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-calculus-integration-applications-work-and-fluid-force,/subjects/math/calculus/integration-applications/work-and-fluid-force/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.topic-math-calculus-integration-techniques,/subjects/math/calculus/integration-techniques/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-calculus-integration-techniques-improper-integrals,/subjects/math/calculus/integration-techniques/improper-integrals/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-calculus-integration-techniques-integration-by-parts-strategy,/subjects/math/calculus/integration-techniques/integration-by-parts-strategy/,EXACT_TEXTBOOK_MATCH,textbook-lesson.subjects-math-calculus-integrals-integration-by-parts,/subjects/math/calculus/integrals/integration-by-parts/,full_version_of,article-intro,Integration by Parts,Exact primary concept concept.math.integration-by-parts; Branch 1 editorial ownership adjudication for a repeated/tabular/cyclic modifier intent; complementary short-form and textbook roles; unique highest eligible candidate; canonical published index target; similarity 0.357 below 0.72.,high,
article.resource-math-calculus-integration-techniques-partial-fractions,/subjects/math/calculus/integration-techniques/partial-fractions/,EXACT_TEXTBOOK_MATCH,textbook-lesson.subjects-math-calculus-integrals-partial-fractions,/subjects/math/calculus/integrals/partial-fractions/,full_version_of,article-intro,Partial Fractions,Exact primary concept concept.math.integral; shared skill skill.math.partial-fractions; complementary short-form and textbook roles; unique highest eligible candidate; canonical published index target; similarity 0.500 below 0.72.,high,
article.resource-math-calculus-integration-techniques-trigonometric-integrals,/subjects/math/calculus/integration-techniques/trigonometric-integrals/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-calculus-integration-techniques-trigonometric-substitution,/subjects/math/calculus/integration-techniques/trigonometric-substitution/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-calculus-integration-techniques-u-substitution,/subjects/math/calculus/integration-techniques/u-substitution/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-calculus-limits-continuity-continuity-at-a-point,/subjects/math/calculus/limits-continuity/continuity-at-a-point/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-calculus-limits-continuity-evaluating-indeterminate-limits,/subjects/math/calculus/limits-continuity/evaluating-indeterminate-limits/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-calculus-limits-continuity-infinite-limits-and-asymptotes,/subjects/math/calculus/limits-continuity/infinite-limits-and-asymptotes/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-calculus-limits-continuity-limit-of-sin-x-over-x,/subjects/math/calculus/limits-continuity/limit-of-sin-x-over-x/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-calculus-limits-continuity-one-sided-limits-and-jump-discontinuities,/subjects/math/calculus/limits-continuity/one-sided-limits-and-jump-discontinuities/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-calculus-limits-continuity-squeeze-theorem,/subjects/math/calculus/limits-continuity/squeeze-theorem/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
textbook-lesson.limits.calculus-limits-and-continuity,/subjects/math/calculus/limits-continuity/unit/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
textbook-lesson.limits.calculus-limits-cosine-limits,/subjects/math/calculus/limits-continuity/unit/limits/cosine-limits/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
textbook-lesson.limits.calculus-limits-infinite-limits,/subjects/math/calculus/limits-continuity/unit/limits/infinite-limits/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
textbook-lesson.limits.calculus-limits-trig-limit-decision-guide,/subjects/math/calculus/limits-continuity/unit/limits/trig-limit-decision-guide/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
textbook-lesson.limits.calculus-limits-trig-limits-concept-quiz,/subjects/math/calculus/limits-continuity/unit/limits/trig-limits-concept-quiz/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
textbook-lesson.limits.calculus-limits-trig-limits-practice,/subjects/math/calculus/limits-continuity/unit/limits/trig-limits-practice/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
textbook-lesson.limits.calculus-limits-trig-limits-review,/subjects/math/calculus/limits-continuity/unit/limits/trig-limits-review/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-calculus-sequences-series-harmonic-series-diverges,/subjects/math/calculus/sequences-series/harmonic-series-diverges/,NO_EXACT_TEXTBOOK_MATCH,,,,,,,,"No candidate passed every exactness condition: canonicalIndexableTarget, exactSharedSkill, samePrimaryConcept."
article.resource-math-calculus-sequences-series-ratio-test-vs-root-test,/subjects/math/calculus/sequences-series/ratio-test-vs-root-test/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
