concept_id,label,confidence,route_count
"concept.general.how-we-verify","how we verify","high-confidence-inferred","1"
"concept.calculus.infinite-geometric-sum","infinite geometric sum","high-confidence-inferred","1"
"concept.calculus.integral","integral","high-confidence-inferred","71"
"concept.general.integration-by-parts","integration-by-parts","high-confidence-inferred","8"
"concept.algebra.interpreting-linear-models","interpreting linear models","high-confidence-inferred","1"
"concept.calculus.interval-of-convergence-example","interval of convergence example","high-confidence-inferred","1"
"concept.algebra.inverse-functions-vs-reciprocals","inverse functions vs reciprocals","high-confidence-inferred","1"
"concept.general.limit","limit","high-confidence-inferred","14"
"concept.algebra.linear-relationships","linear relationships","high-confidence-inferred","1"
"concept.general.local-maximum","local maximum","high-confidence-inferred","1"
"concept.general.local-minimum","local minimum","high-confidence-inferred","1"
"concept.general.math","math","high-confidence-inferred","3"
"concept.algebra.multiply-polynomials","multiply polynomials","high-confidence-inferred","1"
"concept.algebra.no-one-infinite-solutions","no one infinite solutions","high-confidence-inferred","1"
"concept.general.optimization","optimization","high-confidence-inferred","13"
"concept.algebra.order-of-operations-with-variables","order of operations with variables","high-confidence-inferred","1"
"concept.algebra.parallel-perpendicular-lines","parallel perpendicular lines","high-confidence-inferred","1"
"concept.algebra.point-slope-vs-slope-intercept","point slope vs slope intercept","high-confidence-inferred","1"
"concept.algebra.polynomials-factoring","polynomials factoring","high-confidence-inferred","1"
"concept.general.power-series","power-series","high-confidence-inferred","1"
"concept.general.practice","practice","high-confidence-inferred","1"
"concept.calculus.practice-exams","practice exams","high-confidence-inferred","1"
"concept.general.privacy","privacy","high-confidence-inferred","1"
"concept.algebra.radicals-exponents-functions","radicals exponents functions","high-confidence-inferred","1"
"concept.general.radius-of-convergence","radius of convergence","high-confidence-inferred","1"
"concept.calculus.ratio-test-example","ratio test example","high-confidence-inferred","1"
"concept.algebra.rational-domain-restrictions","rational domain restrictions","high-confidence-inferred","1"
"concept.algebra.rational-exponents","rational exponents","high-confidence-inferred","1"
"concept.algebra.rational-expressions","rational expressions","high-confidence-inferred","1"
"concept.general.related-rates","related-rates","high-confidence-inferred","1"
"concept.general.resources","resources","high-confidence-inferred","1"
"concept.calculus.root-test-example","root test example","high-confidence-inferred","1"
"concept.general.search","search","high-confidence-inferred","1"
"concept.general.sequence","sequence","high-confidence-inferred","27"
"concept.general.series","series","high-confidence-inferred","3"
"concept.algebra.simplifying-complex-rational-expressions","simplifying complex rational expressions","high-confidence-inferred","1"
"concept.algebra.simplifying-radicals","simplifying radicals","high-confidence-inferred","1"
"concept.algebra.simplifying-rational-expressions","simplifying rational expressions","high-confidence-inferred","1"
"concept.algebra.slope-as-rate-of-change","slope as rate of change","high-confidence-inferred","1"
"concept.algebra.solving-linear-equations","solving linear equations","high-confidence-inferred","1"
"concept.algebra.solving-radical-equations","solving radical equations","high-confidence-inferred","1"
"concept.algebra.solving-rational-equations","solving rational equations","high-confidence-inferred","1"
"concept.general.source-policy","source policy","high-confidence-inferred","1"
"concept.algebra.special-factor-patterns","special factor patterns","high-confidence-inferred","1"
"concept.general.subjects","subjects","high-confidence-inferred","1"
"concept.algebra.substitution-systems","substitution systems","high-confidence-inferred","1"
"concept.algebra.systems-inequalities","systems inequalities","high-confidence-inferred","1"
"concept.general.taylor-series","taylor-series","high-confidence-inferred","36"
"concept.general.u-substitution","u-substitution","high-confidence-inferred","1"
"concept.algebra.variables-on-both-sides","variables on both sides","high-confidence-inferred","1"
"concept.calculus.visuals","visuals","high-confidence-inferred","1"
"concept.calculus.worked-problems","worked problems","high-confidence-inferred","1"
"concept.calculus.worksheets","worksheets","high-confidence-inferred","1"
