route,pageRole,currentTitle,currentH1,classification,lockedForHandoff3,editorialDecision,editorialNotes
"/subjects/math/algebra/polynomials-factoring/special-factor-patterns/","decision-guide","Difference of squares or perfect-square trinomial? | Better Grades","Difference of squares or perfect-square trinomial?","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/algebra/radicals-exponents-functions/","quick-answer","Radicals, Exponents & Functions Algebra resources | Better Grades","Radicals, Exponents & Functions","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/algebra/radicals-exponents-functions/exponential-growth-and-decay/","concept-explainer","Exponential growth and decay: reading the model | Better Grades","Exponential growth and decay: reading the model","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/algebra/radicals-exponents-functions/function-notation/","concept-explainer","Function notation: inputs, outputs, and what f(x) does not mean | Better Grades","Function notation: inputs, outputs, and what f(x) does not mean","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/algebra/radicals-exponents-functions/inverse-functions-vs-reciprocals/","decision-guide","Inverse function or reciprocal? The −1 notation has two different jobs | Better Grades","Inverse function or reciprocal? The −1 notation has two different jobs","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/algebra/radicals-exponents-functions/rational-exponents/","concept-explainer","Rational exponents: the bridge between powers and roots | Better Grades","Rational exponents: the bridge between powers and roots","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/algebra/radicals-exponents-functions/simplifying-radicals/","method-guide","Simplifying radicals by pulling out perfect powers | Better Grades","Simplifying radicals by pulling out perfect powers","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/algebra/radicals-exponents-functions/solving-radical-equations/","method-guide","Solving radical equations and checking for extraneous roots | Better Grades","Solving radical equations and checking for extraneous roots","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/algebra/rational-expressions/","quick-answer","Rational Expressions Algebra resources | Better Grades","Rational Expressions","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/algebra/rational-expressions/add-subtract-rational-expressions/","method-guide","Adding and subtracting rational expressions | Better Grades","Adding and subtracting rational expressions","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/algebra/rational-expressions/direct-inverse-variation/","decision-guide","Direct or inverse variation: which model matches the relationship? | Better Grades","Direct or inverse variation: which model matches the relationship?","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/algebra/rational-expressions/rational-domain-restrictions/","concept-explainer","Domain restrictions in rational expressions | Better Grades","Domain restrictions in rational expressions","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/algebra/rational-expressions/simplifying-complex-rational-expressions/","method-guide","Simplifying complex rational expressions | Better Grades","Simplifying complex rational expressions","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/algebra/rational-expressions/simplifying-rational-expressions/","method-guide","Simplifying rational expressions by factors, not by terms | Better Grades","Simplifying rational expressions by factors, not by terms","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/algebra/rational-expressions/solving-rational-equations/","method-guide","Solving rational equations without accepting forbidden answers | Better Grades","Solving rational equations without accepting forbidden answers","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/algebra/systems-inequalities/","quick-answer","Systems & Inequalities Algebra resources | Better Grades","Systems & Inequalities","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/algebra/systems-inequalities/choosing-system-method/","decision-guide","Graphing, substitution, or elimination: which system method fits? | Better Grades","Graphing, substitution, or elimination: which system method fits?","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/algebra/systems-inequalities/compound-inequalities/","method-guide","Compound inequalities: and, or, and the sign flip | Better Grades","Compound inequalities: and, or, and the sign flip","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/algebra/systems-inequalities/elimination-systems/","method-guide","Solving systems by elimination | Better Grades","Solving systems by elimination","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/algebra/systems-inequalities/graphing-linear-inequalities/","method-guide","Graphing linear inequalities in two variables | Better Grades","Graphing linear inequalities in two variables","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/algebra/systems-inequalities/no-one-infinite-solutions/","concept-explainer","One solution, no solution, or infinitely many? | Better Grades","One solution, no solution, or infinitely many?","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/algebra/systems-inequalities/substitution-systems/","method-guide","Solving systems by substitution | Better Grades","Solving systems by substitution","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/calculus/derivative-applications/advanced-cauchy-mvt/","textbook-lesson","Cauchy s Mean Value Theorem and L Hopital s Rule | Unit 2B | Better Grades","Cauchy s Mean Value Theorem and L Hopital s Rule","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/calculus/derivative-applications/advanced-convexity/","textbook-lesson","Convexity, Tangent Inequalities, and Global Minima | Unit 2B | Better Grades","Convexity, Tangent Inequalities, and Global Minima","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/calculus/derivative-applications/advanced-newton-convergence/","textbook-lesson","Newton s Method: Convergence and Failure Modes | Unit 2B | Better Grades","Newton s Method: Convergence and Failure Modes","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/calculus/derivative-applications/advanced-notes/","textbook-lesson","Advanced Notes: Analysis Behind the Applications | Unit 2B | Better Grades","Advanced Notes: Analysis Behind the Applications","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/calculus/derivative-applications/advanced-sensitivity-elasticity/","textbook-lesson","Sensitivity, Elasticity, and Condition Numbers | Unit 2B | Better Grades","Sensitivity, Elasticity, and Condition Numbers","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/calculus/derivative-applications/anatomy-of-optimization/","textbook-lesson","The Anatomy of an Optimization Problem | Unit 2B | Better Grades","The Anatomy of an Optimization Problem","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/calculus/derivative-applications/approximation-concept-quiz/","textbook-lesson","Approximation Concept Quiz | Unit 2B | Better Grades","Approximation Concept Quiz","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/calculus/derivative-applications/approximation-review/","textbook-lesson","Approximation and Newton s Method Review | Unit 2B | Better Grades","Approximation and Newton s Method Review","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/calculus/derivative-applications/bridge-diagnostic/","textbook-lesson","Derivative Applications Bridge Diagnostic | Unit 2B | Better Grades","Derivative Applications Bridge Diagnostic","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/calculus/derivative-applications/closed-interval-method/","textbook-lesson","The Closed Interval Method | Unit 2B | Better Grades","The Closed Interval Method","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/calculus/derivative-applications/common-errors/","textbook-lesson","Common Derivative Application and Optimization Errors | Unit 2B | Better Grades","Common Derivative Application and Optimization Errors","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/calculus/derivative-applications/concavity/","textbook-lesson","Concavity and Inflection Points | Unit 2B | Better Grades","Concavity and Inflection Points","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/calculus/derivative-applications/cumulative-practice/","textbook-lesson","Unit 2B Cumulative Applications Practice | Better Grades","Unit 2B Cumulative Applications Practice","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/calculus/derivative-applications/curve-sketching-from-derivatives/","method-guide","Curve sketching from first and second derivatives | Unit 2B | Better Grades","Curve sketching from first and second derivatives","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/calculus/derivative-applications/curve-sketching/","textbook-lesson","Complete Curve Sketching | Unit 2B | Better Grades","Complete Curve Sketching","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/calculus/derivative-applications/derivative-graphs/","textbook-lesson","Reading Function and Derivative Graphs | Unit 2B | Better Grades","Reading Function and Derivative Graphs","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/calculus/derivative-applications/differentials/","textbook-lesson","Differentials | Unit 2B | Better Grades","Differentials","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/calculus/derivative-applications/error-estimation/","textbook-lesson","Error Estimation with Differentials | Unit 2B | Better Grades","Error Estimation with Differentials","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/calculus/derivative-applications/extrema-and-critical-numbers/","textbook-lesson","Extrema and Critical Numbers | Unit 2B | Better Grades","Extrema and Critical Numbers","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/calculus/derivative-applications/first-derivative-test/","textbook-lesson","The First Derivative Test | Unit 2B | Better Grades","The First Derivative Test","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/calculus/derivative-applications/graph-analysis-story/","textbook-lesson","Graph Analysis as a Coherent Story | Unit 2B | Better Grades","Graph Analysis as a Coherent Story","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/calculus/derivative-applications/how-to-translate-word-problems/","textbook-lesson","How to Translate Derivative Word Problems | Unit 2B | Better Grades","How to Translate Derivative Word Problems","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/calculus/derivative-applications/increasing-decreasing/","textbook-lesson","Increasing and Decreasing Intervals | Unit 2B | Better Grades","Increasing and Decreasing Intervals","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/calculus/derivative-applications/interpretation-concept-quiz/","textbook-lesson","Interpretation and Motion Concept Quiz | Unit 2B | Better Grades","Interpretation and Motion Concept Quiz","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/calculus/derivative-applications/interpretation-review/","textbook-lesson","Higher Derivatives and Motion Review | Unit 2B | Better Grades","Higher Derivatives and Motion Review","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/calculus/derivative-applications/interpreting-derivatives/","textbook-lesson","How to Interpret a Derivative in Context | Unit 2B | Better Grades","How to Interpret a Derivative in Context","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/calculus/derivative-applications/interpreting-higher-derivatives/","textbook-lesson","Interpreting Higher Derivatives | Unit 2B | Better Grades","Interpreting Higher Derivatives","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/calculus/derivative-applications/lhopital-concept-quiz/","textbook-lesson","L Hopital Concept Quiz | Unit 2B | Better Grades","L Hopital Concept Quiz","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/calculus/derivative-applications/lhopital-infinity-over-infinity/","textbook-lesson","L Hopital s Rule for infinity/infinity | Unit 2B | Better Grades","L Hopital s Rule for infinity/infinity","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/calculus/derivative-applications/lhopital-is-not-cancellation/","textbook-lesson","L Hopital s Rule Is Not Quotient Cancellation | Unit 2B | Better Grades","L Hopital s Rule Is Not Quotient Cancellation","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/calculus/derivative-applications/lhopital-review/","textbook-lesson","L Hopital s Rule Review | Unit 2B | Better Grades","L Hopital s Rule Review","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/calculus/derivative-applications/lhopital-rule/","textbook-lesson","L Hopital s Rule | Unit 2B | Better Grades","L Hopital s Rule","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/calculus/derivative-applications/lhopital-zero-over-zero/","textbook-lesson","L Hopital s Rule for 0/0 | Unit 2B | Better Grades","L Hopital s Rule for 0/0","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/calculus/derivative-applications/linear-approximation/","concept-explainer","Linear approximation: use the tangent line as a local calculator | Unit 2B | Better Grades","Linear approximation: use the tangent line as a local calculator","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/calculus/derivative-applications/linearization-practice/","textbook-lesson","Using Linearization | Unit 2B | Better Grades","Using Linearization","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/calculus/derivative-applications/local-linearity/","textbook-lesson","Local Linearity | Unit 2B | Better Grades","Local Linearity","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/calculus/derivative-applications/manufacturing-tolerance/","textbook-lesson","Manufacturing Tolerances and Error Propagation | Unit 2B | Better Grades","Manufacturing Tolerances and Error Propagation","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
