route,pageRole,verticalPixelsBeforeContent,wordsBeforeContent,navigationBlocksBeforeContent,recommendedReview,editorialDecision,editorialNotes
"/glossary/math/absolute-convergence/","glossary-term","490","17","1","Review representative template friction in Handoff 3","COMPRESS_SHARED_TEMPLATE","Use the H3 shared-template contract: one concise opening, direct role-specific content first, and supporting navigation after the educational task."
"/glossary/math/implicit-differentiation/","glossary-term","490","17","1","Review representative template friction in Handoff 3","COMPRESS_SHARED_TEMPLATE","Use the H3 shared-template contract: one concise opening, direct role-specific content first, and supporting navigation after the educational task."
"/subjects/math/calculus/practice-exams/calculus-1-final/","practice-exam","519","24","1","Review representative template friction in Handoff 3","KEEP_CURRENT_ROLE_TEMPLATE","The representative route does not show a role-level defect that warrants broad template change; preserve it and verify it in the browser matrix."
"/subjects/math/calculus/practice-exams/calculus-2-final/","practice-exam","519","24","1","Review representative template friction in Handoff 3","KEEP_CURRENT_ROLE_TEMPLATE","The representative route does not show a role-level defect that warrants broad template change; preserve it and verify it in the browser matrix."
"/practice/math/calculus/exams/calculus-foundations/","practice-exam","190","0","0","Review representative template friction in Handoff 3","KEEP_CURRENT_ROLE_TEMPLATE","The representative route does not show a role-level defect that warrants broad template change; preserve it and verify it in the browser matrix."
"/resources/","resource-library","493","12","2","Review representative template friction in Handoff 3","KEEP_CURRENT_ROLE_TEMPLATE","The representative route does not show a role-level defect that warrants broad template change; preserve it and verify it in the browser matrix."
"/subjects/math/calculus/formula-sheets/","resource-hub","493","15","2","Review representative template friction in Handoff 3","KEEP_CURRENT_ROLE_TEMPLATE","The representative route does not show a role-level defect that warrants broad template change; preserve it and verify it in the browser matrix."
"/subjects/math/calculus/practice-exams/","resource-hub","443","15","2","Review representative template friction in Handoff 3","KEEP_CURRENT_ROLE_TEMPLATE","The representative route does not show a role-level defect that warrants broad template change; preserve it and verify it in the browser matrix."
"/subjects/math/calculus/visuals/","resource-hub","443","15","2","Review representative template friction in Handoff 3","KEEP_CURRENT_ROLE_TEMPLATE","The representative route does not show a role-level defect that warrants broad template change; preserve it and verify it in the browser matrix."
"/subjects/math/calculus/formula-sheets/derivative-rules/","formula-sheet","470","22","1","Review representative template friction in Handoff 3","KEEP_CURRENT_ROLE_TEMPLATE","The representative route does not show a role-level defect that warrants broad template change; preserve it and verify it in the browser matrix."
"/subjects/math/calculus/derivatives/implicit-differentiation/","textbook-lesson","364","16","5","Review representative template friction in Handoff 3","COMPRESS_SHARED_TEMPLATE","Use the H3 shared-template contract: one concise opening, direct role-specific content first, and supporting navigation after the educational task."
"/subjects/math/calculus/derivatives/logarithmic-differentiation/","textbook-lesson","364","16","5","Review representative template friction in Handoff 3","COMPRESS_SHARED_TEMPLATE","Use the H3 shared-template contract: one concise opening, direct role-specific content first, and supporting navigation after the educational task."
"/subjects/math/calculus/derivative-applications/mean-value-theorem/","textbook-lesson","329","16","5","Review representative template friction in Handoff 3","COMPRESS_SHARED_TEMPLATE","Use the H3 shared-template contract: one concise opening, direct role-specific content first, and supporting navigation after the educational task."
"/practice/math/calculus/challenges/integration-bee/","assessment","331","0","0","Review representative template friction in Handoff 3","KEEP_CURRENT_ROLE_TEMPLATE","The representative route does not show a role-level defect that warrants broad template change; preserve it and verify it in the browser matrix."
"/practice/math/calculus/diagnostics/calculus-readiness/","assessment","190","0","0","Review representative template friction in Handoff 3","KEEP_CURRENT_ROLE_TEMPLATE","The representative route does not show a role-level defect that warrants broad template change; preserve it and verify it in the browser matrix."
"/practice/math/calculus/quizzes/integration-method-selection/","assessment","190","0","0","Review representative template friction in Handoff 3","KEEP_CURRENT_ROLE_TEMPLATE","The representative route does not show a role-level defect that warrants broad template change; preserve it and verify it in the browser matrix."
"/subjects/math/calculus/derivative-applications/curve-sketching-from-derivatives/","method-guide","319","11","5","Review representative template friction in Handoff 3","COMPRESS_SHARED_TEMPLATE","Use the H3 shared-template contract: one concise opening, direct role-specific content first, and supporting navigation after the educational task."
"/subjects/math/calculus/derivative-applications/linear-approximation/","method-guide","319","11","5","Review representative template friction in Handoff 3","COMPRESS_SHARED_TEMPLATE","Use the H3 shared-template contract: one concise opening, direct role-specific content first, and supporting navigation after the educational task."
"/subjects/math/calculus/derivatives/derivatives-of-inverse-trig-functions/","method-guide","319","12","5","Review representative template friction in Handoff 3","COMPRESS_SHARED_TEMPLATE","Use the H3 shared-template contract: one concise opening, direct role-specific content first, and supporting navigation after the educational task."
"/subjects/math/calculus/derivatives/product-rule-vs-quotient-rule/","decision-guide","319","12","5","Review representative template friction in Handoff 3","COMPRESS_SHARED_TEMPLATE","Use the H3 shared-template contract: one concise opening, direct role-specific content first, and supporting navigation after the educational task."
"/subjects/math/calculus/integration-applications/washer-vs-shell/","decision-guide","319","12","5","Review representative template friction in Handoff 3","COMPRESS_SHARED_TEMPLATE","Use the H3 shared-template contract: one concise opening, direct role-specific content first, and supporting navigation after the educational task."
"/subjects/math/calculus/integration-applications/work-and-fluid-force/","decision-guide","319","12","5","Review representative template friction in Handoff 3","COMPRESS_SHARED_TEMPLATE","Use the H3 shared-template contract: one concise opening, direct role-specific content first, and supporting navigation after the educational task."
"/subjects/math/calculus/integration-techniques/improper-integrals/","quick-answer","319","11","5","Review representative template friction in Handoff 3","COMPRESS_SHARED_TEMPLATE","Use the H3 shared-template contract: one concise opening, direct role-specific content first, and supporting navigation after the educational task."
"/subjects/math/calculus/derivatives/derivative-of-x-to-the-x/","quick-answer","294","12","5","Review representative template friction in Handoff 3","COMPRESS_SHARED_TEMPLATE","Use the H3 shared-template contract: one concise opening, direct role-specific content first, and supporting navigation after the educational task."
"/subjects/math/algebra/linear-relationships/interpreting-linear-models/","quick-answer","253","7","2","Review representative template friction in Handoff 3","COMPRESS_SHARED_TEMPLATE","Use the H3 shared-template contract: one concise opening, direct role-specific content first, and supporting navigation after the educational task."
"/subjects/math/calculus/derivatives/","unit-hub","276","14","5","Review representative template friction in Handoff 3","KEEP_CURRENT_ROLE_TEMPLATE","The representative route does not show a role-level defect that warrants broad template change; preserve it and verify it in the browser matrix."
"/subjects/math/calculus/integrals/","unit-hub","276","13","5","Review representative template friction in Handoff 3","KEEP_CURRENT_ROLE_TEMPLATE","The representative route does not show a role-level defect that warrants broad template change; preserve it and verify it in the browser matrix."
"/subjects/math/calculus/derivative-applications/","unit-hub","259","12","5","Review representative template friction in Handoff 3","KEEP_CURRENT_ROLE_TEMPLATE","The representative route does not show a role-level defect that warrants broad template change; preserve it and verify it in the browser matrix."
"/answers/calculus/integral-of-sec-cubed/","answer","256","6","1","Review representative template friction in Handoff 3","COMPRESS_SHARED_TEMPLATE","Use the H3 shared-template contract: one concise opening, direct role-specific content first, and supporting navigation after the educational task."
"/tools/math/algebra/expression-checker/","tool","220","0","0","Review representative template friction in Handoff 3","KEEP_CURRENT_ROLE_TEMPLATE","The representative route does not show a role-level defect that warrants broad template change; preserve it and verify it in the browser matrix."
"/tools/math/calculus/integration-method-finder/","tool","220","0","0","Review representative template friction in Handoff 3","KEEP_CURRENT_ROLE_TEMPLATE","The representative route does not show a role-level defect that warrants broad template change; preserve it and verify it in the browser matrix."
"/about/","policy","177","0","0","Review representative template friction in Handoff 3","KEEP_CURRENT_ROLE_TEMPLATE","The representative route does not show a role-level defect that warrants broad template change; preserve it and verify it in the browser matrix."
"/accessibility/","policy","177","0","0","Review representative template friction in Handoff 3","KEEP_CURRENT_ROLE_TEMPLATE","The representative route does not show a role-level defect that warrants broad template change; preserve it and verify it in the browser matrix."
"/corrections/","policy","177","0","0","Review representative template friction in Handoff 3","KEEP_CURRENT_ROLE_TEMPLATE","The representative route does not show a role-level defect that warrants broad template change; preserve it and verify it in the browser matrix."
"/subjects/math/","subject-hub","167","0","0","Review representative template friction in Handoff 3","KEEP_CURRENT_ROLE_TEMPLATE","The representative route does not show a role-level defect that warrants broad template change; preserve it and verify it in the browser matrix."
"/subjects/","subject-hub","149","0","0","Review representative template friction in Handoff 3","KEEP_CURRENT_ROLE_TEMPLATE","The representative route does not show a role-level defect that warrants broad template change; preserve it and verify it in the browser matrix."
"/subjects/math/algebra/","course-hub","167","0","0","Review representative template friction in Handoff 3","KEEP_CURRENT_ROLE_TEMPLATE","The representative route does not show a role-level defect that warrants broad template change; preserve it and verify it in the browser matrix."
"/subjects/math/calculus/","course-hub","167","0","7","Review representative template friction in Handoff 3","KEEP_CURRENT_ROLE_TEMPLATE","The representative route does not show a role-level defect that warrants broad template change; preserve it and verify it in the browser matrix."
"/glossary/math/","glossary-hub","153","3","2","Review representative template friction in Handoff 3","KEEP_CURRENT_ROLE_TEMPLATE","The representative route does not show a role-level defect that warrants broad template change; preserve it and verify it in the browser matrix."
"/glossary/","glossary-hub","135","0","0","Review representative template friction in Handoff 3","KEEP_CURRENT_ROLE_TEMPLATE","The representative route does not show a role-level defect that warrants broad template change; preserve it and verify it in the browser matrix."
"/answers/","directory","149","0","0","Review representative template friction in Handoff 3","KEEP_CURRENT_ROLE_TEMPLATE","The representative route does not show a role-level defect that warrants broad template change; preserve it and verify it in the browser matrix."
"/practice/","directory","149","0","0","Review representative template friction in Handoff 3","KEEP_CURRENT_ROLE_TEMPLATE","The representative route does not show a role-level defect that warrants broad template change; preserve it and verify it in the browser matrix."
"/tools/","directory","149","0","0","Review representative template friction in Handoff 3","KEEP_CURRENT_ROLE_TEMPLATE","The representative route does not show a role-level defect that warrants broad template change; preserve it and verify it in the browser matrix."
"/search/","search","149","0","0","Review representative template friction in Handoff 3","KEEP_CURRENT_ROLE_TEMPLATE","The representative route does not show a role-level defect that warrants broad template change; preserve it and verify it in the browser matrix."
"/","home","141","0","0","Review representative template friction in Handoff 3","KEEP_CURRENT_ROLE_TEMPLATE","The representative route does not show a role-level defect that warrants broad template change; preserve it and verify it in the browser matrix."
