source_article,source_role,candidate_lesson,candidate_role,score,shared_primary_concept,shared_secondary_concepts,shared_skills,search_intent_similarity,main_content_similarity,current_link_exists,current_link_location,recommended_relationship,recommended_placement,reasoning,confidence
"/subjects/math/algebra/expressions-equations/distributive-property/","method-guide","/subjects/math/calculus/sequences-and-series/nth-term-divergence-test/","textbook-lesson","4","","","","0.222","0.222","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.22), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/expressions-equations/distributive-property/","method-guide","/subjects/math/calculus/limits-continuity/unit/limits/squeeze-theorem/","textbook-lesson","4","","","","0.214","0.214","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.21), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/expressions-equations/distributive-property/","method-guide","/subjects/math/calculus/sequences-and-series/integral-test/","textbook-lesson","4","","","","0.200","0.200","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.20), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","method-guide","/subjects/math/calculus/limits-continuity/unit/limits/factoring-limits/","textbook-lesson","6","","","","0.400","0.400","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.40), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","method-guide","/subjects/math/calculus/integrals/definite-integrals-by-substitution/","textbook-lesson","4","","","","0.333","0.333","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.33), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","method-guide","/subjects/math/calculus/integrals/integration-by-parts/","textbook-lesson","4","","","","0.273","0.273","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.27), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","method-guide","/subjects/math/calculus/limits-continuity/unit/continuity/types-of-discontinuity/","textbook-lesson","4","","","","0.214","0.214","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.21), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","method-guide","/subjects/math/calculus/limits-continuity/unit/limits/complex-fractions/","textbook-lesson","4","","","","0.200","0.200","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.20), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","method-guide","/subjects/math/calculus/limits-continuity/unit/limits/what-a-limit-means/","textbook-lesson","4","","","","0.200","0.200","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.20), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","decision-guide","/subjects/math/calculus/derivatives/advanced-implicit-function-theorem/","textbook-lesson","4","","","","0.250","0.250","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.25), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","decision-guide","/subjects/math/calculus/derivatives/advanced-chain-rule-linear-maps/","textbook-lesson","4","","","","0.238","0.238","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.24), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","decision-guide","/subjects/math/calculus/derivatives/chain-rule-map/","textbook-lesson","4","","","","0.238","0.238","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.24), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/expressions-equations/variables-on-both-sides/","decision-guide","/subjects/math/calculus/limits-continuity/unit/limits/limit-laws/","textbook-lesson","4","","","","0.211","0.211","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.21), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/expressions-equations/variables-on-both-sides/","decision-guide","/subjects/math/calculus/integrals/common-errors/","textbook-lesson","4","","","","0.190","0.190","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.19), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/expressions-equations/variables-on-both-sides/","decision-guide","/subjects/math/calculus/derivatives/unit-2a-common-errors/","textbook-lesson","4","","","","0.182","0.182","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.18), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/linear-relationships/","quick-answer","/subjects/math/calculus/limits-continuity/unit/limits/epsilon-delta-linear/","textbook-lesson","4","","","","0.250","0.250","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.25), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/linear-relationships/","quick-answer","/subjects/math/calculus/power-series-and-taylor-series/algebra-with-power-series/","textbook-lesson","4","","","","0.250","0.250","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.25), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/linear-relationships/","quick-answer","/subjects/math/calculus/limits-continuity/unit/continuity/continuity-concept-quiz/","textbook-lesson","4","","","","0.222","0.222","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.22), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/linear-relationships/equation-from-two-points/","decision-guide","/subjects/math/calculus/limits-continuity/unit/limits/read-limits-from-graphs/","textbook-lesson","6","","","","0.400","0.400","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.40), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/linear-relationships/equation-from-two-points/","decision-guide","/subjects/math/calculus/limits-continuity/unit/continuity/repair-removable-discontinuity/","textbook-lesson","4","","","","0.333","0.333","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.33), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/linear-relationships/equation-from-two-points/","decision-guide","/subjects/math/calculus/limits-continuity/unit/limits/disprove-limit-epsilon-delta/","textbook-lesson","4","","","","0.333","0.333","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.33), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/linear-relationships/graphing-linear-equations-from-standard-form/","decision-guide","/subjects/math/calculus/derivatives/implicit-second-derivative/","textbook-lesson","4","","","","0.250","0.250","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.25), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/linear-relationships/graphing-linear-equations-from-standard-form/","decision-guide","/subjects/math/calculus/limits-continuity/unit/limits/epsilon-delta-graph/","textbook-lesson","4","","","","0.250","0.250","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.25), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/linear-relationships/graphing-linear-equations-from-standard-form/","decision-guide","/subjects/math/calculus/limits-continuity/unit/limits/read-limits-from-graphs/","textbook-lesson","4","","","","0.250","0.250","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.25), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/linear-relationships/interpreting-linear-models/","quick-answer","/subjects/math/calculus/limits-continuity/unit/limits/zero-over-zero/","textbook-lesson","4","","","","0.278","0.278","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.28), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/linear-relationships/interpreting-linear-models/","quick-answer","/subjects/math/calculus/derivatives/what-does-derivative-mean/","textbook-lesson","4","","","","0.238","0.238","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.24), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/linear-relationships/interpreting-linear-models/","quick-answer","/subjects/math/calculus/limits-continuity/unit/limits/what-a-limit-means/","textbook-lesson","4","","","","0.235","0.235","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.24), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/linear-relationships/parallel-perpendicular-lines/","decision-guide","/subjects/math/calculus/derivatives/tangent-line-equation/","textbook-lesson","4","","","","0.235","0.235","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.24), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/linear-relationships/parallel-perpendicular-lines/","decision-guide","/subjects/math/calculus/sequences-and-series/harmonic-and-p-series/","textbook-lesson","4","","","","0.235","0.235","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.24), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/linear-relationships/parallel-perpendicular-lines/","decision-guide","/subjects/math/calculus/derivatives/chain-exp-log/","textbook-lesson","4","","","","0.222","0.222","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.22), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/linear-relationships/point-slope-vs-slope-intercept/","quick-answer","/subjects/math/calculus/limits-continuity/unit/continuity/continuity-at-a-point/","textbook-lesson","4","","","","0.200","0.200","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.20), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/linear-relationships/point-slope-vs-slope-intercept/","quick-answer","/subjects/math/calculus/limits-continuity/unit/continuity/continuous-functions/","textbook-lesson","4","","","","0.188","0.188","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.19), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/linear-relationships/point-slope-vs-slope-intercept/","quick-answer","/subjects/math/calculus/limits-continuity/unit/limits/function-value-vs-limit/","textbook-lesson","4","","","","0.188","0.188","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.19), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/linear-relationships/slope-as-rate-of-change/","quick-answer","/subjects/math/calculus/integrals/rates-to-total-change/","textbook-lesson","4","","","","0.250","0.250","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.25), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/linear-relationships/slope-as-rate-of-change/","quick-answer","/subjects/math/calculus/derivatives/derivative-function/","textbook-lesson","4","","","","0.211","0.211","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.21), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/linear-relationships/slope-as-rate-of-change/","quick-answer","/subjects/math/calculus/limits-continuity/unit/limits/when-a-limit-does-not-exist/","textbook-lesson","4","","","","0.211","0.211","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.21), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/polynomials-factoring/","quick-answer","/subjects/math/calculus/limits-continuity/unit/limits/factoring-limits/","textbook-lesson","4","","","","0.300","0.300","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.30), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/polynomials-factoring/","quick-answer","/subjects/math/calculus/power-series-and-taylor-series/taylor-polynomials/","textbook-lesson","4","","","","0.300","0.300","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.30), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/polynomials-factoring/","quick-answer","/subjects/math/calculus/power-series-and-taylor-series/algebra-with-power-series/","textbook-lesson","4","","","","0.250","0.250","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.25), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/polynomials-factoring/completing-the-square/","decision-guide","/subjects/math/calculus/limits-continuity/unit/limits/squeeze-theorem/","textbook-lesson","4","","","","0.300","0.300","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.30), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/polynomials-factoring/completing-the-square/","decision-guide","/subjects/math/calculus/sequences-and-series/integral-test/","textbook-lesson","4","","","","0.273","0.273","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.27), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/polynomials-factoring/completing-the-square/","decision-guide","/subjects/math/calculus/derivative-applications/first-derivative-test/","textbook-lesson","4","","","","0.250","0.250","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.25), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/polynomials-factoring/exponent-rules/","method-guide","/subjects/math/calculus/integrals/basic-antiderivative-rules/","textbook-lesson","4","","","","0.214","0.214","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.21), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/polynomials-factoring/exponent-rules/","method-guide","/subjects/math/calculus/derivatives/core-rules-concept-quiz/","textbook-lesson","4","","","","0.200","0.200","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.20), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/polynomials-factoring/exponent-rules/","method-guide","/subjects/math/calculus/derivatives/core-rules-review/","textbook-lesson","4","","","","0.200","0.200","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.20), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/polynomials-factoring/factoring-trinomials/","decision-guide","/subjects/math/calculus/limits-continuity/unit/limits/limit-laws/","textbook-lesson","4","","","","0.235","0.235","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.24), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/polynomials-factoring/factoring-trinomials/","decision-guide","/subjects/math/calculus/derivatives/combined-rules/","textbook-lesson","4","","","","0.222","0.222","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.22), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/polynomials-factoring/factoring-trinomials/","decision-guide","/subjects/math/calculus/limits-continuity/unit/continuity/continuity-review/","textbook-lesson","4","","","","0.214","0.214","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.21), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/polynomials-factoring/greatest-common-factor/","decision-guide","/subjects/math/calculus/limits-continuity/unit/limits/squeeze-theorem/","textbook-lesson","4","","","","0.250","0.250","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.25), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/polynomials-factoring/greatest-common-factor/","decision-guide","/subjects/math/calculus/limits-continuity/unit/limits/common-exam-errors/","textbook-lesson","4","","","","0.231","0.231","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.23), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/polynomials-factoring/greatest-common-factor/","decision-guide","/subjects/math/calculus/sequences-and-series/integral-test/","textbook-lesson","4","","","","0.231","0.231","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.23), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/polynomials-factoring/multiply-polynomials/","decision-guide","/subjects/math/calculus/limits-continuity/unit/continuity/continuity-at-a-point/","textbook-lesson","4","","","","0.250","0.250","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.25), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/polynomials-factoring/multiply-polynomials/","decision-guide","/subjects/math/calculus/limits-continuity/unit/limits/what-a-limit-means/","textbook-lesson","4","","","","0.231","0.231","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.23), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/polynomials-factoring/multiply-polynomials/","decision-guide","/subjects/math/calculus/power-series-and-taylor-series/taylor-polynomials/","textbook-lesson","4","","","","0.231","0.231","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.23), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/polynomials-factoring/special-factor-patterns/","decision-guide","/subjects/math/calculus/limits-continuity/unit/continuity/types-of-discontinuity/","textbook-lesson","4","","","","0.200","0.200","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.20), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/polynomials-factoring/special-factor-patterns/","decision-guide","/subjects/math/calculus/limits-continuity/unit/limits/ratio-of-sines/","textbook-lesson","4","","","","0.176","0.176","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.18), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/polynomials-factoring/special-factor-patterns/","decision-guide","/subjects/math/calculus/sequences-and-series/limits-of-sequences/","textbook-lesson","4","","","","0.176","0.176","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.18), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/radicals-exponents-functions/","quick-answer","/subjects/math/calculus/integrals/accumulation-functions/","textbook-lesson","4","","","","0.273","0.273","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.27), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/radicals-exponents-functions/","quick-answer","/subjects/math/calculus/limits-continuity/unit/continuity/continuous-functions/","textbook-lesson","4","","","","0.273","0.273","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.27), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/radicals-exponents-functions/","quick-answer","/subjects/math/calculus/limits-continuity/unit/limits/ratio-of-sines/","textbook-lesson","4","","","","0.250","0.250","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.25), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/radicals-exponents-functions/exponential-growth-and-decay/","decision-guide","/subjects/math/calculus/derivative-applications/derivative-graphs/","textbook-lesson","4","","","","0.286","0.286","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.29), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/radicals-exponents-functions/exponential-growth-and-decay/","decision-guide","/subjects/math/calculus/derivatives/exponential-e/","textbook-lesson","4","","","","0.286","0.286","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.29), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/radicals-exponents-functions/exponential-growth-and-decay/","decision-guide","/subjects/math/calculus/sequences-and-series/harmonic-and-p-series/","textbook-lesson","4","","","","0.286","0.286","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.29), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/radicals-exponents-functions/function-notation/","quick-answer","/subjects/math/calculus/derivatives/what-does-derivative-mean/","textbook-lesson","4","","","","0.250","0.250","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.25), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/radicals-exponents-functions/function-notation/","quick-answer","/subjects/math/calculus/derivatives/notation-and-units/","textbook-lesson","4","","","","0.235","0.235","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.24), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/radicals-exponents-functions/function-notation/","quick-answer","/subjects/math/calculus/derivative-applications/derivative-graphs/","textbook-lesson","4","","","","0.222","0.222","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.22), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/radicals-exponents-functions/inverse-functions-vs-reciprocals/","decision-guide","/subjects/math/calculus/limits-continuity/unit/limits/function-value-vs-limit/","textbook-lesson","4","","","","0.211","0.211","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.21), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/radicals-exponents-functions/inverse-functions-vs-reciprocals/","decision-guide","/subjects/math/calculus/derivatives/derivative-function/","textbook-lesson","4","","","","0.190","0.190","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.19), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/radicals-exponents-functions/inverse-functions-vs-reciprocals/","decision-guide","/subjects/math/calculus/derivatives/inverse-function-rule/","textbook-lesson","4","","","","0.190","0.190","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.19), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/radicals-exponents-functions/rational-exponents/","method-guide","/subjects/math/calculus/derivative-applications/other-indeterminate-forms/","textbook-lesson","4","","","","0.267","0.267","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.27), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/radicals-exponents-functions/rational-exponents/","method-guide","/subjects/math/calculus/derivatives/negative-fractional-powers/","textbook-lesson","4","","","","0.267","0.267","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.27), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/radicals-exponents-functions/rational-exponents/","method-guide","/subjects/math/calculus/derivatives/variable-exponents/","textbook-lesson","4","","","","0.267","0.267","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.27), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/radicals-exponents-functions/simplifying-radicals/","method-guide","/subjects/math/calculus/integrals/integration-by-parts/","textbook-lesson","4","","","","0.231","0.231","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.23), and complementary roles.","medium-confidence-inferred"
