route,page_role,repeated_boilerplate_word_count,main_content_ratio
"/subjects/math/calculus/limits-continuity/unit/limits/notation-guide/","textbook-lesson","305","0.663"
"/subjects/math/calculus/limits-continuity/unit/limits/one-sided-limits/","textbook-lesson","309","0.806"
"/subjects/math/calculus/limits-continuity/unit/limits/practice-exam-a/","textbook-lesson","308","0.815"
"/subjects/math/calculus/limits-continuity/unit/limits/practice-exam-a/answer-key/","textbook-lesson","310","0.634"
"/subjects/math/calculus/limits-continuity/unit/limits/practice-exam-b/","textbook-lesson","308","0.819"
"/subjects/math/calculus/limits-continuity/unit/limits/practice-exam-b/answer-key/","textbook-lesson","310","0.649"
"/subjects/math/calculus/limits-continuity/unit/limits/prerequisite-diagnostic/","textbook-lesson","306","0.800"
"/subjects/math/calculus/limits-continuity/unit/limits/radicals-at-infinity/","textbook-lesson","306","0.680"
"/subjects/math/calculus/limits-continuity/unit/limits/ratio-of-sines/","textbook-lesson","308","0.670"
"/subjects/math/calculus/limits-continuity/unit/limits/rationalizing-radicals/","textbook-lesson","307","0.772"
"/subjects/math/calculus/limits-continuity/unit/limits/read-limits-from-graphs/","textbook-lesson","309","0.663"
"/subjects/math/calculus/limits-continuity/unit/limits/scaled-sine-tangent/","textbook-lesson","307","0.673"
"/subjects/math/calculus/limits-continuity/unit/limits/sin-x-over-x-proof/","textbook-lesson","310","0.780"
"/subjects/math/calculus/limits-continuity/unit/limits/sin-x-over-x/","textbook-lesson","308","0.606"
"/subjects/math/calculus/limits-continuity/unit/limits/slant-asymptotes/","textbook-lesson","306","0.648"
"/subjects/math/calculus/limits-continuity/unit/limits/squeeze-theorem/","textbook-lesson","305","0.830"
"/subjects/math/calculus/limits-continuity/unit/limits/trig-limit-decision-guide/","decision-guide","306","0.586"
"/subjects/math/calculus/limits-continuity/unit/limits/trig-limits-concept-quiz/","decision-guide","306","0.705"
"/subjects/math/calculus/limits-continuity/unit/limits/trig-limits-practice/","decision-guide","306","0.881"
"/subjects/math/calculus/limits-continuity/unit/limits/trig-limits-review/","decision-guide","307","0.592"
"/subjects/math/calculus/limits-continuity/unit/limits/unit-review/","textbook-lesson","307","0.615"
"/subjects/math/calculus/limits-continuity/unit/limits/vertical-asymptotes/","textbook-lesson","308","0.804"
"/subjects/math/calculus/limits-continuity/unit/limits/what-a-limit-means/","textbook-lesson","306","0.760"
"/subjects/math/calculus/limits-continuity/unit/limits/when-a-limit-does-not-exist/","textbook-lesson","308","0.738"
"/subjects/math/calculus/limits-continuity/unit/limits/why-limits-matter/","textbook-lesson","307","0.860"
"/subjects/math/calculus/limits-continuity/unit/limits/zero-over-zero/","textbook-lesson","309","0.696"
"/subjects/math/calculus/limits-continuity/unit/study/correct-practice-test/","textbook-lesson","309","0.589"
"/subjects/math/calculus/sequences-series/harmonic-series-diverges/","quick-answer","352","0.562"
"/subjects/math/calculus/sequences-series/ratio-test-vs-root-test/","decision-guide","356","0.649"
"/tools/math/algebra/expression-checker/","tool","303","0.413"
"/tools/math/calculus/integration-method-finder/","tool","366","0.293"
