route,description,length,unique,useful
"/glossary/math/local-maximum/","Learn the definition, notation, interpretation, and use of local maximum in calculus.","85","true","true"
"/glossary/math/local-minimum/","Learn the definition, notation, interpretation, and use of local minimum in calculus.","85","true","true"
"/glossary/math/one-sided-limit/","Learn the definition, notation, interpretation, and use of one sided limit in calculus.","87","true","true"
"/glossary/math/optimization/","Learn the definition, notation, interpretation, and use of optimization in calculus.","84","true","true"
"/glossary/math/power-series/","Learn the definition, notation, interpretation, and use of power series in calculus.","84","true","true"
"/glossary/math/radius-of-convergence/","Learn the definition, notation, interpretation, and use of radius of convergence in calculus.","93","true","true"
"/glossary/math/related-rates/","Learn the definition, notation, interpretation, and use of related rates in calculus.","85","true","true"
"/glossary/math/sequence/","Learn the definition, notation, interpretation, and use of sequence in calculus.","80","true","true"
"/glossary/math/series/","Learn the definition, notation, interpretation, and use of series in calculus.","78","true","true"
"/glossary/math/taylor-series/","Learn the definition, notation, interpretation, and use of taylor series in calculus.","85","true","true"
"/glossary/math/u-substitution/","Learn the definition, notation, interpretation, and use of u substitution in calculus.","86","true","true"
"/how-we-verify/","Better Grades publishing and product standards.","47","false","false"
"/learn/calculus/integration-by-parts/","Recognize integration by parts, choose u and dv, and know when another method is better.","88","true","true"
"/practice/","Use focused quizzes, diagnostics, practice exams, and challenges with explanations.","83","true","true"
"/practice/math/","Browse free mathematics quizzes, diagnostics, practice exams, and challenges.","77","true","true"
"/practice/math/calculus/","Choose a calculus quiz, diagnostic, practice exam, or challenge.","64","true","true"
"/practice/math/calculus/challenges/integration-bee/","Twenty reviewed integrals in timed or untimed mode, with explanations after each answer.","88","true","true"
"/practice/math/calculus/diagnostics/calculus-readiness/","Find algebra, functions, and trigonometry gaps before calculus makes them louder.","81","true","true"
"/practice/math/calculus/exams/calculus-foundations/","A mixed, no-account practice exam covering prerequisites and integration-method recognition.","92","true","true"
"/practice/math/calculus/quizzes/integration-method-selection/","Choose the best first move before the algebra begins.","53","true","true"
"/privacy/","Better Grades publishing and product standards.","47","false","false"
"/resources/","Browse every published Better Grades worksheet, practice exam, formula sheet, visual guide, worked problem, and glossary reference.","131","true","true"
"/search/","Search free answers, complete topic guides, practice, tools, and visual mathematics definitions.","96","true","true"
"/source-policy/","Better Grades publishing and product standards.","47","false","false"
"/subjects/","Explore Better Grades resources by subject and course.","54","true","true"
"/subjects/math/","Clear explanations, worked examples, tools, and practice organized by the mathematics you are learning.","103","true","true"
"/subjects/math/algebra/","Equations, linear relationships, systems, polynomials, rational expressions, radicals, and functions—built as one connected toolkit.","132","true","true"
"/subjects/math/algebra/expressions-equations/","Translate algebraic structure, simplify without changing value, and solve equations with a reliable sequence of reversible moves.","129","true","true"
"/subjects/math/algebra/expressions-equations/combining-like-terms/","Terms combine only when their variable parts match exactly. The coefficients change; the variable structure does not.","117","true","true"
"/subjects/math/algebra/expressions-equations/distributive-property/","Distribution is multiplication across a sum. It expands an expression without changing its value—and it works in reverse when factoring.","136","true","true"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","Replace every occurrence of the variable, preserve the expression&#x27;s grouping, and simplify only after the substitution is complete.","136","true","true"
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","Parentheses and exponents set the structure; multiplication, division, addition, and subtraction then move left to right within their own level.","144","true","true"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","An equation stays true when the same legal operation is applied to both sides. Simplify, isolate, and check.","108","true","true"
"/subjects/math/algebra/expressions-equations/variables-on-both-sides/","Either side can work. Choose the direction that keeps the variable coefficient positive and the arithmetic easy to audit.","121","true","true"
"/subjects/math/algebra/linear-relationships/","Read slope as a rate, build equations from data, and connect tables, graphs, and formulas without treating them as separate topics.","131","true","true"
"/subjects/math/algebra/linear-relationships/equation-from-two-points/","Find the slope first, anchor it to either point, then convert forms only if the problem needs a different presentation.","119","true","true"
"/subjects/math/algebra/linear-relationships/graphing-linear-equations-from-standard-form/","Use intercepts when they are clean, or solve for y when slope and vertical change are more informative.","103","true","true"
"/subjects/math/algebra/linear-relationships/interpreting-linear-models/","The intercept is the modeled output at input zero; the slope is the predicted change in output per unit of input. Context decides whether either interpretation is sensible.","172","true","true"
"/subjects/math/algebra/linear-relationships/parallel-perpendicular-lines/","Parallel nonvertical lines share a slope. Perpendicular nonvertical lines have slopes whose product is −1—but vertical and horizontal lines need separate language.","163","true","true"
"/subjects/math/algebra/linear-relationships/point-slope-vs-slope-intercept/","Use point-slope form when a point and slope are given; use slope-intercept form when the intercept or a quick graph is the main goal.","133","true","true"
"/subjects/math/algebra/linear-relationships/slope-as-rate-of-change/","Slope measures how much the output changes for each one-unit change in the input. Its sign, size, and units all carry meaning.","126","true","true"
"/subjects/math/algebra/polynomials-factoring/","Control exponents, multiply cleanly, and recognize the factor patterns that make higher-degree algebra manageable.","114","true","true"
"/subjects/math/algebra/polynomials-factoring/completing-the-square/","Add the exact term that turns a quadratic expression into a perfect-square trinomial, while preserving the equation&#x27;s value.","129","true","true"
"/subjects/math/algebra/polynomials-factoring/exponent-rules/","The rules are compressed descriptions of repeated multiplication. Knowing where they come from prevents powers from spreading across sums illegally.","148","true","true"
"/subjects/math/algebra/polynomials-factoring/factoring-trinomials/","For x² + bx + c, find two numbers with product c and sum b. For ax² + bx + c, split the middle term using product ac.","117","true","true"
"/subjects/math/algebra/polynomials-factoring/greatest-common-factor/","The GCF is the largest expression dividing every term. Removing it first exposes the smaller polynomial that actually needs attention.","134","true","true"
"/subjects/math/algebra/polynomials-factoring/multiply-polynomials/","Every term in one factor multiplies every term in the other. Organize the products, then combine like terms once.","113","true","true"
"/subjects/math/algebra/polynomials-factoring/special-factor-patterns/","Recognize the pattern from term count, signs, square roots, and the middle coefficient—then expand to confirm rather than trusting appearance alone.","148","true","true"
"/subjects/math/algebra/radicals-exponents-functions/","Move between radical and exponent notation, solve carefully, and use function language to describe inputs, outputs, and inverses.","129","true","true"
"/subjects/math/algebra/radicals-exponents-functions/exponential-growth-and-decay/","Separate the starting amount from the repeated growth factor, then connect each parameter to a real change per time interval.","125","true","true"
"/subjects/math/algebra/radicals-exponents-functions/function-notation/","f(x) names the output of function f at input x. The parentheses indicate evaluation, not multiplication.","104","true","true"
"/subjects/math/algebra/radicals-exponents-functions/inverse-functions-vs-reciprocals/","f⁻¹ reverses a function&#x27;s input-output pairing; 1/f takes reciprocal outputs. They are generally different operations.","123","true","true"
"/subjects/math/algebra/radicals-exponents-functions/rational-exponents/","The denominator names the root and the numerator names the power. This notation lets radical expressions use the ordinary exponent rules.","137","true","true"
"/subjects/math/algebra/radicals-exponents-functions/simplifying-radicals/","Factor the radicand into a perfect power times what remains. Pull only complete groups through the radical bar.","111","true","true"
"/subjects/math/algebra/radicals-exponents-functions/solving-radical-equations/","Isolate one radical, raise both sides to the matching power, solve, and check every candidate in the original equation.","119","true","true"
"/subjects/math/algebra/rational-expressions/","Track restrictions, simplify factors legally, combine fractions, and solve equations without losing excluded values.","116","true","true"
"/subjects/math/algebra/rational-expressions/add-subtract-rational-expressions/","Factor denominators, build the least common denominator, rewrite every numerator, then combine while preserving restrictions.","125","true","true"
"/subjects/math/algebra/rational-expressions/direct-inverse-variation/","Direct variation keeps a constant ratio y/x; inverse variation keeps a constant product xy. The data pattern decides the model.","127","true","true"
"/subjects/math/algebra/rational-expressions/rational-domain-restrictions/","A rational expression is undefined wherever its original denominator is zero. Simplifying the formula does not restore an excluded input.","137","true","true"
"/subjects/math/algebra/rational-expressions/simplifying-complex-rational-expressions/","Treat the stacked fraction as division, state every original restriction, and clear the small denominators with one common multiplier.","134","true","true"
"/subjects/math/algebra/rational-expressions/simplifying-rational-expressions/","Factor completely, record excluded inputs, and cancel common factors. Individual terms separated by addition cannot be canceled.","128","true","true"
"/subjects/math/algebra/rational-expressions/solving-rational-equations/","List restrictions, multiply every term by the least common denominator, solve the resulting equation, and reject candidates outside the original domain.","152","true","true"
"/subjects/math/algebra/systems-inequalities/","Solve simultaneous conditions, choose an efficient method, and describe whole solution regions instead of isolated numbers.","123","true","true"
"/subjects/math/algebra/systems-inequalities/choosing-system-method/","Choose from the equation structure: graph when the intersection matters visually, substitute when a variable is already isolated, and eliminate when coefficients align.","168","true","true"
"/subjects/math/algebra/systems-inequalities/compound-inequalities/","Solve each condition, reverse the inequality only when multiplying or dividing by a negative, then combine by intersection or union.","132","true","true"
"/subjects/math/algebra/systems-inequalities/elimination-systems/","Align like terms, create opposite coefficients, add the equations, and recover the variable that was deliberately removed.","122","true","true"
"/subjects/math/algebra/systems-inequalities/graphing-linear-inequalities/","Draw the boundary, decide whether it belongs to the solution, then test a point to choose the correct half-plane.","113","true","true"
"/subjects/math/algebra/systems-inequalities/no-one-infinite-solutions/","For two linear equations, the coefficient pattern determines whether the graphs intersect once, never meet, or are actually the same line.","138","true","true"
"/subjects/math/algebra/systems-inequalities/substitution-systems/","Replace one variable with an equal expression, solve the resulting one-variable equation, then recover and verify the second coordinate.","136","true","true"
"/subjects/math/calculus/","Limits, derivatives, integrals, applications, sequences, and series in one connected course map.","96","true","true"
"/subjects/math/calculus/derivative-applications/","Study Unit 2B: Applications of Derivatives through a complete sequential course with explanations, visuals, checks, reviews, practice exams, and answer keys.","157","true","true"
"/subjects/math/calculus/derivative-applications/advanced-cauchy-mvt/","Explore cauchy&#x27;s mean value theorem and l&#x27;hopital&#x27;s rule in an optional advanced note connecting Calculus I to later analysis and mathematical theory. Part of Calculus I Unit 2B: Applications of Derivatives.","222","true","true"
"/subjects/math/calculus/derivative-applications/advanced-convexity/","Explore convexity, tangent inequalities, and global minima in an optional advanced note connecting Calculus I to later analysis and mathematical theory. Part of Calculus I Unit 2B: Applications of Derivatives.","209","true","true"
"/subjects/math/calculus/derivative-applications/advanced-newton-convergence/","Explore newton&#x27;s method: convergence and failure modes in an optional advanced note connecting Calculus I to later analysis and mathematical theory. Part of Calculus I Unit 2B: Applications of Derivatives.","210","true","true"
"/subjects/math/calculus/derivative-applications/advanced-notes/","Explore advanced notes: analysis behind the applications in an optional advanced note connecting Calculus I to later analysis and mathematical theory. Part of Calculus I Unit 2B: Applications of Derivatives.","207","true","true"
"/subjects/math/calculus/derivative-applications/advanced-sensitivity-elasticity/","Explore sensitivity, elasticity, and condition numbers in an optional advanced note connecting Calculus I to later analysis and mathematical theory. Part of Calculus I Unit 2B: Applications of Derivatives.","205","true","true"
"/subjects/math/calculus/derivative-applications/anatomy-of-optimization/","Learn the anatomy of an optimization problem with clear exposition, guided derivations, worked examples, visuals, checks, and interpretation. Part of Calculus I Unit 2B: Applications of Derivatives.","198","true","true"
"/subjects/math/calculus/derivative-applications/approximation-concept-quiz/","Test conceptual understanding of approximation concept quiz with a short self-check and model responses. Part of Calculus I Unit 2B: Applications of Derivatives.","161","true","true"
"/subjects/math/calculus/derivative-applications/approximation-review/","Review approximation and newton&#x27;s method review with mixed practice and links back to the exact lessons behind each skill. Part of Calculus I Unit 2B: Applications of Derivatives.","184","true","true"
"/subjects/math/calculus/derivative-applications/bridge-diagnostic/","Check the prerequisite skills needed for Applications of Derivatives and follow targeted review links before beginning the unit. Part of Calculus I Unit 2B: Applications of Derivatives.","185","true","true"
"/subjects/math/calculus/derivative-applications/closed-interval-method/","Learn the closed interval method with clear exposition, guided derivations, worked examples, visuals, checks, and interpretation. Part of Calculus I Unit 2B: Applications of Derivatives.","186","true","true"
"/subjects/math/calculus/derivative-applications/common-errors/","Review common derivative application and optimization errors with mixed practice and links back to the exact lessons behind each skill. Part of Calculus I Unit 2B: Applications of Derivatives.","192","true","true"
"/subjects/math/calculus/derivative-applications/concavity/","Learn concavity and inflection points with clear exposition, guided derivations, worked examples, visuals, checks, and interpretation. Part of Calculus I Unit 2B: Applications of Derivatives.","191","true","true"
"/subjects/math/calculus/derivative-applications/cumulative-practice/","Practice unit 2b cumulative applications practice with mixed problems, staged guidance, and source-linked solutions. Part of Calculus I Unit 2B: Applications of Derivatives.","173","true","true"
"/subjects/math/calculus/derivative-applications/curve-sketching-from-derivatives/","Build a graph from domain, intercepts, asymptotes, monotonicity, extrema, concavity, and end behavior—in that order. Part of Calculus I Unit 2B: Applications of Derivatives.","173","true","true"
"/subjects/math/calculus/derivative-applications/curve-sketching/","Learn complete curve sketching with clear exposition, guided derivations, worked examples, visuals, checks, and interpretation. Part of Calculus I Unit 2B: Applications of Derivatives.","184","true","true"
"/subjects/math/calculus/derivative-applications/derivative-graphs/","Learn reading function and derivative graphs with clear exposition, guided derivations, worked examples, visuals, checks, and interpretation. Part of Calculus I Unit 2B: Applications of Derivatives.","198","true","true"
"/subjects/math/calculus/derivative-applications/differentials/","Learn differentials with clear exposition, guided derivations, worked examples, visuals, checks, and interpretation. Part of Calculus I Unit 2B: Applications of Derivatives.","173","true","true"
"/subjects/math/calculus/derivative-applications/error-estimation/","Learn error estimation with differentials with clear exposition, guided derivations, worked examples, visuals, checks, and interpretation. Part of Calculus I Unit 2B: Applications of Derivatives.","195","true","true"
"/subjects/math/calculus/derivative-applications/extrema-and-critical-numbers/","Learn extrema and critical numbers with clear exposition, guided derivations, worked examples, visuals, checks, and interpretation. Part of Calculus I Unit 2B: Applications of Derivatives.","188","true","true"
"/subjects/math/calculus/derivative-applications/first-derivative-test/","Learn the first derivative test with clear exposition, guided derivations, worked examples, visuals, checks, and interpretation. Part of Calculus I Unit 2B: Applications of Derivatives.","185","true","true"
"/subjects/math/calculus/derivative-applications/graph-analysis-story/","Learn graph analysis as a coherent story with clear exposition, guided derivations, worked examples, visuals, checks, and interpretation. Part of Calculus I Unit 2B: Applications of Derivatives.","194","true","true"
"/subjects/math/calculus/derivative-applications/how-to-translate-word-problems/","Learn how to translate derivative word problems with clear exposition, guided derivations, worked examples, visuals, checks, and interpretation. Part of Calculus I Unit 2B: Applications of Derivatives.","201","true","true"
"/subjects/math/calculus/derivative-applications/increasing-decreasing/","Learn increasing and decreasing intervals with clear exposition, guided derivations, worked examples, visuals, checks, and interpretation. Part of Calculus I Unit 2B: Applications of Derivatives.","195","true","true"
"/subjects/math/calculus/derivative-applications/interpretation-concept-quiz/","Test conceptual understanding of interpretation and motion concept quiz with a short self-check and model responses. Part of Calculus I Unit 2B: Applications of Derivatives.","173","true","true"
"/subjects/math/calculus/derivative-applications/interpretation-review/","Review higher derivatives and motion review with mixed practice and links back to the exact lessons behind each skill. Part of Calculus I Unit 2B: Applications of Derivatives.","175","true","true"
"/subjects/math/calculus/derivative-applications/interpreting-derivatives/","Learn how to interpret a derivative in context with clear exposition, guided derivations, worked examples, visuals, checks, and interpretation. Part of Calculus I Unit 2B: Applications of Derivatives.","200","true","true"
"/subjects/math/calculus/derivative-applications/interpreting-higher-derivatives/","Learn interpreting higher derivatives with clear exposition, guided derivations, worked examples, visuals, checks, and interpretation. Part of Calculus I Unit 2B: Applications of Derivatives.","191","true","true"
"/subjects/math/calculus/derivative-applications/lhopital-concept-quiz/","Test conceptual understanding of l&#x27;hopital concept quiz with a short self-check and model responses. Part of Calculus I Unit 2B: Applications of Derivatives.","162","true","true"
"/subjects/math/calculus/derivative-applications/lhopital-infinity-over-infinity/","Learn l&#x27;hopital&#x27;s rule for infinity/infinity with clear exposition, guided derivations, worked examples, visuals, checks, and interpretation. Part of Calculus I Unit 2B: Applications of Derivatives.","208","true","true"
"/subjects/math/calculus/derivative-applications/lhopital-is-not-cancellation/","Learn l&#x27;hopital&#x27;s rule is not quotient cancellation with clear exposition, guided derivations, worked examples, visuals, checks, and interpretation. Part of Calculus I Unit 2B: Applications of Derivatives.","215","true","true"
"/subjects/math/calculus/derivative-applications/lhopital-review/","Review l&#x27;hopital&#x27;s rule review with mixed practice and links back to the exact lessons behind each skill. Part of Calculus I Unit 2B: Applications of Derivatives.","172","true","true"
"/subjects/math/calculus/derivative-applications/lhopital-rule/","Learn l&#x27;hopital&#x27;s rule with clear exposition, guided derivations, worked examples, visuals, checks, and interpretation. Part of Calculus I Unit 2B: Applications of Derivatives.","186","true","true"
"/subjects/math/calculus/derivative-applications/lhopital-zero-over-zero/","Learn l&#x27;hopital&#x27;s rule for 0/0 with clear exposition, guided derivations, worked examples, visuals, checks, and interpretation. Part of Calculus I Unit 2B: Applications of Derivatives.","194","true","true"
"/subjects/math/calculus/derivative-applications/linear-approximation/","Near a known input, a smooth function behaves like its tangent line—and the derivative measures the approximation’s sensitivity. Part of Calculus I Unit 2B: Applications of Derivatives.","185","true","true"
"/subjects/math/calculus/derivative-applications/linearization-practice/","Learn using linearization with clear exposition, guided derivations, worked examples, visuals, checks, and interpretation. Part of Calculus I Unit 2B: Applications of Derivatives.","179","true","true"
"/subjects/math/calculus/derivative-applications/local-linearity/","Learn local linearity with clear exposition, guided derivations, worked examples, visuals, checks, and interpretation. Part of Calculus I Unit 2B: Applications of Derivatives.","175","true","true"
"/subjects/math/calculus/derivative-applications/manufacturing-tolerance/","Learn manufacturing tolerances and error propagation with clear exposition, guided derivations, worked examples, visuals, checks, and interpretation. Part of Calculus I Unit 2B: Applications of Derivatives.","206","true","true"
"/subjects/math/calculus/derivative-applications/marginal-analysis/","Learn marginal cost, revenue, profit, and elasticity with clear exposition, guided derivations, worked examples, visuals, checks, and interpretation. Part of Calculus I Unit 2B: Applications of Derivatives.","206","true","true"
"/subjects/math/calculus/derivative-applications/mean-value-theorem/","Learn the mean value theorem with clear exposition, guided derivations, worked examples, visuals, checks, and interpretation. Part of Calculus I Unit 2B: Applications of Derivatives.","182","true","true"
"/subjects/math/calculus/derivative-applications/medication-concentration/","Learn medication concentration, peak timing, and model limits with clear exposition, guided derivations, worked examples, visuals, checks, and interpretation. Part of Calculus I Unit 2B: Applications of Derivatives.","215","true","true"
"/subjects/math/calculus/derivative-applications/modeling-studio-review/","Review derivative applications modeling studio review with mixed practice and links back to the exact lessons behind each skill. Part of Calculus I Unit 2B: Applications of Derivatives.","185","true","true"
"/subjects/math/calculus/derivative-applications/modeling-studio/","Practice derivative applications modeling studio with mixed problems, staged guidance, and source-linked solutions. Part of Calculus I Unit 2B: Applications of Derivatives.","172","true","true"
"/subjects/math/calculus/derivative-applications/newtons-method/","Learn newton&#x27;s method with clear exposition, guided derivations, worked examples, visuals, checks, and interpretation. Part of Calculus I Unit 2B: Applications of Derivatives.","180","true","true"
"/subjects/math/calculus/derivative-applications/optimization-business-science/","Learn business and scientific optimization with clear exposition, guided derivations, worked examples, visuals, checks, and interpretation. Part of Calculus I Unit 2B: Applications of Derivatives.","196","true","true"
"/subjects/math/calculus/derivative-applications/optimization-closed-interval/","Learn closed-interval optimization with clear exposition, guided derivations, worked examples, visuals, checks, and interpretation. Part of Calculus I Unit 2B: Applications of Derivatives.","188","true","true"
"/subjects/math/calculus/derivative-applications/optimization-concept-quiz/","Test conceptual understanding of optimization concept quiz with a short self-check and model responses. Part of Calculus I Unit 2B: Applications of Derivatives.","160","true","true"
"/subjects/math/calculus/derivative-applications/optimization-geometry/","Learn geometric optimization with clear exposition, guided derivations, worked examples, visuals, checks, and interpretation. Part of Calculus I Unit 2B: Applications of Derivatives.","182","true","true"
"/subjects/math/calculus/derivative-applications/optimization-modeling/","Learn optimization modeling with clear exposition, guided derivations, worked examples, visuals, checks, and interpretation. Part of Calculus I Unit 2B: Applications of Derivatives.","181","true","true"
"/subjects/math/calculus/derivative-applications/optimization-review/","Review optimization review with mixed practice and links back to the exact lessons behind each skill. Part of Calculus I Unit 2B: Applications of Derivatives.","158","true","true"
"/subjects/math/calculus/derivative-applications/optimization/","Turn a word problem into one objective function, then use calculus and endpoint checks to justify the best feasible value. Part of Calculus I Unit 2B: Applications of Derivatives.","179","true","true"
"/subjects/math/calculus/derivative-applications/other-indeterminate-forms/","Learn products, differences, and powers with clear exposition, guided derivations, worked examples, visuals, checks, and interpretation. Part of Calculus I Unit 2B: Applications of Derivatives.","193","true","true"
"/subjects/math/calculus/derivative-applications/position-velocity-acceleration/","Learn position, velocity, and acceleration with clear exposition, guided derivations, worked examples, visuals, checks, and interpretation. Part of Calculus I Unit 2B: Applications of Derivatives.","196","true","true"
"/subjects/math/calculus/derivative-applications/practice-exam-a-answer-key/","Review complete source-verified answers and solution guidance for Unit 2B Practice Exam A.","90","true","true"
"/subjects/math/calculus/derivative-applications/practice-exam-a/","Complete Unit 2B Practice Exam A as a cumulative Calculus I assessment, then use the separately published answer key for review.","128","true","true"
"/subjects/math/calculus/derivative-applications/practice-exam-b-answer-key/","Review complete source-verified answers and solution guidance for Unit 2B Practice Exam B.","90","true","true"
"/subjects/math/calculus/derivative-applications/practice-exam-b/","Complete Unit 2B Practice Exam B as a cumulative Calculus I assessment, then use the separately published answer key for review.","128","true","true"
"/subjects/math/calculus/derivative-applications/radar-tracking/","Learn radar and camera tracking with changing angles with clear exposition, guided derivations, worked examples, visuals, checks, and interpretation. Part of Calculus I Unit 2B: Applications of Derivatives.","206","true","true"
"/subjects/math/calculus/derivative-applications/rates-from-data/","Learn rates from data and units with clear exposition, guided derivations, worked examples, visuals, checks, and interpretation. Part of Calculus I Unit 2B: Applications of Derivatives.","185","true","true"
"/subjects/math/calculus/derivative-applications/reference/","Use this applications of derivatives reference for formulas, notation, domains, units, and problem-solving strategy. Part of Calculus I Unit 2B: Applications of Derivatives.","173","true","true"
"/subjects/math/calculus/derivative-applications/related-rates-angle/","Learn changing angles with clear exposition, guided derivations, worked examples, visuals, checks, and interpretation. Part of Calculus I Unit 2B: Applications of Derivatives.","175","true","true"
"/subjects/math/calculus/derivative-applications/related-rates-concept-quiz/","Test conceptual understanding of related rates concept quiz with a short self-check and model responses. Part of Calculus I Unit 2B: Applications of Derivatives.","161","true","true"
"/subjects/math/calculus/derivative-applications/related-rates-mixed/","Learn mixed related-rates problems with clear exposition, guided derivations, worked examples, visuals, checks, and interpretation. Part of Calculus I Unit 2B: Applications of Derivatives.","188","true","true"
"/subjects/math/calculus/derivative-applications/related-rates-pythagorean/","Learn pythagorean related rates with clear exposition, guided derivations, worked examples, visuals, checks, and interpretation. Part of Calculus I Unit 2B: Applications of Derivatives.","185","true","true"
"/subjects/math/calculus/derivative-applications/related-rates-review/","Review related rates review with mixed practice and links back to the exact lessons behind each skill. Part of Calculus I Unit 2B: Applications of Derivatives.","159","true","true"
"/subjects/math/calculus/derivative-applications/related-rates-shadows/","Learn shadows and similar triangles with clear exposition, guided derivations, worked examples, visuals, checks, and interpretation. Part of Calculus I Unit 2B: Applications of Derivatives.","189","true","true"
"/subjects/math/calculus/derivative-applications/related-rates-volume/","Learn volume and filling problems with clear exposition, guided derivations, worked examples, visuals, checks, and interpretation. Part of Calculus I Unit 2B: Applications of Derivatives.","187","true","true"
"/subjects/math/calculus/derivative-applications/related-rates-workflow/","Learn related rates workflow with clear exposition, guided derivations, worked examples, visuals, checks, and interpretation. Part of Calculus I Unit 2B: Applications of Derivatives.","182","true","true"
"/subjects/math/calculus/derivative-applications/related-rates/","Connect changing quantities with one equation, differentiate with respect to time, and substitute only after the rates appear. Part of Calculus I Unit 2B: Applications of Derivatives.","183","true","true"
"/subjects/math/calculus/derivative-applications/repeated-lhopital/","Learn repeated l&#x27;hopital applications with clear exposition, guided derivations, worked examples, visuals, checks, and interpretation. Part of Calculus I Unit 2B: Applications of Derivatives.","196","true","true"
"/subjects/math/calculus/derivative-applications/rolles-theorem/","Learn rolle&#x27;s theorem with clear exposition, guided derivations, worked examples, visuals, checks, and interpretation. Part of Calculus I Unit 2B: Applications of Derivatives.","180","true","true"
"/subjects/math/calculus/derivative-applications/second-derivative-test/","Learn the second derivative test with clear exposition, guided derivations, worked examples, visuals, checks, and interpretation. Part of Calculus I Unit 2B: Applications of Derivatives.","186","true","true"
"/subjects/math/calculus/derivative-applications/speeding-up-slowing-down/","Learn speeding up and slowing down with clear exposition, guided derivations, worked examples, visuals, checks, and interpretation. Part of Calculus I Unit 2B: Applications of Derivatives.","188","true","true"
"/subjects/math/calculus/derivative-applications/stopping-distance/","Learn reaction time, braking, and vehicle stopping distance with clear exposition, guided derivations, worked examples, visuals, checks, and interpretation. Part of Calculus I Unit 2B: Applications of Derivatives.","213","true","true"
"/subjects/math/calculus/derivative-applications/theorems-shape-concept-quiz/","Test conceptual understanding of derivative theorems and shape concept quiz with a short self-check and model responses. Part of Calculus I Unit 2B: Applications of Derivatives.","177","true","true"
"/subjects/math/calculus/derivative-applications/theorems-shape-review/","Review derivative theorems and shape review with mixed practice and links back to the exact lessons behind each skill. Part of Calculus I Unit 2B: Applications of Derivatives.","175","true","true"
"/subjects/math/calculus/derivative-applications/unit-2b-review/","Review unit 2b review: applications of derivatives and optimization with mixed practice and links back to the exact lessons behind each skill. Part of Calculus I Unit 2B: Applications of Derivatives.","199","true","true"
"/subjects/math/calculus/derivative-applications/when-not-lhopital/","Learn when not to use l&#x27;hopital&#x27;s rule with clear exposition, guided derivations, worked examples, visuals, checks, and interpretation. Part of Calculus I Unit 2B: Applications of Derivatives.","202","true","true"
"/subjects/math/calculus/derivative-applications/why-linear-approximation-works/","Learn why a tangent line can approximate a curve with clear exposition, guided derivations, worked examples, visuals, checks, and interpretation. Part of Calculus I Unit 2B: Applications of Derivatives.","202","true","true"
"/subjects/math/calculus/derivative-applications/why-related-rates-feel-hard/","Learn why related-rates problems feel hard with clear exposition, guided derivations, worked examples, visuals, checks, and interpretation. Part of Calculus I Unit 2B: Applications of Derivatives.","196","true","true"
"/subjects/math/calculus/derivatives/","Study Unit 2A: Derivative Foundations and Differentiation Techniques through a complete sequential course with explanations, visuals, checks, reviews, practice exams, and answer keys.","183","true","true"
