lesson,companion,companion_role,confidence
"/subjects/math/calculus/derivative-applications/concavity/","/subjects/math/calculus/visuals/derivative-rules-map/","visual-guide","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/cumulative-practice/","/glossary/math/antiderivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/cumulative-practice/","/glossary/math/derivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/cumulative-practice/","/glossary/math/implicit-differentiation/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/cumulative-practice/","/subjects/math/calculus/formula-sheets/derivative-rules/","formula-sheet","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/cumulative-practice/","/subjects/math/calculus/visuals/derivative-rules-map/","visual-guide","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/curve-sketching/","/glossary/math/antiderivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/curve-sketching/","/glossary/math/derivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/curve-sketching/","/glossary/math/implicit-differentiation/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/curve-sketching/","/subjects/math/calculus/formula-sheets/derivative-rules/","formula-sheet","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/curve-sketching/","/subjects/math/calculus/visuals/derivative-rules-map/","visual-guide","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/derivative-graphs/","/glossary/math/antiderivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/derivative-graphs/","/glossary/math/derivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/derivative-graphs/","/glossary/math/implicit-differentiation/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/derivative-graphs/","/subjects/math/calculus/formula-sheets/derivative-rules/","formula-sheet","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/derivative-graphs/","/subjects/math/calculus/visuals/derivative-rules-map/","visual-guide","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/differentials/","/glossary/math/antiderivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/differentials/","/glossary/math/derivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/differentials/","/glossary/math/implicit-differentiation/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/differentials/","/subjects/math/calculus/formula-sheets/derivative-rules/","formula-sheet","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/differentials/","/subjects/math/calculus/visuals/derivative-rules-map/","visual-guide","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/error-estimation/","/glossary/math/antiderivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/error-estimation/","/glossary/math/derivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/error-estimation/","/glossary/math/implicit-differentiation/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/error-estimation/","/subjects/math/calculus/formula-sheets/derivative-rules/","formula-sheet","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/error-estimation/","/subjects/math/calculus/visuals/derivative-rules-map/","visual-guide","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/extrema-and-critical-numbers/","/glossary/math/antiderivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/extrema-and-critical-numbers/","/glossary/math/derivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/extrema-and-critical-numbers/","/glossary/math/implicit-differentiation/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/extrema-and-critical-numbers/","/subjects/math/calculus/formula-sheets/derivative-rules/","formula-sheet","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/extrema-and-critical-numbers/","/subjects/math/calculus/visuals/derivative-rules-map/","visual-guide","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/first-derivative-test/","/glossary/math/antiderivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/first-derivative-test/","/glossary/math/derivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/first-derivative-test/","/glossary/math/implicit-differentiation/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/first-derivative-test/","/subjects/math/calculus/formula-sheets/derivative-rules/","formula-sheet","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/first-derivative-test/","/subjects/math/calculus/visuals/derivative-rules-map/","visual-guide","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/graph-analysis-story/","/glossary/math/antiderivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/graph-analysis-story/","/glossary/math/derivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/graph-analysis-story/","/glossary/math/implicit-differentiation/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/graph-analysis-story/","/subjects/math/calculus/formula-sheets/derivative-rules/","formula-sheet","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/graph-analysis-story/","/subjects/math/calculus/visuals/derivative-rules-map/","visual-guide","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/how-to-translate-word-problems/","/glossary/math/antiderivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/how-to-translate-word-problems/","/glossary/math/derivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/how-to-translate-word-problems/","/glossary/math/implicit-differentiation/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/how-to-translate-word-problems/","/subjects/math/calculus/formula-sheets/derivative-rules/","formula-sheet","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/how-to-translate-word-problems/","/subjects/math/calculus/visuals/derivative-rules-map/","visual-guide","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/increasing-decreasing/","/glossary/math/antiderivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/increasing-decreasing/","/glossary/math/derivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/increasing-decreasing/","/glossary/math/implicit-differentiation/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/increasing-decreasing/","/subjects/math/calculus/formula-sheets/derivative-rules/","formula-sheet","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/increasing-decreasing/","/subjects/math/calculus/visuals/derivative-rules-map/","visual-guide","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/interpretation-concept-quiz/","/glossary/math/antiderivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/interpretation-concept-quiz/","/glossary/math/derivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/interpretation-concept-quiz/","/glossary/math/implicit-differentiation/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/interpretation-concept-quiz/","/subjects/math/calculus/formula-sheets/derivative-rules/","formula-sheet","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/interpretation-concept-quiz/","/subjects/math/calculus/visuals/derivative-rules-map/","visual-guide","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/interpretation-review/","/glossary/math/antiderivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/interpretation-review/","/glossary/math/derivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/interpretation-review/","/glossary/math/implicit-differentiation/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/interpretation-review/","/subjects/math/calculus/formula-sheets/derivative-rules/","formula-sheet","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/interpretation-review/","/subjects/math/calculus/visuals/derivative-rules-map/","visual-guide","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/interpreting-derivatives/","/glossary/math/antiderivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/interpreting-derivatives/","/glossary/math/derivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/interpreting-derivatives/","/glossary/math/implicit-differentiation/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/interpreting-derivatives/","/subjects/math/calculus/formula-sheets/derivative-rules/","formula-sheet","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/interpreting-derivatives/","/subjects/math/calculus/visuals/derivative-rules-map/","visual-guide","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/interpreting-higher-derivatives/","/glossary/math/antiderivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/interpreting-higher-derivatives/","/glossary/math/derivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/interpreting-higher-derivatives/","/glossary/math/implicit-differentiation/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/interpreting-higher-derivatives/","/subjects/math/calculus/formula-sheets/derivative-rules/","formula-sheet","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/interpreting-higher-derivatives/","/subjects/math/calculus/visuals/derivative-rules-map/","visual-guide","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/lhopital-concept-quiz/","/glossary/math/antiderivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/lhopital-concept-quiz/","/glossary/math/derivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/lhopital-concept-quiz/","/glossary/math/implicit-differentiation/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/lhopital-concept-quiz/","/subjects/math/calculus/formula-sheets/derivative-rules/","formula-sheet","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/lhopital-concept-quiz/","/subjects/math/calculus/visuals/derivative-rules-map/","visual-guide","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/lhopital-infinity-over-infinity/","/glossary/math/antiderivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/lhopital-infinity-over-infinity/","/glossary/math/derivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/lhopital-infinity-over-infinity/","/glossary/math/implicit-differentiation/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/lhopital-infinity-over-infinity/","/subjects/math/calculus/formula-sheets/derivative-rules/","formula-sheet","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/lhopital-infinity-over-infinity/","/subjects/math/calculus/visuals/derivative-rules-map/","visual-guide","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/lhopital-is-not-cancellation/","/glossary/math/antiderivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/lhopital-is-not-cancellation/","/glossary/math/derivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/lhopital-is-not-cancellation/","/glossary/math/implicit-differentiation/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/lhopital-is-not-cancellation/","/subjects/math/calculus/formula-sheets/derivative-rules/","formula-sheet","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/lhopital-is-not-cancellation/","/subjects/math/calculus/visuals/derivative-rules-map/","visual-guide","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/lhopital-review/","/glossary/math/antiderivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/lhopital-review/","/glossary/math/derivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/lhopital-review/","/glossary/math/implicit-differentiation/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/lhopital-review/","/subjects/math/calculus/formula-sheets/derivative-rules/","formula-sheet","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/lhopital-review/","/subjects/math/calculus/visuals/derivative-rules-map/","visual-guide","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/lhopital-rule/","/glossary/math/antiderivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/lhopital-rule/","/glossary/math/derivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/lhopital-rule/","/glossary/math/implicit-differentiation/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/lhopital-rule/","/subjects/math/calculus/formula-sheets/derivative-rules/","formula-sheet","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/lhopital-rule/","/subjects/math/calculus/visuals/derivative-rules-map/","visual-guide","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/lhopital-zero-over-zero/","/glossary/math/antiderivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/lhopital-zero-over-zero/","/glossary/math/derivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/lhopital-zero-over-zero/","/glossary/math/implicit-differentiation/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/lhopital-zero-over-zero/","/subjects/math/calculus/formula-sheets/derivative-rules/","formula-sheet","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/lhopital-zero-over-zero/","/subjects/math/calculus/visuals/derivative-rules-map/","visual-guide","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/linearization-practice/","/glossary/math/antiderivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/linearization-practice/","/glossary/math/derivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/linearization-practice/","/glossary/math/implicit-differentiation/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/linearization-practice/","/subjects/math/calculus/formula-sheets/derivative-rules/","formula-sheet","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/linearization-practice/","/subjects/math/calculus/visuals/derivative-rules-map/","visual-guide","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/local-linearity/","/glossary/math/antiderivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/local-linearity/","/glossary/math/derivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/local-linearity/","/glossary/math/implicit-differentiation/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/local-linearity/","/subjects/math/calculus/formula-sheets/derivative-rules/","formula-sheet","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/local-linearity/","/subjects/math/calculus/visuals/derivative-rules-map/","visual-guide","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/manufacturing-tolerance/","/glossary/math/antiderivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/manufacturing-tolerance/","/glossary/math/derivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/manufacturing-tolerance/","/glossary/math/implicit-differentiation/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/manufacturing-tolerance/","/subjects/math/calculus/formula-sheets/derivative-rules/","formula-sheet","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/manufacturing-tolerance/","/subjects/math/calculus/visuals/derivative-rules-map/","visual-guide","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/marginal-analysis/","/glossary/math/antiderivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/marginal-analysis/","/glossary/math/derivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/marginal-analysis/","/glossary/math/implicit-differentiation/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/marginal-analysis/","/subjects/math/calculus/formula-sheets/derivative-rules/","formula-sheet","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/marginal-analysis/","/subjects/math/calculus/visuals/derivative-rules-map/","visual-guide","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/mean-value-theorem/","/glossary/math/antiderivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/mean-value-theorem/","/glossary/math/derivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/mean-value-theorem/","/glossary/math/implicit-differentiation/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/mean-value-theorem/","/subjects/math/calculus/formula-sheets/derivative-rules/","formula-sheet","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/mean-value-theorem/","/subjects/math/calculus/visuals/derivative-rules-map/","visual-guide","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/medication-concentration/","/glossary/math/limit/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/medication-concentration/","/glossary/math/one-sided-limit/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/modeling-studio-review/","/glossary/math/antiderivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/modeling-studio-review/","/glossary/math/derivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/modeling-studio-review/","/glossary/math/implicit-differentiation/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/modeling-studio-review/","/subjects/math/calculus/formula-sheets/derivative-rules/","formula-sheet","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/modeling-studio-review/","/subjects/math/calculus/visuals/derivative-rules-map/","visual-guide","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/modeling-studio/","/glossary/math/antiderivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/modeling-studio/","/glossary/math/derivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/modeling-studio/","/glossary/math/implicit-differentiation/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/modeling-studio/","/subjects/math/calculus/formula-sheets/derivative-rules/","formula-sheet","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/modeling-studio/","/subjects/math/calculus/visuals/derivative-rules-map/","visual-guide","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/newtons-method/","/glossary/math/antiderivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/newtons-method/","/glossary/math/derivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/newtons-method/","/glossary/math/implicit-differentiation/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/newtons-method/","/subjects/math/calculus/formula-sheets/derivative-rules/","formula-sheet","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/newtons-method/","/subjects/math/calculus/visuals/derivative-rules-map/","visual-guide","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/optimization-business-science/","/glossary/math/optimization/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/optimization-closed-interval/","/glossary/math/optimization/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/optimization-concept-quiz/","/glossary/math/optimization/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/optimization-geometry/","/glossary/math/optimization/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/optimization-modeling/","/glossary/math/optimization/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/optimization-review/","/glossary/math/optimization/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/other-indeterminate-forms/","/glossary/math/antiderivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/other-indeterminate-forms/","/glossary/math/derivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/other-indeterminate-forms/","/glossary/math/implicit-differentiation/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/other-indeterminate-forms/","/subjects/math/calculus/formula-sheets/derivative-rules/","formula-sheet","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/other-indeterminate-forms/","/subjects/math/calculus/visuals/derivative-rules-map/","visual-guide","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/position-velocity-acceleration/","/glossary/math/antiderivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/position-velocity-acceleration/","/glossary/math/derivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/position-velocity-acceleration/","/glossary/math/implicit-differentiation/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/position-velocity-acceleration/","/subjects/math/calculus/formula-sheets/derivative-rules/","formula-sheet","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/position-velocity-acceleration/","/subjects/math/calculus/visuals/derivative-rules-map/","visual-guide","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/practice-exam-a-answer-key/","/glossary/math/antiderivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/practice-exam-a-answer-key/","/glossary/math/derivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/practice-exam-a-answer-key/","/glossary/math/implicit-differentiation/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/practice-exam-a-answer-key/","/subjects/math/calculus/formula-sheets/derivative-rules/","formula-sheet","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/practice-exam-a-answer-key/","/subjects/math/calculus/visuals/derivative-rules-map/","visual-guide","high-confidence-inferred"
