sourceLessonId,url,conceptId,queryFamily,currentH1,proposedH1,seoTitle,classification,rationale
P4.12,/subjects/math/precalculus/polynomial-functions/complex-zeros-and-the-fundamental-theorem-of-algebra/,concept.math.count-polynomial-zeros-over-the-complex-numbers-use-conjugate-pairs-for-real-coefficients-and-build-real-polynomials-from-complex-roots,complex zeros and the fundamental theorem of algebra,Complex zeros and the Fundamental Theorem of Algebra,Complex zeros and the Fundamental Theorem of Algebra,Complex zeros and the Fundamental Theorem of Algebra | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P4.13,/subjects/math/precalculus/polynomial-functions/building-polynomial-models-and-finding-numerical-roots/,concept.math.construct-polynomial-functions-from-conditions-fit-vertical-scale-and-approximate-roots-that-lack-convenient-exact-forms,building polynomial models and finding numerical roots,Building polynomial models and finding numerical roots,Building polynomial models and finding numerical roots,Building polynomial models and finding numerical roots | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P5.1,/subjects/math/precalculus/rational-functions/rational-functions-and-their-domains/,concept.math.identify-rational-functions-and-determine-all-excluded-inputs-from-the-original-denominator-before-simplifying,rational functions and their domains,Rational functions and their domains,Rational functions and their domains,Rational functions and their domains | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P5.2,/subjects/math/precalculus/rational-functions/equivalent-formulas-different-functions-and-holes/,concept.math.identify-removable-discontinuities-caused-by-common-factors-and-distinguish-formula-equivalence-from-function-equality,"equivalent rational formulas, different domains, and holes","Equivalent formulas, different functions, and holes","Equivalent Rational Formulas, Different Domains, and Holes","Equivalent Rational Formulas, Different Domains, and Holes | Better Grades",RETITLE,Rendered title clarifies the mathematical topic without moving the established URL.
P5.3,/subjects/math/precalculus/rational-functions/vertical-asymptotes-and-local-behavior/,concept.math.determine-vertical-asymptotes-and-describe-one-sided-behavior-from-factor-signs-and-multiplicity,vertical asymptotes and local behavior,Vertical asymptotes and local behavior,Vertical asymptotes and local behavior,Vertical asymptotes and local behavior | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P5.4,/subjects/math/precalculus/rational-functions/horizontal-asymptotes-and-end-behavior/,concept.math.determine-horizontal-asymptotes-from-degree-comparison-and-interpret-them-as-long-run-output-behavior,horizontal asymptotes and end behavior,Horizontal asymptotes and end behavior,Horizontal asymptotes and end behavior,Horizontal asymptotes and end behavior | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P5.5,/subjects/math/precalculus/rational-functions/slant-and-polynomial-asymptotes/,concept.math.use-polynomial-division-to-determine-nonhorizontal-asymptotes-and-describe-the-shrinking-remainder-term,slant and polynomial asymptotes,Slant and polynomial asymptotes,Slant and polynomial asymptotes,Slant and polynomial asymptotes | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P5.6,/subjects/math/precalculus/rational-functions/intercepts-and-sign-charts/,concept.math.find-rational-intercepts-and-determine-positive-and-negative-intervals-using-factored-sign-structure,intercepts and sign charts,Intercepts and sign charts,Intercepts and sign charts,Intercepts and sign charts | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P5.7,/subjects/math/precalculus/rational-functions/complete-rational-graph-construction/,concept.math.construct-a-complete-rational-graph-using-domain-discontinuities-asymptotes-intercepts-signs-and-selected-values,complete rational graph construction,Complete rational graph construction,Complete rational graph construction,Complete rational graph construction | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P5.8,/subjects/math/precalculus/rational-functions/rational-equations-and-function-intersections/,concept.math.solve-rational-equations-and-intersections-exactly-or-numerically-while-rejecting-excluded-candidates,rational equations and function intersections,Rational equations and function intersections,Rational equations and function intersections,Rational equations and function intersections | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P5.9,/subjects/math/precalculus/rational-functions/rational-inequalities/,concept.math.solve-rational-inequalities-using-critical-values-sign-intervals-and-correct-endpoint-inclusion,rational inequalities,Rational inequalities,Rational inequalities,Rational inequalities | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P5.10,/subjects/math/precalculus/rational-functions/variation-and-rational-models/,concept.math.build-and-interpret-direct-inverse-joint-and-combined-variation-models-with-meaningful-parameters-and-domains,variation and rational models,Variation and rational models,Variation and rational models,Variation and rational models | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P5.11,/subjects/math/precalculus/rational-functions/partial-fraction-structure/,concept.math.decompose-proper-rational-functions-with-factorable-denominators-into-simpler-component-fractions-and-verify-recombination,partial-fraction structure in rational functions,Partial-fraction structure,Partial-Fraction Structure in Rational Functions,Partial-Fraction Structure in Rational Functions | Better Grades,RETITLE,Rendered title clarifies the mathematical topic without moving the established URL.
P6.1,/subjects/math/precalculus/exponential-and-logarithmic-functions/additive-versus-multiplicative-change/,concept.math.distinguish-linear-exponential-and-neither-patterns-by-comparing-equal-input-differences-ratios-and-percent-changes,additive vs. multiplicative change in function models,Additive versus multiplicative change,Additive vs. Multiplicative Change in Function Models,Additive vs. Multiplicative Change in Function Models | Better Grades,RETITLE,Rendered title clarifies the mathematical topic without moving the established URL.
P6.2,/subjects/math/precalculus/exponential-and-logarithmic-functions/exponential-functions-and-parameters/,concept.math.analyze-f-x-ab-x-by-interpreting-initial-value-base-multiplier-percent-rate-domain-range-and-asymptote,exponential functions and parameters,Exponential functions and parameters,Exponential functions and parameters,Exponential functions and parameters | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P6.3,/subjects/math/precalculus/exponential-and-logarithmic-functions/exponential-transformations/,concept.math.analyze-transformed-exponential-functions-and-track-asymptotes-domain-range-and-feature-points,exponential transformations,Exponential transformations,Exponential transformations,Exponential transformations | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P6.4,/subjects/math/precalculus/exponential-and-logarithmic-functions/growth-and-decay-models/,concept.math.construct-exponential-models-from-an-initial-value-rate-multiplier-two-points-or-a-known-doubling-or-half-life,advanced growth and decay models in precalculus,Growth and decay models,Advanced Growth and Decay Models in Precalculus,Advanced Growth and Decay Models in Precalculus | Better Grades,RETITLE,Rendered title clarifies the mathematical topic without moving the established URL.
P6.5,/subjects/math/precalculus/exponential-and-logarithmic-functions/compound-interest-and-effective-rate/,concept.math.use-periodic-compounding-models-and-compare-nominal-rates-periodic-rates-compounding-frequency-and-effective-annual-yield,compound interest and effective rate,Compound interest and effective rate,Compound interest and effective rate,Compound interest and effective rate | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P6.6,/subjects/math/precalculus/exponential-and-logarithmic-functions/continuous-growth-and-the-number-e/,concept.math.use-a-t-a0e-kt-for-continuous-proportional-change-and-interpret-the-continuous-rate-parameter-k,continuous growth and the number e,Continuous growth and the number e,Continuous growth and the number e,Continuous growth and the number e | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P6.7,/subjects/math/precalculus/exponential-and-logarithmic-functions/exponential-regression-and-residuals/,concept.math.fit-an-exponential-model-to-data-interpret-parameters-inspect-residuals-and-evaluate-interpolation-and-extrapolation,exponential regression and residuals,Exponential regression and residuals,Exponential regression and residuals,Exponential regression and residuals | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P6.8,/subjects/math/precalculus/exponential-and-logarithmic-functions/logistic-and-bounded-growth/,concept.math.analyze-logistic-growth-qualitatively-and-interpret-initial-value-carrying-capacity-growth-rate-and-inflection-behavior,logistic and bounded growth,Logistic and bounded growth,Logistic and bounded growth,Logistic and bounded growth | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P6.9,/subjects/math/precalculus/exponential-and-logarithmic-functions/logarithms-as-inverse-functions/,concept.math.define-log-base-b-as-the-inverse-of-b-x-convert-between-forms-and-interpret-logarithms-as-exponents,logarithms as inverse functions,Logarithms as inverse functions,Logarithms as inverse functions,Logarithms as inverse functions | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P6.10,/subjects/math/precalculus/exponential-and-logarithmic-functions/logarithmic-graphs-and-transformations/,concept.math.analyze-transformed-logarithmic-functions-including-domain-range-vertical-asymptote-intercepts-and-base-dependent-direction,logarithmic graphs and transformations,Logarithmic graphs and transformations,Logarithmic graphs and transformations,Logarithmic graphs and transformations | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P6.11,/subjects/math/precalculus/exponential-and-logarithmic-functions/logarithm-laws/,concept.math.derive-and-apply-product-quotient-and-power-laws-while-preserving-positive-argument-domains,applying logarithm laws in precalculus models,Logarithm laws,Applying Logarithm Laws in Precalculus Models,Applying Logarithm Laws in Precalculus Models | Better Grades,RETITLE,Rendered title clarifies the mathematical topic without moving the established URL.
P6.12,/subjects/math/precalculus/exponential-and-logarithmic-functions/solving-exponential-equations/,concept.math.solve-exponential-equations-using-common-bases-logarithms-and-numerical-methods-and-interpret-exact-and-approximate-answers,solving exponential equations in precalculus models,Solving exponential equations,Solving Exponential Equations in Precalculus Models,Solving Exponential Equations in Precalculus Models | Better Grades,RETITLE,Rendered title clarifies the mathematical topic without moving the established URL.
P6.13,/subjects/math/precalculus/exponential-and-logarithmic-functions/solving-logarithmic-equations-and-interpreting-inverse-models/,concept.math.solve-logarithmic-equations-reject-invalid-arguments-and-use-logarithms-to-analyze-doubling-time-half-life-and-logarithmic-scales,solving logarithmic equations and interpreting inverse models,Solving logarithmic equations and interpreting inverse models,Solving logarithmic equations and interpreting inverse models,Solving logarithmic equations and interpreting inverse models | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P7.1,/subjects/math/precalculus/systems-matrices-and-multivariable-models/systems-as-intersections-and-models/,concept.math.interpret-a-system-solution-as-an-input-output-point-satisfying-every-equation-and-solve-two-variable-systems-graphically-and-algebraically,systems as intersections and models,Systems as intersections and models,Systems as intersections and models,Systems as intersections and models | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P7.2,/subjects/math/precalculus/systems-matrices-and-multivariable-models/nonlinear-systems/,concept.math.solve-systems-involving-lines-quadratics-circles-rational-exponential-or-other-nonlinear-functions-and-interpret-all-real-intersections,nonlinear systems,Nonlinear systems,Nonlinear systems,Nonlinear systems | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P7.3,/subjects/math/precalculus/systems-matrices-and-multivariable-models/systems-of-inequalities-and-feasible-regions/,concept.math.graph-simultaneous-inequalities-identify-feasible-regions-and-interpret-boundaries-and-vertices,systems of inequalities and feasible regions,Systems of inequalities and feasible regions,Systems of inequalities and feasible regions,Systems of inequalities and feasible regions | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
