priority,conceptId,canonicalLesson,missingQueryFamily,intendedRole,forbiddenCompetingIntent,requiredInboundLinks,requiredOutboundLinks,rationale
medium,cross.difference-quotients,/subjects/math/calculus/derivatives/difference-quotient-algebra/,difference quotient quick explanation,quick-answer,difference quotient,/subjects/math/calculus/derivatives/difference-quotient-algebra/,/subjects/math/calculus/derivatives/difference-quotient-algebra/,Acquisition page must preserve the ownership distinction: Calculus owns formal derivative preparation; Precalculus is explicitly readiness-focused.
medium,cross.limits,/subjects/math/calculus/limits-continuity/unit/limits/what-a-limit-means/,limits quick explanation,quick-answer,limits,/subjects/math/calculus/limits-continuity/unit/limits/what-a-limit-means/,/subjects/math/calculus/limits-continuity/unit/limits/what-a-limit-means/,Acquisition page must preserve the ownership distinction: Calculus owns formal limits; Precalculus owns an introduction before calculus.
medium,cross.continuity,/subjects/math/calculus/limits-continuity/unit/continuity/continuity-at-a-point/,continuity quick explanation,quick-answer,continuity,/subjects/math/calculus/limits-continuity/unit/continuity/continuity-at-a-point/,/subjects/math/calculus/limits-continuity/unit/continuity/continuity-at-a-point/,Acquisition page must preserve the ownership distinction: Calculus owns formal continuity; Precalculus owns the preview.
medium,cross.local-linearity,/subjects/math/calculus/derivative-applications/local-linearity/,local linearity quick explanation,quick-answer,local linearity,/subjects/math/calculus/derivative-applications/local-linearity/,/subjects/math/calculus/derivative-applications/local-linearity/,Acquisition page must preserve the ownership distinction: Calculus owns derivative-based local linearity; Precalculus owns magnification intuition before calculus.
high,calculus.derivative,/subjects/math/calculus/derivatives/what-does-derivative-mean/,how to recognize when to use derivative,method-selection,derivative,/subjects/math/calculus/derivatives/what-does-derivative-mean/,/subjects/math/calculus/derivatives/what-does-derivative-mean/,Fill acquisition intent without duplicating the deep lesson.
high,calculus.chain-rule,/subjects/math/calculus/derivatives/chain-rule/,how to recognize when to use chain rule,method-selection,chain rule,/subjects/math/calculus/derivatives/chain-rule/,/subjects/math/calculus/derivatives/chain-rule/,Fill acquisition intent without duplicating the deep lesson.
high,calculus.product-rule,/subjects/math/calculus/derivatives/product-rule/,how to recognize when to use product rule,method-selection,product rule,/subjects/math/calculus/derivatives/product-rule/,/subjects/math/calculus/derivatives/product-rule/,Fill acquisition intent without duplicating the deep lesson.
high,calculus.quotient-rule,/subjects/math/calculus/derivatives/quotient-rule/,how to recognize when to use quotient rule,method-selection,quotient rule,/subjects/math/calculus/derivatives/quotient-rule/,/subjects/math/calculus/derivatives/quotient-rule/,Fill acquisition intent without duplicating the deep lesson.
high,calculus.limits,/subjects/math/calculus/limits-continuity/unit/limits/what-a-limit-means/,how to recognize when to use limits,method-selection,limits,/subjects/math/calculus/limits-continuity/unit/limits/what-a-limit-means/,/subjects/math/calculus/limits-continuity/unit/limits/what-a-limit-means/,Fill acquisition intent without duplicating the deep lesson.
high,calculus.continuity,/subjects/math/calculus/limits-continuity/unit/continuity/continuity-at-a-point/,how to recognize when to use continuity,method-selection,continuity,/subjects/math/calculus/limits-continuity/unit/continuity/continuity-at-a-point/,/subjects/math/calculus/limits-continuity/unit/continuity/continuity-at-a-point/,Fill acquisition intent without duplicating the deep lesson.
high,calculus.integration,/subjects/math/calculus/integrals/antiderivatives/,how to recognize when to use integration,method-selection,integration,/subjects/math/calculus/integrals/antiderivatives/,/subjects/math/calculus/integrals/antiderivatives/,Fill acquisition intent without duplicating the deep lesson.
high,calculus.u-substitution,/subjects/math/calculus/integrals/substitution/,how to recognize when to use u-substitution,method-selection,u-substitution,/subjects/math/calculus/integrals/substitution/,/subjects/math/calculus/integrals/substitution/,Fill acquisition intent without duplicating the deep lesson.
high,calculus.partial-fractions,/subjects/math/calculus/integrals/partial-fractions/,how to recognize when to use partial fractions,method-selection,partial fractions,/subjects/math/calculus/integrals/partial-fractions/,/subjects/math/calculus/integrals/partial-fractions/,Fill acquisition intent without duplicating the deep lesson.
high,calculus.improper-integrals,/subjects/math/calculus/integration-techniques/improper-integrals/,how to recognize when to use improper integrals,method-selection,improper integrals,/subjects/math/calculus/integration-techniques/improper-integrals/,/subjects/math/calculus/integration-techniques/improper-integrals/,Fill acquisition intent without duplicating the deep lesson.
medium,calculus.optimization,/subjects/math/calculus/derivative-applications/anatomy-of-optimization/,how to recognize when to use optimization,method-selection,optimization,/subjects/math/calculus/derivative-applications/anatomy-of-optimization/,/subjects/math/calculus/derivative-applications/anatomy-of-optimization/,Fill acquisition intent without duplicating the deep lesson.
medium,calculus.related-rates,/subjects/math/calculus/derivative-applications/related-rates-workflow/,how to recognize when to use related rates,method-selection,related rates,/subjects/math/calculus/derivative-applications/related-rates-workflow/,/subjects/math/calculus/derivative-applications/related-rates-workflow/,Fill acquisition intent without duplicating the deep lesson.
medium,calculus.geometric-series,/subjects/math/calculus/sequences-and-series/geometric-series/,how to recognize when to use geometric series,method-selection,geometric series,/subjects/math/calculus/sequences-and-series/geometric-series/,/subjects/math/calculus/sequences-and-series/geometric-series/,Fill acquisition intent without duplicating the deep lesson.
medium,calculus.sequences,/subjects/math/calculus/sequences-and-series/sequences-as-functions/,how to recognize when to use sequences,method-selection,sequences,/subjects/math/calculus/sequences-and-series/sequences-as-functions/,/subjects/math/calculus/sequences-and-series/sequences-as-functions/,Fill acquisition intent without duplicating the deep lesson.
medium,calculus.convergence-test-selection,/subjects/math/calculus/sequences-and-series/choosing-a-convergence-test/,how to recognize when to use convergence-test selection,method-selection,convergence-test selection,/subjects/math/calculus/sequences-and-series/choosing-a-convergence-test/,/subjects/math/calculus/sequences-and-series/choosing-a-convergence-test/,Fill acquisition intent without duplicating the deep lesson.
medium,calculus.taylor-series,/subjects/math/calculus/power-series-and-taylor-series/taylor-series-centered-at-a/,how to recognize when to use Taylor series,method-selection,Taylor series,/subjects/math/calculus/power-series-and-taylor-series/taylor-series-centered-at-a/,/subjects/math/calculus/power-series-and-taylor-series/taylor-series-centered-at-a/,Fill acquisition intent without duplicating the deep lesson.
medium,calculus.radius-and-interval-of-convergence,/subjects/math/calculus/power-series-and-taylor-series/radius-and-interval-of-convergence/,how to recognize when to use radius and interval of convergence,method-selection,radius and interval of convergence,/subjects/math/calculus/power-series-and-taylor-series/radius-and-interval-of-convergence/,/subjects/math/calculus/power-series-and-taylor-series/radius-and-interval-of-convergence/,Fill acquisition intent without duplicating the deep lesson.
