priority,conceptId,canonicalLesson,assetIntent,assetRole,owner,requiredLinks,guardrail
medium,cross.continuity,/subjects/math/calculus/limits-continuity/unit/continuity/continuity-at-a-point/,practice continuity with feedback,worksheet,/subjects/math/calculus/limits-continuity/unit/continuity/continuity-at-a-point/,/subjects/math/calculus/limits-continuity/unit/continuity/continuity-at-a-point/,"Asset title must include worksheet, practice, calculator, visual, or reference intent."
medium,cross.local-linearity,/subjects/math/calculus/derivative-applications/local-linearity/,practice local linearity with feedback,worksheet,/subjects/math/calculus/derivative-applications/local-linearity/,/subjects/math/calculus/derivative-applications/local-linearity/,"Asset title must include worksheet, practice, calculator, visual, or reference intent."
high,calculus.derivative,/subjects/math/calculus/derivatives/what-does-derivative-mean/,derivative decision and error reference,worksheet,/subjects/math/calculus/derivatives/what-does-derivative-mean/,/subjects/math/calculus/derivatives/what-does-derivative-mean/,Support the canonical lesson; do not claim the unmodified instructional query.
high,calculus.chain-rule,/subjects/math/calculus/derivatives/chain-rule/,chain rule decision and error reference,visual-guide,/subjects/math/calculus/derivatives/chain-rule/,/subjects/math/calculus/derivatives/chain-rule/,Support the canonical lesson; do not claim the unmodified instructional query.
high,calculus.product-rule,/subjects/math/calculus/derivatives/product-rule/,product rule decision and error reference,worksheet,/subjects/math/calculus/derivatives/product-rule/,/subjects/math/calculus/derivatives/product-rule/,Support the canonical lesson; do not claim the unmodified instructional query.
high,calculus.quotient-rule,/subjects/math/calculus/derivatives/quotient-rule/,quotient rule decision and error reference,visual-guide,/subjects/math/calculus/derivatives/quotient-rule/,/subjects/math/calculus/derivatives/quotient-rule/,Support the canonical lesson; do not claim the unmodified instructional query.
high,calculus.limits,/subjects/math/calculus/limits-continuity/unit/limits/what-a-limit-means/,limits decision and error reference,worksheet,/subjects/math/calculus/limits-continuity/unit/limits/what-a-limit-means/,/subjects/math/calculus/limits-continuity/unit/limits/what-a-limit-means/,Support the canonical lesson; do not claim the unmodified instructional query.
high,calculus.continuity,/subjects/math/calculus/limits-continuity/unit/continuity/continuity-at-a-point/,continuity decision and error reference,visual-guide,/subjects/math/calculus/limits-continuity/unit/continuity/continuity-at-a-point/,/subjects/math/calculus/limits-continuity/unit/continuity/continuity-at-a-point/,Support the canonical lesson; do not claim the unmodified instructional query.
high,calculus.integration,/subjects/math/calculus/integrals/antiderivatives/,integration decision and error reference,worksheet,/subjects/math/calculus/integrals/antiderivatives/,/subjects/math/calculus/integrals/antiderivatives/,Support the canonical lesson; do not claim the unmodified instructional query.
high,calculus.u-substitution,/subjects/math/calculus/integrals/substitution/,u-substitution decision and error reference,visual-guide,/subjects/math/calculus/integrals/substitution/,/subjects/math/calculus/integrals/substitution/,Support the canonical lesson; do not claim the unmodified instructional query.
high,calculus.partial-fractions,/subjects/math/calculus/integrals/partial-fractions/,partial fractions decision and error reference,worksheet,/subjects/math/calculus/integrals/partial-fractions/,/subjects/math/calculus/integrals/partial-fractions/,Support the canonical lesson; do not claim the unmodified instructional query.
high,calculus.improper-integrals,/subjects/math/calculus/integration-techniques/improper-integrals/,improper integrals decision and error reference,visual-guide,/subjects/math/calculus/integration-techniques/improper-integrals/,/subjects/math/calculus/integration-techniques/improper-integrals/,Support the canonical lesson; do not claim the unmodified instructional query.
medium,calculus.optimization,/subjects/math/calculus/derivative-applications/anatomy-of-optimization/,optimization decision and error reference,worksheet,/subjects/math/calculus/derivative-applications/anatomy-of-optimization/,/subjects/math/calculus/derivative-applications/anatomy-of-optimization/,Support the canonical lesson; do not claim the unmodified instructional query.
medium,calculus.related-rates,/subjects/math/calculus/derivative-applications/related-rates-workflow/,related rates decision and error reference,visual-guide,/subjects/math/calculus/derivative-applications/related-rates-workflow/,/subjects/math/calculus/derivative-applications/related-rates-workflow/,Support the canonical lesson; do not claim the unmodified instructional query.
medium,calculus.geometric-series,/subjects/math/calculus/sequences-and-series/geometric-series/,geometric series decision and error reference,worksheet,/subjects/math/calculus/sequences-and-series/geometric-series/,/subjects/math/calculus/sequences-and-series/geometric-series/,Support the canonical lesson; do not claim the unmodified instructional query.
medium,calculus.sequences,/subjects/math/calculus/sequences-and-series/sequences-as-functions/,sequences decision and error reference,visual-guide,/subjects/math/calculus/sequences-and-series/sequences-as-functions/,/subjects/math/calculus/sequences-and-series/sequences-as-functions/,Support the canonical lesson; do not claim the unmodified instructional query.
medium,calculus.convergence-test-selection,/subjects/math/calculus/sequences-and-series/choosing-a-convergence-test/,convergence-test selection decision and error reference,worksheet,/subjects/math/calculus/sequences-and-series/choosing-a-convergence-test/,/subjects/math/calculus/sequences-and-series/choosing-a-convergence-test/,Support the canonical lesson; do not claim the unmodified instructional query.
medium,calculus.taylor-series,/subjects/math/calculus/power-series-and-taylor-series/taylor-series-centered-at-a/,Taylor series decision and error reference,visual-guide,/subjects/math/calculus/power-series-and-taylor-series/taylor-series-centered-at-a/,/subjects/math/calculus/power-series-and-taylor-series/taylor-series-centered-at-a/,Support the canonical lesson; do not claim the unmodified instructional query.
medium,calculus.radius-and-interval-of-convergence,/subjects/math/calculus/power-series-and-taylor-series/radius-and-interval-of-convergence/,radius and interval of convergence decision and error reference,worksheet,/subjects/math/calculus/power-series-and-taylor-series/radius-and-interval-of-convergence/,/subjects/math/calculus/power-series-and-taylor-series/radius-and-interval-of-convergence/,Support the canonical lesson; do not claim the unmodified instructional query.
