url,beforeTitle,afterTitle,afterH1,rationale,status
/subjects/math/precalculus/angles-radians-and-the-unit-circle/review/,Unit 9 Review,Radians and the Unit Circle Review,Radians and the Unit Circle Review,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/angles-radians-and-the-unit-circle/sine-and-cosine-as-coordinate-functions/,Sine and cosine as coordinate functions,Sine and Cosine as Unit-Circle Coordinates | Better Grades,Sine and Cosine as Unit-Circle Coordinates,Name the mathematical topic and course-stage intent while preserving the established URL.,IMPLEMENTED
/subjects/math/precalculus/angles-radians-and-the-unit-circle/wrapping-the-real-line-around-the-unit-circle/,Wrapping the real line around the unit circle,Wrapping the Real Line Around the Unit Circle | Better Grades,Wrapping the Real Line Around the Unit Circle,Name the mathematical topic and course-stage intent while preserving the established URL.,IMPLEMENTED
/subjects/math/precalculus/calculus-readiness-and-function-synthesis/accumulation-finite-sums-and-area-preview/,"Accumulation, finite sums, and area preview","Riemann Sums Preview: Accumulation, Finite Sums, and Area | Better Grades","Riemann Sums Preview: Accumulation, Finite Sums, and Area",Name the mathematical topic and course-stage intent while preserving the established URL.,IMPLEMENTED
/subjects/math/precalculus/calculus-readiness-and-function-synthesis/continuity-and-discontinuity/,Continuity and discontinuity,Continuity Preview for Precalculus | Better Grades,Continuity Preview for Precalculus,Name the mathematical topic and course-stage intent while preserving the established URL.,IMPLEMENTED
/subjects/math/precalculus/calculus-readiness-and-function-synthesis/difference-quotients/,Difference quotients,Difference Quotients for Calculus Readiness | Better Grades,Difference Quotients for Calculus Readiness,Name the mathematical topic and course-stage intent while preserving the established URL.,IMPLEMENTED
/subjects/math/precalculus/calculus-readiness-and-function-synthesis/function-family-classification/,Function-family classification,Classifying Function Families for Calculus Readiness | Better Grades,Classifying Function Families for Calculus Readiness,Name the mathematical topic and course-stage intent while preserving the established URL.,IMPLEMENTED
/subjects/math/precalculus/calculus-readiness-and-function-synthesis/infinite-behavior-and-asymptotes/,Infinite behavior and asymptotes,Asymptotes and Infinite Behavior: A Precalculus Review | Better Grades,Asymptotes and Infinite Behavior: A Precalculus Review,Name the mathematical topic and course-stage intent while preserving the established URL.,IMPLEMENTED
/subjects/math/precalculus/calculus-readiness-and-function-synthesis/intuitive-limits/,Intuitive limits,Introduction to Limits Before Calculus | Better Grades,Introduction to Limits Before Calculus,Name the mathematical topic and course-stage intent while preserving the established URL.,IMPLEMENTED
/subjects/math/precalculus/calculus-readiness-and-function-synthesis/investigation/,Unit 16 Investigation,Calculus Readiness and Function Synthesis Modeling Investigation,Calculus Readiness and Function Synthesis Modeling Investigation,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/calculus-readiness-and-function-synthesis/local-linearity-and-magnification/,Local linearity and magnification,Local Linearity and Magnification Before Calculus | Better Grades,Local Linearity and Magnification Before Calculus,Name the mathematical topic and course-stage intent while preserving the established URL.,IMPLEMENTED
/subjects/math/precalculus/calculus-readiness-and-function-synthesis/mastery-check/,Unit 16 Mastery Check,Calculus Readiness and Function Synthesis Practice Test,Calculus Readiness and Function Synthesis Practice Test,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/calculus-readiness-and-function-synthesis/practice/,Unit 16 Flexible Practice,Calculus Readiness and Function Synthesis Practice Problems,Calculus Readiness and Function Synthesis Practice Problems,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/calculus-readiness-and-function-synthesis/review/,Unit 16 Review,Calculus Readiness and Function Synthesis Review,Calculus Readiness and Function Synthesis Review,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/composition-inverses-and-modeling/composition-as-sequential-processing/,Composition as sequential processing,Function Composition as Sequential Processing | Better Grades,Function Composition as Sequential Processing,Name the mathematical topic and course-stage intent while preserving the established URL.,IMPLEMENTED
/subjects/math/precalculus/composition-inverses-and-modeling/investigation/,Unit 4 Investigation,Function Composition and Inverse Functions Modeling Investigation,Function Composition and Inverse Functions Modeling Investigation,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/composition-inverses-and-modeling/mastery-check/,Unit 4 Mastery Check,Function Composition and Inverse Functions Practice Test,Function Composition and Inverse Functions Practice Test,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/composition-inverses-and-modeling/practice/,Unit 4 Flexible Practice,Function Composition and Inverse Functions Practice Problems,Function Composition and Inverse Functions Practice Problems,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/composition-inverses-and-modeling/review/,Unit 4 Review,Function Composition and Inverse Functions Review,Function Composition and Inverse Functions Review,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/conic-sections-and-implicit-relations/conics-as-loci-and-the-circle-foundation/,Conics as loci and the circle foundation,Conic Sections as Loci: The Circle Foundation | Better Grades,Conic Sections as Loci: The Circle Foundation,Name the mathematical topic and course-stage intent while preserving the established URL.,IMPLEMENTED
/subjects/math/precalculus/conic-sections-and-implicit-relations/investigation/,Unit 13 Investigation,Conic Sections Modeling Investigation,Conic Sections Modeling Investigation,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/conic-sections-and-implicit-relations/mastery-check/,Unit 13 Mastery Check,Conic Sections Practice Test,Conic Sections Practice Test,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/conic-sections-and-implicit-relations/practice/,Unit 13 Flexible Practice,Conic Sections Practice Problems,Conic Sections Practice Problems,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/conic-sections-and-implicit-relations/review/,Unit 13 Review,Conic Sections Review,Conic Sections Review,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/conic-sections-and-implicit-relations/translated-conics-and-general-equations/,Translated conics and general equations,Translated Conic Sections and General Equations | Better Grades,Translated Conic Sections and General Equations,Name the mathematical topic and course-stage intent while preserving the established URL.,IMPLEMENTED
/subjects/math/precalculus/exponential-and-logarithmic-functions/additive-versus-multiplicative-change/,Additive versus multiplicative change,Additive vs. Multiplicative Change in Function Models | Better Grades,Additive vs. Multiplicative Change in Function Models,Name the mathematical topic and course-stage intent while preserving the established URL.,IMPLEMENTED
/subjects/math/precalculus/exponential-and-logarithmic-functions/investigation/,Unit 7 Investigation,Exponential and Logarithmic Functions Modeling Investigation,Exponential and Logarithmic Functions Modeling Investigation,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/exponential-and-logarithmic-functions/mastery-check/,Unit 7 Mastery Check,Exponential and Logarithmic Functions Practice Test,Exponential and Logarithmic Functions Practice Test,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/exponential-and-logarithmic-functions/practice/,Unit 7 Flexible Practice,Exponential and Logarithmic Functions Practice Problems,Exponential and Logarithmic Functions Practice Problems,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/exponential-and-logarithmic-functions/review/,Unit 7 Review,Exponential and Logarithmic Functions Review,Exponential and Logarithmic Functions Review,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/functions-and-multiple-representations/investigation/,Unit 2 Investigation,Functions and Multiple Representations Modeling Investigation,Functions and Multiple Representations Modeling Investigation,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/functions-and-multiple-representations/mastery-check/,Unit 2 Mastery Check,Functions and Multiple Representations Practice Test,Functions and Multiple Representations Practice Test,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/functions-and-multiple-representations/practice/,Unit 2 Flexible Practice,Functions and Multiple Representations Practice Problems,Functions and Multiple Representations Practice Problems,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/functions-and-multiple-representations/quantities-variables-and-dependency/,"Quantities, variables, and dependency","Quantities, Variables, and Dependency in Functions | Better Grades","Quantities, Variables, and Dependency in Functions",Name the mathematical topic and course-stage intent while preserving the established URL.,IMPLEMENTED
/subjects/math/precalculus/functions-and-multiple-representations/review/,Unit 2 Review,Functions and Multiple Representations Review,Functions and Multiple Representations Review,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/functions-and-multiple-representations/words-tables-graphs-and-formulas/,"Words, tables, graphs, and formulas","Representing Functions with Words, Tables, Graphs, and Formulas | Better Grades","Representing Functions with Words, Tables, Graphs, and Formulas",Name the mathematical topic and course-stage intent while preserving the established URL.,IMPLEMENTED
/subjects/math/precalculus/parametric-polar-and-complex-representations/investigation/,Unit 14 Investigation,"Parametric, Polar, and Complex Numbers Modeling Investigation","Parametric, Polar, and Complex Numbers Modeling Investigation",Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/parametric-polar-and-complex-representations/mastery-check/,Unit 14 Mastery Check,"Parametric, Polar, and Complex Numbers Practice Test","Parametric, Polar, and Complex Numbers Practice Test",Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/parametric-polar-and-complex-representations/practice/,Unit 14 Flexible Practice,"Parametric, Polar, and Complex Numbers Practice Problems","Parametric, Polar, and Complex Numbers Practice Problems",Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/parametric-polar-and-complex-representations/review/,Unit 14 Review,"Parametric, Polar, and Complex Numbers Review","Parametric, Polar, and Complex Numbers Review",Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/polynomial-functions/investigation/,Unit 5 Investigation,Polynomial Functions Modeling Investigation,Polynomial Functions Modeling Investigation,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/polynomial-functions/mastery-check/,Unit 5 Mastery Check,Polynomial Functions Practice Test,Polynomial Functions Practice Test,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/polynomial-functions/practice/,Unit 5 Flexible Practice,Polynomial Functions Practice Problems,Polynomial Functions Practice Problems,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/polynomial-functions/review/,Unit 5 Review,Polynomial Functions Review,Polynomial Functions Review,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/rational-functions/equivalent-formulas-different-functions-and-holes/,"Equivalent formulas, different functions, and holes","Equivalent Rational Formulas, Different Domains, and Holes | Better Grades","Equivalent Rational Formulas, Different Domains, and Holes",Name the mathematical topic and course-stage intent while preserving the established URL.,IMPLEMENTED
/subjects/math/precalculus/rational-functions/investigation/,Unit 6 Investigation,Rational Functions Modeling Investigation,Rational Functions Modeling Investigation,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/rational-functions/mastery-check/,Unit 6 Mastery Check,Rational Functions Practice Test,Rational Functions Practice Test,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/rational-functions/partial-fraction-structure/,Partial-fraction structure,Partial-Fraction Structure in Rational Functions | Better Grades,Partial-Fraction Structure in Rational Functions,Name the mathematical topic and course-stage intent while preserving the established URL.,IMPLEMENTED
/subjects/math/precalculus/rational-functions/practice/,Unit 6 Flexible Practice,Rational Functions Practice Problems,Rational Functions Practice Problems,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/rational-functions/review/,Unit 6 Review,Rational Functions Review,Rational Functions Review,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/sequences-series-and-discrete-models/explicit-and-recursive-descriptions/,Explicit and recursive descriptions,Explicit vs. Recursive Sequence Definitions | Better Grades,Explicit vs. Recursive Sequence Definitions,Name the mathematical topic and course-stage intent while preserving the established URL.,IMPLEMENTED
/subjects/math/precalculus/sequences-series-and-discrete-models/investigation/,Unit 15 Investigation,Sequences and Series Modeling Investigation,Sequences and Series Modeling Investigation,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/sequences-series-and-discrete-models/mastery-check/,Unit 15 Mastery Check,Sequences and Series Practice Test,Sequences and Series Practice Test,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/sequences-series-and-discrete-models/practice/,Unit 15 Flexible Practice,Sequences and Series Practice Problems,Sequences and Series Practice Problems,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/sequences-series-and-discrete-models/review/,Unit 15 Review,Sequences and Series Review,Sequences and Series Review,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/systems-matrices-and-multivariable-models/investigation/,Unit 8 Investigation,Systems and Matrices Modeling Investigation,Systems and Matrices Modeling Investigation,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/systems-matrices-and-multivariable-models/mastery-check/,Unit 8 Mastery Check,Systems and Matrices Practice Test,Systems and Matrices Practice Test,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/systems-matrices-and-multivariable-models/practice/,Unit 8 Flexible Practice,Systems and Matrices Practice Problems,Systems and Matrices Practice Problems,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/systems-matrices-and-multivariable-models/review/,Unit 8 Review,Systems and Matrices Review,Systems and Matrices Review,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/transformations-and-function-operations/coordinate-mappings-and-transformation-logic/,Coordinate mappings and transformation logic,Coordinate Mappings for Function Transformations | Better Grades,Coordinate Mappings for Function Transformations,Name the mathematical topic and course-stage intent while preserving the established URL.,IMPLEMENTED
/subjects/math/precalculus/transformations-and-function-operations/investigation/,Unit 3 Investigation,Function Transformations and Operations Modeling Investigation,Function Transformations and Operations Modeling Investigation,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/transformations-and-function-operations/mastery-check/,Unit 3 Mastery Check,Function Transformations and Operations Practice Test,Function Transformations and Operations Practice Test,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/transformations-and-function-operations/practice/,Unit 3 Flexible Practice,Function Transformations and Operations Practice Problems,Function Transformations and Operations Practice Problems,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/transformations-and-function-operations/review/,Unit 3 Review,Function Transformations and Operations Review,Function Transformations and Operations Review,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/triangle-trigonometry-and-vectors/investigation/,Unit 12 Investigation,Triangle Trigonometry and Vectors Modeling Investigation,Triangle Trigonometry and Vectors Modeling Investigation,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/triangle-trigonometry-and-vectors/mastery-check/,Unit 12 Mastery Check,Triangle Trigonometry and Vectors Practice Test,Triangle Trigonometry and Vectors Practice Test,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/triangle-trigonometry-and-vectors/practice/,Unit 12 Flexible Practice,Triangle Trigonometry and Vectors Practice Problems,Triangle Trigonometry and Vectors Practice Problems,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/triangle-trigonometry-and-vectors/review/,Unit 12 Review,Triangle Trigonometry and Vectors Review,Triangle Trigonometry and Vectors Review,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/trigonometric-functions-and-periodic-models/amplitude-reflection-and-midline/,"Amplitude, reflection, and midline","Amplitude, Reflection, and Midline in Sinusoidal Graphs | Better Grades","Amplitude, Reflection, and Midline in Sinusoidal Graphs",Name the mathematical topic and course-stage intent while preserving the established URL.,IMPLEMENTED
/subjects/math/precalculus/trigonometric-functions-and-periodic-models/investigation/,Unit 10 Investigation,Trigonometric Functions and Periodic Models Modeling Investigation,Trigonometric Functions and Periodic Models Modeling Investigation,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/trigonometric-functions-and-periodic-models/mastery-check/,Unit 10 Mastery Check,Trigonometric Functions and Periodic Models Practice Test,Trigonometric Functions and Periodic Models Practice Test,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/trigonometric-functions-and-periodic-models/practice/,Unit 10 Flexible Practice,Trigonometric Functions and Periodic Models Practice Problems,Trigonometric Functions and Periodic Models Practice Problems,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/trigonometric-functions-and-periodic-models/review/,Unit 10 Review,Trigonometric Functions and Periodic Models Review,Trigonometric Functions and Periodic Models Review,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/trigonometric-functions-and-periodic-models/symmetry-periodicity-and-the-six-function-family/,"Symmetry, periodicity, and the six-function family",Symmetry and Periodicity Across the Six Trigonometric Functions | Better Grades,Symmetry and Periodicity Across the Six Trigonometric Functions,Name the mathematical topic and course-stage intent while preserving the established URL.,IMPLEMENTED
/subjects/math/precalculus/trigonometric-functions-and-periodic-models/the-general-sinusoidal-function/,The general sinusoidal function,The General Sinusoidal Function and Its Parameters | Better Grades,The General Sinusoidal Function and Its Parameters,Name the mathematical topic and course-stage intent while preserving the established URL.,IMPLEMENTED
/subjects/math/precalculus/trigonometric-identities-and-equations/equations-using-fundamental-identities/,Equations using fundamental identities,Solving Trigonometric Equations with Fundamental Identities | Better Grades,Solving Trigonometric Equations with Fundamental Identities,Name the mathematical topic and course-stage intent while preserving the established URL.,IMPLEMENTED
/subjects/math/precalculus/trigonometric-identities-and-equations/identities-equations-and-proof-strategy/,"Identities, equations, and proof strategy","Trigonometric Identities, Equations, and Proof Strategy | Better Grades","Trigonometric Identities, Equations, and Proof Strategy",Name the mathematical topic and course-stage intent while preserving the established URL.,IMPLEMENTED
/subjects/math/precalculus/trigonometric-identities-and-equations/investigation/,Unit 11 Investigation,Trigonometric Identities and Equations Modeling Investigation,Trigonometric Identities and Equations Modeling Investigation,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/trigonometric-identities-and-equations/mastery-check/,Unit 11 Mastery Check,Trigonometric Identities and Equations Practice Test,Trigonometric Identities and Equations Practice Test,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/trigonometric-identities-and-equations/practice/,Unit 11 Flexible Practice,Trigonometric Identities and Equations Practice Problems,Trigonometric Identities and Equations Practice Problems,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/trigonometric-identities-and-equations/review/,Unit 11 Review,Trigonometric Identities and Equations Review,Trigonometric Identities and Equations Review,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/trigonometric-identities-and-equations/sum-and-difference-formulas/,Sum and difference formulas,Trigonometric Sum and Difference Formulas | Better Grades,Trigonometric Sum and Difference Formulas,Name the mathematical topic and course-stage intent while preserving the established URL.,IMPLEMENTED
