exercise_id,lesson_id,unit,sequence,prompt,answer_guidance
P8.2-E06,P8.2,P8,6,What condition or domain restriction must remain visible in the solution?,Bearings and standard mathematical angles use different starting rays and positive directions. The same numerical angle can therefore describe different directions under different conventions.
P8.2-E07,P8.2,P8,7,Describe the most likely incorrect first step and explain why it fails.,"A common error is to treat 18 degrees 30 minutes as 18.30 degrees. Thirty minutes is one-half degree, so the correct decimal is 18.5 degrees."
P8.2-E08,P8.2,P8,8,"Translate the main result into a second representation: graph, diagram, table, equation, or context.","The second representation must preserve the same inputs, outputs, restrictions, orientation, and units as the original result."
P8.2-E09,P8.2,P8,9,Write one exact conclusion and one corresponding numerical approximation or verbal interpretation.,"Retain the exact symbolic form first; round only when the context requires a numerical comparison, and state the precision."
P8.2-E10,P8.2,P8,10,Explain how this lesson's idea will be used later in the course.,Radians will replace an arbitrary partition of the circle with a ratio derived from arc length.
P8.3-E01,P8.3,P8,1,An arc of length 8.4 lies on a circle of radius 3.5. Find the angle in radians.,2.4 radians.
P8.3-E02,P8.3,P8,2,Find radian measure for arc length 15 on radius 6.,"Use the method developed in the lesson: Use theta=s/r to compute angle, and use the identity 180 degrees=pi radians for conversion. Exact radian answers should retain pi when the angle is a rational part of a revolution. Verify all conditions and state the final result in the requested representation."
P8.3-E03,P8.3,P8,3,Explain why a semicircle measures pi radians.,"Use the method developed in the lesson: Use theta=s/r to compute angle, and use the identity 180 degrees=pi radians for conversion. Exact radian answers should retain pi when the angle is a rational part of a revolution. Verify all conditions and state the final result in the requested representation."
P8.3-E04,P8.3,P8,4,Convert 150 degrees to radians using one full revolution.,"Use the method developed in the lesson: Use theta=s/r to compute angle, and use the identity 180 degrees=pi radians for conversion. Exact radian answers should retain pi when the angle is a rational part of a revolution. Verify all conditions and state the final result in the requested representation."
P8.3-E05,P8.3,P8,5,State the defining idea behind radian measure as normalized arc length in one precise sentence.,The radian measure of a central angle is the signed arc length it intercepts divided by the circle radius: theta=s/r.
P8.3-E06,P8.3,P8,6,What condition or domain restriction must remain visible in the solution?,"The formula assumes s and r use the same length unit. Radian measure is dimensionless, though writing “rad” can clarify interpretation."
P8.3-E07,P8.3,P8,7,Describe the most likely incorrect first step and explain why it fails.,"A common error is to regard pi as a unit attached to every radian angle. Pi appears in many exact conversions because a full revolution is 2pi, but an angle such as 2.4 radians need not contain pi."
P8.3-E08,P8.3,P8,8,"Translate the main result into a second representation: graph, diagram, table, equation, or context.","The second representation must preserve the same inputs, outputs, restrictions, orientation, and units as the original result."
P8.3-E09,P8.3,P8,9,Write one exact conclusion and one corresponding numerical approximation or verbal interpretation.,"Retain the exact symbolic form first; round only when the context requires a numerical comparison, and state the precision."
P8.3-E10,P8.3,P8,10,Explain how this lesson's idea will be used later in the course.,The next lesson uses radians to derive direct formulas for arc length and sector area.
P8.4-E01,P8.4,P8,1,A sector has area 54 square centimeters and radius 6 centimeters. Find theta.,3 radians.
P8.4-E02,P8.4,P8,2,Find arc length for r=7 and theta=2.3.,"Use the method developed in the lesson: Draw and label the radius, angle, and arc before substituting. Solve algebraically for the unknown quantity and check that the units match: arc length uses length units, while sector area uses square units. Verify all conditions and state the final result in the requested representation."
P8.4-E03,P8.4,P8,3,Derive the sector-area formula from the fraction theta/(2pi).,"Use the method developed in the lesson: Draw and label the radius, angle, and arc before substituting. Solve algebraically for the unknown quantity and check that the units match: arc length uses length units, while sector area uses square units. Verify all conditions and state the final result in the requested representation."
P8.4-E04,P8.4,P8,4,Find theta when a 9-centimeter radius produces a 14-centimeter arc.,"Use the method developed in the lesson: Draw and label the radius, angle, and arc before substituting. Solve algebraically for the unknown quantity and check that the units match: arc length uses length units, while sector area uses square units. Verify all conditions and state the final result in the requested representation."
P8.4-E05,P8.4,P8,5,State the defining idea behind arc length and sector area in one precise sentence.,"For a central angle theta measured in radians, arc length is s=r theta and sector area is A=(1/2)r^2 theta."
P8.4-E06,P8.4,P8,6,What condition or domain restriction must remain visible in the solution?,"Theta must be in radians. If an angle is provided in degrees, convert first or use the corresponding fraction-of-a-circle method explicitly."
P8.4-E07,P8.4,P8,7,Describe the most likely incorrect first step and explain why it fails.,"A common error is to use s=r theta with degree input, producing an answer too large by a factor of 180/pi."
P8.4-E08,P8.4,P8,8,"Translate the main result into a second representation: graph, diagram, table, equation, or context.","The second representation must preserve the same inputs, outputs, restrictions, orientation, and units as the original result."
P8.4-E09,P8.4,P8,9,Write one exact conclusion and one corresponding numerical approximation or verbal interpretation.,"Retain the exact symbolic form first; round only when the context requires a numerical comparison, and state the precision."
P8.4-E10,P8.4,P8,10,Explain how this lesson's idea will be used later in the course.,The next lesson adds time and connects angular motion with linear motion along a circle.
P8.5-E01,P8.5,P8,1,A point 0.8 meter from an axis moves at 5 m/s. Find angular speed.,6.25 rad/s.
P8.5-E02,P8.5,P8,2,Compare two points at different radii on the same rotating disk.,Use the method developed in the lesson: Convert rotations per time to radians per time before using v=r omega. Track time units carefully and decide whether the problem asks for angular or linear speed. Verify all conditions and state the final result in the requested representation.
P8.5-E03,P8.5,P8,3,Find rpm from tangential speed and radius.,Use the method developed in the lesson: Convert rotations per time to radians per time before using v=r omega. Track time units carefully and decide whether the problem asks for angular or linear speed. Verify all conditions and state the final result in the requested representation.
P8.5-E04,P8.5,P8,4,Analyze connected pulleys with equal belt speed.,Use the method developed in the lesson: Convert rotations per time to radians per time before using v=r omega. Track time units carefully and decide whether the problem asks for angular or linear speed. Verify all conditions and state the final result in the requested representation.
P8.5-E05,P8.5,P8,5,State the defining idea behind angular speed and linear speed in one precise sentence.,"Angular speed omega measures angle change per unit time, while tangential speed v measures distance traveled along a circular path per unit time. They satisfy v=r omega when omega is in radians per time."
P8.5-E06,P8.5,P8,6,What condition or domain restriction must remain visible in the solution?,"The no-slip relationship assumes the rim and belt or surface move together. Slipping, deformation, and changing radius require a different model."
P8.5-E07,P8.5,P8,7,Describe the most likely incorrect first step and explain why it fails.,A common error is to assume all points on a rotating disk have the same linear speed because they complete a revolution together.
P8.5-E08,P8.5,P8,8,"Translate the main result into a second representation: graph, diagram, table, equation, or context.","The second representation must preserve the same inputs, outputs, restrictions, orientation, and units as the original result."
P8.5-E09,P8.5,P8,9,Write one exact conclusion and one corresponding numerical approximation or verbal interpretation.,"Retain the exact symbolic form first; round only when the context requires a numerical comparison, and state the precision."
P8.5-E10,P8.5,P8,10,Explain how this lesson's idea will be used later in the course.,The next lesson removes time and uses signed arc travel to map every real number onto the unit circle.
P8.6-E01,P8.6,P8,1,Which unit-circle point corresponds to t=-pi/3?,"(1/2,-sqrt(3)/2)."
P8.6-E02,P8.6,P8,2,Map -7pi/4 to a terminal point.,"Use the method developed in the lesson: Reduce the input, locate the terminal side, use special-angle coordinates or geometry, and keep track of signs by quadrant. Verify all conditions and state the final result in the requested representation."
P8.6-E03,P8.6,P8,3,Explain why t and t+2pi produce the same point.,"Use the method developed in the lesson: Reduce the input, locate the terminal side, use special-angle coordinates or geometry, and keep track of signs by quadrant. Verify all conditions and state the final result in the requested representation."
P8.6-E04,P8.6,P8,4,"Find the first positive t mapping to the point (0,-1).","Use the method developed in the lesson: Reduce the input, locate the terminal side, use special-angle coordinates or geometry, and keep track of signs by quadrant. Verify all conditions and state the final result in the requested representation."
P8.6-E05,P8.6,P8,5,State the defining idea behind wrapping the real line around the unit circle in one precise sentence.,"The wrapping function maps a real number t to the point reached by traveling signed arc length t around the unit circle from (1,0)."
P8.6-E06,P8.6,P8,6,What condition or domain restriction must remain visible in the solution?,The wrapping map is defined for every real t. The point is unique even though infinitely many inputs map to it.
P8.6-E07,P8.6,P8,7,Describe the most likely incorrect first step and explain why it fails.,A common error is to treat the reduced angle as the only valid input rather than one representative of an infinite coterminal family.
P8.6-E08,P8.6,P8,8,"Translate the main result into a second representation: graph, diagram, table, equation, or context.","The second representation must preserve the same inputs, outputs, restrictions, orientation, and units as the original result."
P8.6-E09,P8.6,P8,9,Write one exact conclusion and one corresponding numerical approximation or verbal interpretation.,"Retain the exact symbolic form first; round only when the context requires a numerical comparison, and state the precision."
P8.6-E10,P8.6,P8,10,Explain how this lesson's idea will be used later in the course.,The next lesson names the point’s horizontal and vertical coordinates cosine and sine.
P8.7-E01,P8.7,P8,1,"If sin t=-4/5 and cos t>0, find cos t and the quadrant.","cos t=3/5, quadrant IV."
P8.7-E02,P8.7,P8,2,Use x^2+y^2=1 to recover a missing coordinate.,"Use the method developed in the lesson: Translate among point coordinates, function values, and equations. To solve sin t=k or cos t=k on one revolution, find every unit-circle point with the required coordinate. Verify all conditions and state the final result in the requested representation."
P8.7-E03,P8.7,P8,3,Determine the signs of sine and cosine in each quadrant.,"Use the method developed in the lesson: Translate among point coordinates, function values, and equations. To solve sin t=k or cos t=k on one revolution, find every unit-circle point with the required coordinate. Verify all conditions and state the final result in the requested representation."
P8.7-E04,P8.7,P8,4,"Find all t in [0,2pi) with cos t=0.","Use the method developed in the lesson: Translate among point coordinates, function values, and equations. To solve sin t=k or cos t=k on one revolution, find every unit-circle point with the required coordinate. Verify all conditions and state the final result in the requested representation."
P8.7-E05,P8.7,P8,5,State the defining idea behind sine and cosine as coordinate functions in one precise sentence.,"If P(t)=(x,y) is the unit-circle point associated with t, then cos t=x and sin t=y."
P8.7-E06,P8.7,P8,6,What condition or domain restriction must remain visible in the solution?,"Not every pair (cos t,sin t) can be chosen independently; the pair must lie on the unit circle."
P8.7-E07,P8.7,P8,7,Describe the most likely incorrect first step and explain why it fails.,A common error is to reverse sine and cosine coordinates or to choose both coordinate signs without using quadrant information.
P8.7-E08,P8.7,P8,8,"Translate the main result into a second representation: graph, diagram, table, equation, or context.","The second representation must preserve the same inputs, outputs, restrictions, orientation, and units as the original result."
P8.7-E09,P8.7,P8,9,Write one exact conclusion and one corresponding numerical approximation or verbal interpretation.,"Retain the exact symbolic form first; round only when the context requires a numerical comparison, and state the precision."
P8.7-E10,P8.7,P8,10,Explain how this lesson's idea will be used later in the course.,The next lesson supplies exact coordinates for the most important special angles.
P8.8-E01,P8.8,P8,1,Find sin(3pi/4) and cos(3pi/4).,sqrt(2)/2 and -sqrt(2)/2.
P8.8-E02,P8.8,P8,2,Derive the pi/4 coordinate by scaling a unit isosceles right triangle.,"Use the method developed in the lesson: Derive the triangle ratios rather than relying on a memorized wheel. Record coordinates as (cos t,sin t), then obtain tangent as their ratio when cosine is nonzero. Verify all conditions and state the final result in the requested representation."
P8.8-E03,P8.8,P8,3,Derive pi/6 values from an equilateral triangle.,"Use the method developed in the lesson: Derive the triangle ratios rather than relying on a memorized wheel. Record coordinates as (cos t,sin t), then obtain tangent as their ratio when cosine is nonzero. Verify all conditions and state the final result in the requested representation."
P8.8-E04,P8.8,P8,4,Use symmetry to place exact coordinates in quadrant II.,"Use the method developed in the lesson: Derive the triangle ratios rather than relying on a memorized wheel. Record coordinates as (cos t,sin t), then obtain tangent as their ratio when cosine is nonzero. Verify all conditions and state the final result in the requested representation."
P8.8-E05,P8.8,P8,5,State the defining idea behind exact values from special triangles in one precise sentence.,"Exact values at pi/6, pi/4, and pi/3 come from the side ratios of 30-60-90 and 45-45-90 triangles scaled to hypotenuse one."
P8.8-E06,P8.8,P8,6,What condition or domain restriction must remain visible in the solution?,Exact values should remain radicals. Decimal approximations are useful for checking but obscure geometric structure.
P8.8-E07,P8.8,P8,7,Describe the most likely incorrect first step and explain why it fails.,A common error is to swap the coordinates at pi/6 and pi/3 or to rationalize one tangent value inconsistently.
P8.8-E08,P8.8,P8,8,"Translate the main result into a second representation: graph, diagram, table, equation, or context.","The second representation must preserve the same inputs, outputs, restrictions, orientation, and units as the original result."
P8.8-E09,P8.8,P8,9,Write one exact conclusion and one corresponding numerical approximation or verbal interpretation.,"Retain the exact symbolic form first; round only when the context requires a numerical comparison, and state the precision."
P8.8-E10,P8.8,P8,10,Explain how this lesson's idea will be used later in the course.,The next lesson extends the first-quadrant values to arbitrary angles by reference-angle reasoning.
P8.9-E01,P8.9,P8,1,Evaluate cos(-5pi/4) exactly.,-sqrt(2)/2.
P8.9-E02,P8.9,P8,2,Find the reference angle of -17pi/5.,Use the method developed in the lesson: Angles on the axes have no acute reference triangle and should be evaluated directly from their coordinates. Verify all conditions and state the final result in the requested representation.
P8.9-E03,P8.9,P8,3,Evaluate trig values for 210 degrees.,Use the method developed in the lesson: Angles on the axes have no acute reference triangle and should be evaluated directly from their coordinates. Verify all conditions and state the final result in the requested representation.
P8.9-E04,P8.9,P8,4,"Determine all angles in [0,2pi) with reference angle pi/6.",Use the method developed in the lesson: Angles on the axes have no acute reference triangle and should be evaluated directly from their coordinates. Verify all conditions and state the final result in the requested representation.
P8.9-E05,P8.9,P8,5,"State the defining idea behind reference angles, quadrants, and signs in one precise sentence.","A reference angle is the positive acute angle between a terminal side and the x-axis. It determines the magnitudes of trig values, while the quadrant determines their signs."
P8.9-E06,P8.9,P8,6,What condition or domain restriction must remain visible in the solution?,A common error is to report the reference angle as the original solution or to use an always-positive mnemonic that ignores tangent’s sign.
P8.9-E07,P8.9,P8,7,Describe the most likely incorrect first step and explain why it fails.,"Reference angles make exact evaluation possible for large, negative, and multi-revolution inputs."
P8.9-E08,P8.9,P8,8,"Translate the main result into a second representation: graph, diagram, table, equation, or context.","The second representation must preserve the same inputs, outputs, restrictions, orientation, and units as the original result."
P8.9-E09,P8.9,P8,9,Write one exact conclusion and one corresponding numerical approximation or verbal interpretation.,"Retain the exact symbolic form first; round only when the context requires a numerical comparison, and state the precision."
P8.9-E10,P8.9,P8,10,Explain how this lesson's idea will be used later in the course.,The next lesson defines the remaining four trig functions as ratios and reciprocals of sine and cosine.
P8.10-E01,P8.10,P8,1,"If tan t=-3/4 and t lies in quadrant II, find sin t and cos t.","sin t=3/5, cos t=-4/5."
P8.10-E02,P8.10,P8,2,Derive 1+tan^2 t=sec^2 t from the unit-circle identity.,"Use the method developed in the lesson: Start with sine and cosine coordinates, form ratios and reciprocals, simplify exact radicals, and retain undefined cases. Verify all conditions and state the final result in the requested representation."
P8.10-E03,P8.10,P8,3,"Find where tangent is undefined on [0,2pi).","Use the method developed in the lesson: Start with sine and cosine coordinates, form ratios and reciprocals, simplify exact radicals, and retain undefined cases. Verify all conditions and state the final result in the requested representation."
P8.10-E04,P8.10,P8,4,"Compare periods of sine, cosine, and tangent.","Use the method developed in the lesson: Start with sine and cosine coordinates, form ratios and reciprocals, simplify exact radicals, and retain undefined cases. Verify all conditions and state the final result in the requested representation."
P8.10-E05,P8.10,P8,5,State the defining idea behind tangent and the reciprocal functions in one precise sentence.,"Tangent and cotangent are coordinate ratios, while secant and cosecant are reciprocals: tan=sin/cos, cot=cos/sin, sec=1/cos, csc=1/sin."
P8.10-E06,P8.10,P8,6,What condition or domain restriction must remain visible in the solution?,"A reciprocal trig function is not an inverse trig function. The notation sec t means 1/cos t, while arccos is the inverse function of a restricted cosine branch."
P8.10-E07,P8.10,P8,7,Describe the most likely incorrect first step and explain why it fails.,A common error is to invert an angle or to write tan t as cos/sin.
P8.10-E08,P8.10,P8,8,"Translate the main result into a second representation: graph, diagram, table, equation, or context.","The second representation must preserve the same inputs, outputs, restrictions, orientation, and units as the original result."
P8.10-E09,P8.10,P8,9,Write one exact conclusion and one corresponding numerical approximation or verbal interpretation.,"Retain the exact symbolic form first; round only when the context requires a numerical comparison, and state the precision."
P8.10-E10,P8.10,P8,10,Explain how this lesson's idea will be used later in the course.,The next unit unwraps these coordinate functions into graphs over the real line.
P9.1-E01,P9.1,P9,1,"State the coordinates of the maximum and minimum of sin t on [0,2pi].","Maximum (pi/2,1); minimum (3pi/2,-1)."
P9.1-E02,P9.1,P9,2,Create a quarter-cycle value table.,"Use the method developed in the lesson: Build a key-point table at multiples of pi/2, plot one cycle, use symmetry and periodicity to extend, and label zeros, extrema, and intervals of increase or decrease. Verify all conditions and state the final result in the requested representation."
P9.1-E03,P9.1,P9,3,Explain odd symmetry from unit-circle reflection.,"Use the method developed in the lesson: Build a key-point table at multiples of pi/2, plot one cycle, use symmetry and periodicity to extend, and label zeros, extrema, and intervals of increase or decrease. Verify all conditions and state the final result in the requested representation."
P9.1-E04,P9.1,P9,4,Find all zeros of sine in one revolution.,"Use the method developed in the lesson: Build a key-point table at multiples of pi/2, plot one cycle, use symmetry and periodicity to extend, and label zeros, extrema, and intervals of increase or decrease. Verify all conditions and state the final result in the requested representation."
P9.1-E05,P9.1,P9,5,State the defining idea behind building the sine graph from circular motion in one precise sentence.,The sine graph records the vertical coordinate of a unit-circle point as the real input t increases.
P9.1-E06,P9.1,P9,6,What condition or domain restriction must remain visible in the solution?,"The input axis represents angle or time-scaled angle, not horizontal position on the circle."
P9.1-E07,P9.1,P9,7,Describe the most likely incorrect first step and explain why it fails.,A common error is to plot the circular x-coordinate as sine or to place the first maximum at t=0.
P9.1-E08,P9.1,P9,8,"Translate the main result into a second representation: graph, diagram, table, equation, or context.","The second representation must preserve the same inputs, outputs, restrictions, orientation, and units as the original result."
P9.1-E09,P9.1,P9,9,Write one exact conclusion and one corresponding numerical approximation or verbal interpretation.,"Retain the exact symbolic form first; round only when the context requires a numerical comparison, and state the precision."
P9.1-E10,P9.1,P9,10,Explain how this lesson's idea will be used later in the course.,The next lesson builds cosine from the horizontal coordinate of the same motion.
P9.2-E01,P9.2,P9,1,Write cosine as a shifted sine function.,cos t=sin(t+pi/2).
P9.2-E02,P9.2,P9,2,Build the cosine graph from quarter-cycle points.,"Use the method developed in the lesson: Construct cosine from unit-circle key points, identify its extrema and zeros, and compare its graph to sine by horizontal translation. Verify all conditions and state the final result in the requested representation."
P9.2-E03,P9.2,P9,3,Show cos t=sin(t+pi/2).,"Use the method developed in the lesson: Construct cosine from unit-circle key points, identify its extrema and zeros, and compare its graph to sine by horizontal translation. Verify all conditions and state the final result in the requested representation."
P9.2-E04,P9.2,P9,4,Compare even symmetry of cosine with odd symmetry of sine.,"Use the method developed in the lesson: Construct cosine from unit-circle key points, identify its extrema and zeros, and compare its graph to sine by horizontal translation. Verify all conditions and state the final result in the requested representation."
P9.2-E05,P9.2,P9,5,State the defining idea behind building the cosine graph from circular motion in one precise sentence.,The cosine graph records the horizontal coordinate of unit-circle motion.
P9.2-E06,P9.2,P9,6,What condition or domain restriction must remain visible in the solution?,Equivalent phase-shift descriptions are not unique; adding whole periods produces the same function.
P9.2-E07,P9.2,P9,7,Describe the most likely incorrect first step and explain why it fails.,A common error is to assume cosine has a different period or to shift in the wrong direction when rewriting it as sine.
P9.2-E08,P9.2,P9,8,"Translate the main result into a second representation: graph, diagram, table, equation, or context.","The second representation must preserve the same inputs, outputs, restrictions, orientation, and units as the original result."
P9.2-E09,P9.2,P9,9,Write one exact conclusion and one corresponding numerical approximation or verbal interpretation.,"Retain the exact symbolic form first; round only when the context requires a numerical comparison, and state the precision."
P9.2-E10,P9.2,P9,10,Explain how this lesson's idea will be used later in the course.,The next lesson scales and shifts the vertical range through amplitude and midline.
P9.3-E01,P9.3,P9,1,A sinusoid has maximum 11 and minimum -5. Find amplitude and midline.,Amplitude 8; midline 3.
P9.3-E02,P9.3,P9,2,Graph -3 sin x+2.,"Use the method developed in the lesson: Read extrema from a graph or context, compute D=(max+min)/2 and |A|=(max-min)/2, then use the sign of A to match the starting direction or phase. Verify all conditions and state the final result in the requested representation."
P9.3-E03,P9.3,P9,3,Recover amplitude and midline from maximum and minimum.,"Use the method developed in the lesson: Read extrema from a graph or context, compute D=(max+min)/2 and |A|=(max-min)/2, then use the sign of A to match the starting direction or phase. Verify all conditions and state the final result in the requested representation."
P9.3-E04,P9.3,P9,4,Explain why amplitude is |A| rather than A.,"Use the method developed in the lesson: Read extrema from a graph or context, compute D=(max+min)/2 and |A|=(max-min)/2, then use the sign of A to match the starting direction or phase. Verify all conditions and state the final result in the requested representation."
P9.3-E05,P9.3,P9,5,"State the defining idea behind amplitude, reflection, and midline in one precise sentence.","In y=A sin x+D or y=A cos x+D, |A| is the amplitude and y=D is the midline."
P9.3-E06,P9.3,P9,6,What condition or domain restriction must remain visible in the solution?,This interpretation assumes a sinusoid with symmetric extrema about a constant midline.
P9.3-E07,P9.3,P9,7,Describe the most likely incorrect first step and explain why it fails.,A common error is to call A the amplitude when A is negative or to confuse the midline with the y-intercept.
P9.3-E08,P9.3,P9,8,"Translate the main result into a second representation: graph, diagram, table, equation, or context.","The second representation must preserve the same inputs, outputs, restrictions, orientation, and units as the original result."
P9.3-E09,P9.3,P9,9,Write one exact conclusion and one corresponding numerical approximation or verbal interpretation.,"Retain the exact symbolic form first; round only when the context requires a numerical comparison, and state the precision."
P9.3-E10,P9.3,P9,10,Explain how this lesson's idea will be used later in the course.,The next lesson changes horizontal scale through period and frequency.
P9.4-E01,P9.4,P9,1,Find the period and frequency of y=cos(pi t/6).,Period 12; frequency 1/12 per time unit.
P9.4-E02,P9.4,P9,2,Find the period of sin(3x).,"Use the method developed in the lesson: Identify the coefficient of the entire input, compute period, then convert to frequency or angular frequency as requested. Verify all conditions and state the final result in the requested representation."
P9.4-E03,P9.4,P9,3,Build B from a known period of 10.,"Use the method developed in the lesson: Identify the coefficient of the entire input, compute period, then convert to frequency or angular frequency as requested. Verify all conditions and state the final result in the requested representation."
P9.4-E04,P9.4,P9,4,Convert rotations per minute to angular frequency.,"Use the method developed in the lesson: Identify the coefficient of the entire input, compute period, then convert to frequency or angular frequency as requested. Verify all conditions and state the final result in the requested representation."
P9.4-E05,P9.4,P9,5,"State the defining idea behind period, frequency, and angular frequency in one precise sentence.","For sin(Bx) or cos(Bx), the period is 2pi/|B|. Ordinary frequency is the reciprocal of period, while angular frequency measures radians per unit time."
P9.4-E06,P9.4,P9,6,What condition or domain restriction must remain visible in the solution?,"A model must state the input unit. A period of 12 could mean seconds, months, or meters."
P9.4-E07,P9.4,P9,7,Describe the most likely incorrect first step and explain why it fails.,A common error is to use 2pi B as the period rather than dividing by |B|.
P9.4-E08,P9.4,P9,8,"Translate the main result into a second representation: graph, diagram, table, equation, or context.","The second representation must preserve the same inputs, outputs, restrictions, orientation, and units as the original result."
P9.4-E09,P9.4,P9,9,Write one exact conclusion and one corresponding numerical approximation or verbal interpretation.,"Retain the exact symbolic form first; round only when the context requires a numerical comparison, and state the precision."
P9.4-E10,P9.4,P9,10,Explain how this lesson's idea will be used later in the course.,The next lesson shifts the cycle horizontally to match event timing.
P9.5-E01,P9.5,P9,1,A cosine graph has period 8 and maximum at x=3. Write its inside expression.,(pi/4)(x-3).
P9.5-E02,P9.5,P9,2,Graph sin(x-pi/3).,"Use the method developed in the lesson: Determine the period first, choose an anchor feature, write B(x-C), and verify at least one additional feature a quarter-period away. Verify all conditions and state the final result in the requested representation."
P9.5-E03,P9.5,P9,3,Recover phase shift from a midline crossing.,"Use the method developed in the lesson: Determine the period first, choose an anchor feature, write B(x-C), and verify at least one additional feature a quarter-period away. Verify all conditions and state the final result in the requested representation."
P9.5-E04,P9.5,P9,4,Distinguish phase shift from a vertical shift.,"Use the method developed in the lesson: Determine the period first, choose an anchor feature, write B(x-C), and verify at least one additional feature a quarter-period away. Verify all conditions and state the final result in the requested representation."
P9.5-E05,P9.5,P9,5,State the defining idea behind phase shift and timing in one precise sentence.,A phase shift relocates the timing of every feature of a periodic graph.
P9.5-E06,P9.5,P9,6,What condition or domain restriction must remain visible in the solution?,Phase shift is defined modulo a full period. Many values of C describe the same function.
P9.5-E07,P9.5,P9,7,Describe the most likely incorrect first step and explain why it fails.,"A common error is to read x+3 as a right shift or to ignore an inside scale, as in sin(2x-6)."
P9.5-E08,P9.5,P9,8,"Translate the main result into a second representation: graph, diagram, table, equation, or context.","The second representation must preserve the same inputs, outputs, restrictions, orientation, and units as the original result."
P9.5-E09,P9.5,P9,9,Write one exact conclusion and one corresponding numerical approximation or verbal interpretation.,"Retain the exact symbolic form first; round only when the context requires a numerical comparison, and state the precision."
P9.5-E10,P9.5,P9,10,Explain how this lesson's idea will be used later in the course.,"The next lesson combines amplitude, period, phase, and midline in a complete sinusoidal model."
P9.6-E01,P9.6,P9,1,"Write a sinusoid with amplitude 4, midline -1, period 6, and maximum at x=2.",y=4 cos[(pi/3)(x-2)]-1.
P9.6-E02,P9.6,P9,2,"Write a model from maximum, minimum, period, and first maximum.","Use the method developed in the lesson: Extract maximum, minimum, period, and a timed feature. Compute A,D,B, select sine or cosine based on the anchor, and verify against another point. Verify all conditions and state the final result in the requested representation."
P9.6-E03,P9.6,P9,3,Convert a sine model to an equivalent cosine model.,"Use the method developed in the lesson: Extract maximum, minimum, period, and a timed feature. Compute A,D,B, select sine or cosine based on the anchor, and verify against another point. Verify all conditions and state the final result in the requested representation."
