visual_id,lesson_id,unit,sequence,roadmap_brief,mathematical_mechanism
P10.6-V1,P10.6,P10,1,Half-angle location map.,"Power reduction is especially useful when squared functions must be compared, averaged, or later integrated."
P10.6-V2,P10.6,P10,2,Power-reduction derivation.,"Power reduction is especially useful when squared functions must be compared, averaged, or later integrated."
P10.6-V3,P10.6,P10,3,Sign-choice error panel.,"Power reduction is especially useful when squared functions must be compared, averaged, or later integrated."
P10.7-V1,P10.7,P10,1,Identity derivation grid.,"The two forms emphasize different structure: sums show component frequencies, while products reveal amplitude envelopes and zeros."
P10.7-V2,P10.7,P10,2,Wave addition and envelope visualization.,"The two forms emphasize different structure: sums show component frequencies, while products reveal amplitude envelopes and zeros."
P10.7-V3,P10.7,P10,3,Product-sum conversion map.,"The two forms emphasize different structure: sums show component frequencies, while products reveal amplitude envelopes and zeros."
P10.8-V1,P10.8,P10,1,Equation-to-one-function conversion.,"The solution process remains two-stage: solve an algebraic condition in function values, then solve the resulting basic trig equations over the required interval or over all reals."
P10.8-V2,P10.8,P10,2,Factor-and-zero-product path.,"The solution process remains two-stage: solve an algebraic condition in function values, then solve the resulting basic trig equations over the required interval or over all reals."
P10.8-V3,P10.8,P10,3,Domain filter for reciprocal functions.,"The solution process remains two-stage: solve an algebraic condition in function values, then solve the resulting basic trig equations over the required interval or over all reals."
P10.9-V1,P10.9,P10,1,Trig-function substitution pipeline.,"After filtering, each accepted function value generates one or more periodic angle families."
P10.9-V2,P10.9,P10,2,"Allowed-value filter [-1,1] for sine/cosine.","After filtering, each accepted function value generates one or more periodic angle families."
P10.9-V3,P10.9,P10,3,Algebraic roots mapped to periodic angles.,"After filtering, each accepted function value generates one or more periodic angle families."
P10.10-V1,P10.10,P10,1,Angle-multiplication solution map.,"This interval expansion explains why sin(3x)=k can have six solutions on [0,2pi) even though sin u=k has only two per u-period."
P10.10-V2,P10.10,P10,2,Expanded interval for nx before dividing.,"This interval expansion explains why sin(3x)=k can have six solutions on [0,2pi) even though sin u=k has only two per u-period."
P10.10-V3,P10.10,P10,3,Common error panel showing lost periodic branches.,"This interval expansion explains why sin(3x)=k can have six solutions on [0,2pi) even though sin u=k has only two per u-period."
P10.11-V1,P10.11,P10,1,General-solution families on an infinite number line.,"To extract solutions on an interval, solve inequalities for the integer parameter or generate nearby values systematically. Closed endpoints must be checked for duplicate coterminal representations."
P10.11-V2,P10.11,P10,2,Unit-circle branch-to-family map.,"To extract solutions on an interval, solve inequalities for the integer parameter or generate nearby values systematically. Closed endpoints must be checked for duplicate coterminal representations."
P10.11-V3,P10.11,P10,3,Endpoint inclusion and duplicate control.,"To extract solutions on an interval, solve inequalities for the integer parameter or generate nearby values systematically. Closed endpoints must be checked for duplicate coterminal representations."
P10.12-V1,P10.12,P10,1,Graph intersections with bracketed roots.,"A numerical answer should include units, angle mode, interval, precision, and a residual or substitution check."
P10.12-V2,P10.12,P10,2,Residual table at numerical solutions.,"A numerical answer should include units, angle mode, interval, precision, and a residual or substitution check."
P10.12-V3,P10.12,P10,3,Calculator mode error comparison.,"A numerical answer should include units, angle mode, interval, precision, and a residual or substitution check."
P11.1-V1,P11.1,P11,1,Similar right triangles with equal acute angle.,"A triangle problem is determined by enough independent side and angle information, together with the right angle."
P11.1-V2,P11.1,P11,2,Unit-circle triangle scaled by hypotenuse.,"A triangle problem is determined by enough independent side and angle information, together with the right angle."
P11.1-V3,P11.1,P11,3,Opposite-adjacent-hypotenuse role diagram.,"A triangle problem is determined by enough independent side and angle information, together with the right angle."
P11.2-V1,P11.2,P11,1,Accurate angle-of-elevation diagram.,"Instrument height, ground slope, observer position, and line of sight may create offsets that must be added after the triangle calculation."
P11.2-V2,P11.2,P11,2,Parallel horizontal lines showing equal alternate angles.,"Instrument height, ground slope, observer position, and line of sight may create offsets that must be added after the triangle calculation."
P11.2-V3,P11.2,P11,3,Measurement-error comparison rays.,"Instrument height, ground slope, observer position, and line of sight may create offsets that must be added after the triangle calculation."
P11.3-V1,P11.3,P11,1,Altitude derivation in an oblique triangle.,The law is most direct for ASA and AAS data because the third angle is known and an opposite pair is available. SSA requires a separate ambiguity analysis.
P11.3-V2,P11.3,P11,2,Circumcircle interpretation.,The law is most direct for ASA and AAS data because the third angle is known and an opposite pair is available. SSA requires a separate ambiguity analysis.
P11.3-V3,P11.3,P11,3,Given-information case sorter.,The law is most direct for ASA and AAS data because the third angle is known and an opposite pair is available. SSA requires a separate ambiguity analysis.
P11.4-V1,P11.4,P11,1,SSA altitude-case explorer.,"Inverse sine returns only one principal angle. A second candidate 180 degrees-B may also satisfy the same sine value, but only if the full angle sum remains below 180 degrees."
P11.4-V2,P11.4,P11,2,Two possible triangles sharing data.,"Inverse sine returns only one principal angle. A second candidate 180 degrees-B may also satisfy the same sine value, but only if the full angle sum remains below 180 degrees."
P11.4-V3,P11.4,P11,3,Inverse-sine branch and angle-sum filter.,"Inverse sine returns only one principal angle. A second candidate 180 degrees-B may also satisfy the same sine value, but only if the full angle sum remains below 180 degrees."
P11.5-V1,P11.5,P11,1,Coordinate derivation.,"SAS data determine the opposite side; SSS data determine angles. For SSS, finding the largest angle first provides a useful validity and rounding check."
P11.5-V2,P11.5,P11,2,SAS and SSS case diagrams.,"SAS data determine the opposite side; SSS data determine angles. For SSS, finding the largest angle first provides a useful validity and rounding check."
P11.5-V3,P11.5,P11,3,Pythagorean special-case overlay.,"SAS data determine the opposite side; SSS data determine angles. For SSS, finding the largest angle first provides a useful validity and rounding check."
P11.6-V1,P11.6,P11,1,Altitude derivation.,"The sine formula reveals that two different included angles with the same sine can produce the same area, subject to triangle validity."
P11.6-V2,P11.6,P11,2,Area-formula selection chart.,"The sine formula reveals that two different included angles with the same sine can produce the same area, subject to triangle validity."
P11.6-V3,P11.6,P11,3,Thin-triangle numerical sensitivity diagram.,"The sine formula reveals that two different included angles with the same sine can produce the same area, subject to triangle validity."
P11.7-V1,P11.7,P11,1,Bearing compass with all conventions.,Quadrant bearings such as N35E specify an acute angle measured from a named north-south ray toward east or west.
P11.7-V2,P11.7,P11,2,Two-leg route and resultant.,Quadrant bearings such as N35E specify an acute angle measured from a named north-south ray toward east or west.
P11.7-V3,P11.7,P11,3,Component table with east/north signs.,Quadrant bearings such as N35E specify an acute angle measured from a named north-south ray toward east or west.
P11.8-V1,P11.8,P11,1,Head-to-tail and parallelogram addition.,"A vector of magnitude M at standard angle theta has components <M cos theta,M sin theta>. Recover magnitude with the distance formula and direction with quadrant-aware inverse tangent."
P11.8-V2,P11.8,P11,2,Component projections.,"A vector of magnitude M at standard angle theta has components <M cos theta,M sin theta>. Recover magnitude with the distance formula and direction with quadrant-aware inverse tangent."
P11.8-V3,P11.8,P11,3,Point-versus-vector distinction.,"A vector of magnitude M at standard angle theta has components <M cos theta,M sin theta>. Recover magnitude with the distance formula and direction with quadrant-aware inverse tangent."
P11.9-V1,P11.9,P11,1,Vector scaling gallery.,Resolving a vector along chosen directions decomposes one effect into components that sum to the original vector.
P11.9-V2,P11.9,P11,2,Normalization to unit circle.,Resolving a vector along chosen directions decomposes one effect into components that sum to the original vector.
P11.9-V3,P11.9,P11,3,Parallel/perpendicular component decomposition.,Resolving a vector along chosen directions decomposes one effect into components that sum to the original vector.
P11.10-V1,P11.10,P11,1,Dot product as aligned component sum.,"Projection measures the part of one vector aligned with another. The scalar projection is u·v/||v||, and the vector projection is (u·v/||v||^2)v."
P11.10-V2,P11.10,P11,2,Projection shadow diagram.,"Projection measures the part of one vector aligned with another. The scalar projection is u·v/||v||, and the vector projection is (u·v/||v||^2)v."
P11.10-V3,P11.10,P11,3,Angle and orthogonality comparison.,"Projection measures the part of one vector aligned with another. The scalar projection is u·v/||v||, and the vector projection is (u·v/||v||^2)v."
P12.1-V1,P12.1,P12,1,Distance locus animation.,"Completing squares converts general quadratic expressions into center-radius form and reveals whether the relation is a circle, a point, or an empty set."
P12.1-V2,P12.1,P12,2,Center-radius equation diagram.,"Completing squares converts general quadratic expressions into center-radius form and reveals whether the relation is a circle, a point, or an empty set."
P12.1-V3,P12.1,P12,3,General-form completion-of-squares panel.,"Completing squares converts general quadratic expressions into center-radius form and reveals whether the relation is a circle, a point, or an empty set."
P12.2-V1,P12.2,P12,1,Focus-directrix distance construction.,The sign of p determines opening direction. The focus and directrix are equally distant from the vertex on opposite sides.
P12.2-V2,P12.2,P12,2,Vertical and horizontal standard forms.,The sign of p determines opening direction. The focus and directrix are equally distant from the vertex on opposite sides.
P12.2-V3,P12.2,P12,3,Reflective-ray property diagram.,The sign of p determines opening direction. The focus and directrix are equally distant from the vertex on opposite sides.
P12.3-V1,P12.3,P12,1,String-and-pins ellipse locus.,"The circle is the special case c=0 and a=b. As c approaches a, the ellipse becomes more elongated."
P12.3-V2,P12.3,P12,2,Axis/focus parameter map.,"The circle is the special case c=0 and a=b. As c approaches a, the ellipse becomes more elongated."
P12.3-V3,P12.3,P12,3,Circle-to-ellipse comparison.,"The circle is the special case c=0 and a=b. As c approaches a, the ellipse becomes more elongated."
P12.4-V1,P12.4,P12,1,Constant-difference locus.,Asymptotes pass through the center and follow the diagonals of the fundamental rectangle with semiaxes a and b.
P12.4-V2,P12.4,P12,2,Fundamental rectangle and asymptotes.,Asymptotes pass through the center and follow the diagonals of the fundamental rectangle with semiaxes a and b.
P12.4-V3,P12.4,P12,3,Horizontal-versus-vertical form comparison.,Asymptotes pass through the center and follow the diagonals of the fundamental rectangle with semiaxes a and b.
P12.5-V1,P12.5,P12,1,Two-variable completion ledger.,Both variable groups and the equation’s right side must remain balanced. The final constant determines scale and may reveal a degenerate or empty relation.
P12.5-V2,P12.5,P12,2,Geometric square-completion blocks.,Both variable groups and the equation’s right side must remain balanced. The final constant determines scale and may reveal a degenerate or empty relation.
P12.5-V3,P12.5,P12,3,General-to-standard transformation.,Both variable groups and the equation’s right side must remain balanced. The final constant determines scale and may reveal a degenerate or empty relation.
P12.6-V1,P12.6,P12,1,Classification decision matrix.,Completing squares provides center or vertex translations. Dividing by the final constant normalizes the equation to standard form.
P12.6-V2,P12.6,P12,2,Translated coordinate axes.,Completing squares provides center or vertex translations. Dividing by the final constant normalizes the equation to standard form.
P12.6-V3,P12.6,P12,3,Coefficient-sign comparison.,Completing squares provides center or vertex translations. Dividing by the final constant normalizes the equation to standard form.
P12.7-V1,P12.7,P12,1,Degenerate conic gallery.,A circle form with squared radius zero gives one point; a negative squared radius gives no real points. Similar threshold behavior occurs in ellipses and hyperbolas.
P12.7-V2,P12.7,P12,2,Parameter threshold from ordinary to degenerate.,A circle form with squared radius zero gives one point; a negative squared radius gives no real points. Similar threshold behavior occurs in ellipses and hyperbolas.
P12.7-V3,P12.7,P12,3,Algebraic factorization of line pairs.,A circle form with squared radius zero gives one point; a negative squared radius gives no real points. Similar threshold behavior occurs in ellipses and hyperbolas.
P12.8-V1,P12.8,P12,1,Focus-directrix ratio construction.,"For standard ellipses and hyperbolas, e=c/a. Increasing e stretches an ellipse toward a parabola and opens a hyperbola more strongly relative to its vertex distance."
P12.8-V2,P12.8,P12,2,Eccentricity family morph.,"For standard ellipses and hyperbolas, e=c/a. Increasing e stretches an ellipse toward a parabola and opens a hyperbola more strongly relative to its vertex distance."
P12.8-V3,P12.8,P12,3,Parameter ranges by conic type.,"For standard ellipses and hyperbolas, e=c/a. Increasing e stretches an ellipse toward a parabola and opens a hyperbola more strongly relative to its vertex distance."
P12.9-V1,P12.9,P12,1,Conic intersection gallery.,"The resulting polynomial degree predicts possible intersection counts. Repeated roots often indicate tangency, while nonreal roots indicate no real intersection."
P12.9-V2,P12.9,P12,2,Subtract-to-eliminate squared terms.,"The resulting polynomial degree predicts possible intersection counts. Repeated roots often indicate tangency, while nonreal roots indicate no real intersection."
P12.9-V3,P12.9,P12,3,Tangency and multiplicity comparison.,"The resulting polynomial degree predicts possible intersection counts. Repeated roots often indicate tangency, while nonreal roots indicate no real intersection."
P12.10-V1,P12.10,P12,1,Parabolic reflector ray diagram.,"Real structures approximate ideal conics over selected regions. Materials, loading, thickness, measurement error, and three-dimensional effects limit the model."
P12.10-V2,P12.10,P12,2,Ellipse focal reflection.,"Real structures approximate ideal conics over selected regions. Materials, loading, thickness, measurement error, and three-dimensional effects limit the model."
P12.10-V3,P12.10,P12,3,Model-versus-measured-structure residual overlay.,"Real structures approximate ideal conics over selected regions. Materials, loading, thickness, measurement error, and three-dimensional effects limit the model."
P13.1-V1,P13.1,P13,1,Parametric tracer with moving point.,A table of t-values reveals ordered positions. Arrows on the curve preserve orientation information that is absent from an ordinary Cartesian equation.
P13.1-V2,P13.1,P13,2,"Same curve, opposite orientation.",A table of t-values reveals ordered positions. Arrows on the curve preserve orientation information that is absent from an ordinary Cartesian equation.
P13.1-V3,P13.1,P13,3,Parameter table linked to coordinates.,A table of t-values reveals ordered positions. Arrows on the curve preserve orientation information that is absent from an ordinary Cartesian equation.
P13.2-V1,P13.2,P13,1,Elimination workflow.,"The Cartesian equation may describe more points than the chosen parameter interval traces, and it usually loses orientation and timing."
P13.2-V2,P13.2,P13,2,Restricted parametric segment versus full Cartesian curve.,"The Cartesian equation may describe more points than the chosen parameter interval traces, and it usually loses orientation and timing."
P13.2-V3,P13.2,P13,3,Orientation information lost after elimination.,"The Cartesian equation may describe more points than the chosen parameter interval traces, and it usually loses orientation and timing."
P13.3-V1,P13.3,P13,1,Position-vector motion plot.,"Component changes can be interpreted separately, but the vector preserves direction and combined magnitude."
P13.3-V2,P13.3,P13,2,Displacement chord versus traveled path.,"Component changes can be interpreted separately, but the vector preserves direction and combined magnitude."
