source_id,relationship,target_id,public,review_state,purpose
lesson-math-algebra-a1-5,part_of,unit-math-algebra-a1,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a1-5,practices,assessment-a1-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a1-5,precedes,lesson-math-algebra-a1-6,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a1-6,part_of,unit-math-algebra-a1,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a1-6,practices,assessment-a1-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a1-6,precedes,lesson-math-algebra-a1-7,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a1-7,part_of,unit-math-algebra-a1,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a1-7,practices,assessment-a1-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a1-7,precedes,lesson-math-algebra-a1-8,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a1-7,uses_tool,tool-math-algebra-expression-checker,yes,candidate-review-required,"Checker supports bounded evaluation, simplification, or equivalence; it does not replace equation assessment."
lesson-math-algebra-a1-8,part_of,unit-math-algebra-a1,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a1-8,practices,assessment-a1-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
unit-math-algebra-a2,part_of,course-math-algebra-full,yes,approved-by-storyboard,Unit belongs to canonical Algebra course.
lesson-math-algebra-a2-1,part_of,unit-math-algebra-a2,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a2-1,practices,assessment-a2-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a2-1,precedes,lesson-math-algebra-a2-2,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a2-2,part_of,unit-math-algebra-a2,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a2-2,practices,assessment-a2-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a2-2,precedes,lesson-math-algebra-a2-3,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a2-3,part_of,unit-math-algebra-a2,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a2-3,practices,assessment-a2-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a2-3,precedes,lesson-math-algebra-a2-4,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a2-4,part_of,unit-math-algebra-a2,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a2-4,practices,assessment-a2-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a2-4,precedes,lesson-math-algebra-a2-5,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a2-5,part_of,unit-math-algebra-a2,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a2-5,practices,assessment-a2-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a2-5,precedes,lesson-math-algebra-a2-6,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a2-6,part_of,unit-math-algebra-a2,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a2-6,practices,assessment-a2-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a2-6,precedes,lesson-math-algebra-a2-7,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a2-7,part_of,unit-math-algebra-a2,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a2-7,practices,assessment-a2-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a2-7,precedes,lesson-math-algebra-a2-8,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a2-8,part_of,unit-math-algebra-a2,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a2-8,practices,assessment-a2-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a2-8,precedes,lesson-math-algebra-a2-9,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a2-9,part_of,unit-math-algebra-a2,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a2-9,practices,assessment-a2-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a2-9,precedes,lesson-math-algebra-a2-10,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a2-10,part_of,unit-math-algebra-a2,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a2-10,practices,assessment-a2-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
unit-math-algebra-a3,part_of,course-math-algebra-full,yes,approved-by-storyboard,Unit belongs to canonical Algebra course.
lesson-math-algebra-a3-1,part_of,unit-math-algebra-a3,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a3-1,practices,assessment-a3-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a3-1,precedes,lesson-math-algebra-a3-2,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a3-2,part_of,unit-math-algebra-a3,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a3-2,practices,assessment-a3-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a3-2,precedes,lesson-math-algebra-a3-3,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a3-3,part_of,unit-math-algebra-a3,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a3-3,practices,assessment-a3-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a3-3,precedes,lesson-math-algebra-a3-4,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a3-4,part_of,unit-math-algebra-a3,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a3-4,practices,assessment-a3-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a3-4,precedes,lesson-math-algebra-a3-5,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a3-5,part_of,unit-math-algebra-a3,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a3-5,practices,assessment-a3-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a3-5,precedes,lesson-math-algebra-a3-6,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a3-6,part_of,unit-math-algebra-a3,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a3-6,practices,assessment-a3-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a3-6,precedes,lesson-math-algebra-a3-7,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a3-7,part_of,unit-math-algebra-a3,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a3-7,practices,assessment-a3-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a3-7,precedes,lesson-math-algebra-a3-8,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a3-8,part_of,unit-math-algebra-a3,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a3-8,practices,assessment-a3-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
unit-math-algebra-a4,part_of,course-math-algebra-full,yes,approved-by-storyboard,Unit belongs to canonical Algebra course.
lesson-math-algebra-a4-1,part_of,unit-math-algebra-a4,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a4-1,practices,assessment-a4-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a4-1,precedes,lesson-math-algebra-a4-2,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a4-2,part_of,unit-math-algebra-a4,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a4-2,practices,assessment-a4-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a4-2,precedes,lesson-math-algebra-a4-3,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a4-3,part_of,unit-math-algebra-a4,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a4-3,practices,assessment-a4-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a4-3,precedes,lesson-math-algebra-a4-4,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a4-4,part_of,unit-math-algebra-a4,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a4-4,practices,assessment-a4-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a4-4,precedes,lesson-math-algebra-a4-5,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a4-5,part_of,unit-math-algebra-a4,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a4-5,practices,assessment-a4-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a4-5,precedes,lesson-math-algebra-a4-6,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a4-6,part_of,unit-math-algebra-a4,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a4-6,practices,assessment-a4-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a4-6,precedes,lesson-math-algebra-a4-7,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a4-7,part_of,unit-math-algebra-a4,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a4-7,practices,assessment-a4-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a4-7,precedes,lesson-math-algebra-a4-8,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a4-8,part_of,unit-math-algebra-a4,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a4-8,practices,assessment-a4-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a4-8,precedes,lesson-math-algebra-a4-9,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a4-9,part_of,unit-math-algebra-a4,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a4-9,practices,assessment-a4-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a4-9,precedes,lesson-math-algebra-a4-10,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a4-10,part_of,unit-math-algebra-a4,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a4-10,practices,assessment-a4-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a4-10,precedes,lesson-math-algebra-a4-11,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a4-11,part_of,unit-math-algebra-a4,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a4-11,practices,assessment-a4-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
unit-math-algebra-a5,part_of,course-math-algebra-full,yes,approved-by-storyboard,Unit belongs to canonical Algebra course.
lesson-math-algebra-a5-1,part_of,unit-math-algebra-a5,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a5-1,practices,assessment-a5-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a5-1,precedes,lesson-math-algebra-a5-2,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a5-2,part_of,unit-math-algebra-a5,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a5-2,practices,assessment-a5-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a5-2,precedes,lesson-math-algebra-a5-3,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a5-3,part_of,unit-math-algebra-a5,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a5-3,practices,assessment-a5-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a5-3,precedes,lesson-math-algebra-a5-4,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a5-3,uses_tool,tool-math-algebra-expression-checker,yes,candidate-review-required,"Checker supports bounded evaluation, simplification, or equivalence; it does not replace equation assessment."
lesson-math-algebra-a5-4,part_of,unit-math-algebra-a5,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a5-4,practices,assessment-a5-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a5-4,precedes,lesson-math-algebra-a5-5,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a5-5,part_of,unit-math-algebra-a5,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a5-5,practices,assessment-a5-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a5-5,precedes,lesson-math-algebra-a5-6,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a5-6,part_of,unit-math-algebra-a5,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a5-6,practices,assessment-a5-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a5-6,precedes,lesson-math-algebra-a5-7,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a5-7,part_of,unit-math-algebra-a5,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a5-7,practices,assessment-a5-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a5-7,precedes,lesson-math-algebra-a5-8,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a5-8,part_of,unit-math-algebra-a5,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a5-8,practices,assessment-a5-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
unit-math-algebra-a6,part_of,course-math-algebra-full,yes,approved-by-storyboard,Unit belongs to canonical Algebra course.
lesson-math-algebra-a6-1,part_of,unit-math-algebra-a6,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a6-1,practices,assessment-a6-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a6-1,precedes,lesson-math-algebra-a6-2,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a6-1,uses_tool,tool-math-algebra-expression-checker,yes,candidate-review-required,"Checker supports bounded evaluation, simplification, or equivalence; it does not replace equation assessment."
lesson-math-algebra-a6-2,part_of,unit-math-algebra-a6,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a6-2,practices,assessment-a6-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a6-2,precedes,lesson-math-algebra-a6-3,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a6-3,part_of,unit-math-algebra-a6,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a6-3,practices,assessment-a6-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a6-3,precedes,lesson-math-algebra-a6-4,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a6-4,part_of,unit-math-algebra-a6,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a6-4,practices,assessment-a6-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a6-4,precedes,lesson-math-algebra-a6-5,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a6-5,part_of,unit-math-algebra-a6,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a6-5,practices,assessment-a6-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a6-5,precedes,lesson-math-algebra-a6-6,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a6-5,uses_tool,tool-math-algebra-expression-checker,yes,candidate-review-required,"Checker supports bounded evaluation, simplification, or equivalence; it does not replace equation assessment."
lesson-math-algebra-a6-6,part_of,unit-math-algebra-a6,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a6-6,practices,assessment-a6-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a6-6,precedes,lesson-math-algebra-a6-7,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a6-7,part_of,unit-math-algebra-a6,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a6-7,practices,assessment-a6-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a6-7,precedes,lesson-math-algebra-a6-8,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a6-8,part_of,unit-math-algebra-a6,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a6-8,practices,assessment-a6-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a6-8,precedes,lesson-math-algebra-a6-9,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a6-9,part_of,unit-math-algebra-a6,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a6-9,practices,assessment-a6-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
unit-math-algebra-a7,part_of,course-math-algebra-full,yes,approved-by-storyboard,Unit belongs to canonical Algebra course.
lesson-math-algebra-a7-1,part_of,unit-math-algebra-a7,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a7-1,practices,assessment-a7-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a7-1,precedes,lesson-math-algebra-a7-2,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a7-1,uses_tool,tool-math-algebra-expression-checker,yes,candidate-review-required,"Checker supports bounded evaluation, simplification, or equivalence; it does not replace equation assessment."
lesson-math-algebra-a7-2,part_of,unit-math-algebra-a7,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a7-2,practices,assessment-a7-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a7-2,precedes,lesson-math-algebra-a7-3,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a7-2,uses_tool,tool-math-algebra-expression-checker,yes,candidate-review-required,"Checker supports bounded evaluation, simplification, or equivalence; it does not replace equation assessment."
lesson-math-algebra-a7-3,part_of,unit-math-algebra-a7,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a7-3,practices,assessment-a7-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a7-3,precedes,lesson-math-algebra-a7-4,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a7-4,part_of,unit-math-algebra-a7,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a7-4,practices,assessment-a7-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a7-4,precedes,lesson-math-algebra-a7-5,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a7-4,uses_tool,tool-math-algebra-expression-checker,yes,candidate-review-required,"Checker supports bounded evaluation, simplification, or equivalence; it does not replace equation assessment."
lesson-math-algebra-a7-5,part_of,unit-math-algebra-a7,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a7-5,practices,assessment-a7-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a7-5,precedes,lesson-math-algebra-a7-6,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a7-5,uses_tool,tool-math-algebra-expression-checker,yes,candidate-review-required,"Checker supports bounded evaluation, simplification, or equivalence; it does not replace equation assessment."
lesson-math-algebra-a7-6,part_of,unit-math-algebra-a7,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a7-6,practices,assessment-a7-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a7-6,precedes,lesson-math-algebra-a7-7,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a7-7,part_of,unit-math-algebra-a7,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a7-7,practices,assessment-a7-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a7-7,precedes,lesson-math-algebra-a7-8,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a7-8,part_of,unit-math-algebra-a7,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a7-8,practices,assessment-a7-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a7-8,precedes,lesson-math-algebra-a7-9,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a7-8,uses_tool,tool-math-algebra-expression-checker,yes,candidate-review-required,"Checker supports bounded evaluation, simplification, or equivalence; it does not replace equation assessment."
lesson-math-algebra-a7-9,part_of,unit-math-algebra-a7,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a7-9,practices,assessment-a7-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a7-9,uses_tool,tool-math-algebra-expression-checker,yes,candidate-review-required,"Checker supports bounded evaluation, simplification, or equivalence; it does not replace equation assessment."
unit-math-algebra-a8,part_of,course-math-algebra-full,yes,approved-by-storyboard,Unit belongs to canonical Algebra course.
lesson-math-algebra-a8-1,part_of,unit-math-algebra-a8,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a8-1,practices,assessment-a8-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a8-1,precedes,lesson-math-algebra-a8-2,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a8-1,uses_tool,tool-math-algebra-expression-checker,yes,candidate-review-required,"Checker supports bounded evaluation, simplification, or equivalence; it does not replace equation assessment."
lesson-math-algebra-a8-2,part_of,unit-math-algebra-a8,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a8-2,practices,assessment-a8-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a8-2,precedes,lesson-math-algebra-a8-3,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a8-2,uses_tool,tool-math-algebra-expression-checker,yes,candidate-review-required,"Checker supports bounded evaluation, simplification, or equivalence; it does not replace equation assessment."
lesson-math-algebra-a8-3,part_of,unit-math-algebra-a8,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a8-3,practices,assessment-a8-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a8-3,precedes,lesson-math-algebra-a8-4,yes,approved-by-storyboard,Core sequence next step.
