unit,unit_title,lesson_id,sequence,lesson_title,canonical_path,page_type,outcome,opening,prerequisites,story_beat,checkpoint,exit_check,exercise_count,bridge_forward,release_phase,assessment_runtime,search_priority
A1,"Quantities, Variables, and Mathematical Objects",A1.1,1,Variables and changing quantities,/subjects/math/algebra/quantities-variables/variables-and-changing-quantities/,lesson,"Distinguish unknowns, changing quantities, parameters, constants, and labels.",Track altitude over time and decide which quantities vary.,Arithmetic readiness plus the central language of A1.,"Within Act I - Giving general names to quantities, this page advances the course by establishing that distinguish unknowns, changing quantities, parameters, constants, and labels..","One clean attempt-before-reveal item that tests the exact decision described by this outcome: Distinguish unknowns, changing quantities, parameters, constants, and labels.","['One direct item requiring the core procedure or interpretation.', 'One mixed item requiring method selection, explanation, or a check.']",18-24 items (12-18 for lighter repair pages; 25-35 for major solving/factoring pages).,"The closing paragraph should make expressions, equations, and inequalities feel like the next necessary question.",1,course-unit deterministic checker + attempt-gated reveal,82
A1,"Quantities, Variables, and Mathematical Objects",A1.2,2,"Expressions, equations, and inequalities",/subjects/math/algebra/quantities-variables/expressions-equations-and-inequalities/,lesson,Classify symbolic objects by whether they name a value or make a true-or-false claim.,"Compare 3x+2, 3x+2=11, and 3x+2<11.",Arithmetic readiness plus the central language of A1.,"Within Act I - Giving general names to quantities, this page advances the course by establishing that classify symbolic objects by whether they name a value or make a true-or-false claim..",One clean attempt-before-reveal item that tests the exact decision described by this outcome: Classify symbolic objects by whether they name a value or make a true-or-false claim.,"['One direct item requiring the core procedure or interpretation.', 'One mixed item requiring method selection, explanation, or a check.']",18-24 items (12-18 for lighter repair pages; 25-35 for major solving/factoring pages).,"The closing paragraph should make terms, factors, coefficients, and structure feel like the next necessary question.",1,course-unit deterministic checker + attempt-gated reveal,82
A1,"Quantities, Variables, and Mathematical Objects",A1.3,3,"Terms, factors, coefficients, and structure",/subjects/math/algebra/quantities-variables/terms-factors-coefficients-and-structure/,lesson,Read nested sums and products without flattening them incorrectly.,Dissect a formula with several layers of grouping.,Arithmetic readiness plus the central language of A1.,"Within Act I - Giving general names to quantities, this page advances the course by establishing that read nested sums and products without flattening them incorrectly..",One clean attempt-before-reveal item that tests the exact decision described by this outcome: Read nested sums and products without flattening them incorrectly.,"['One direct item requiring the core procedure or interpretation.', 'One mixed item requiring method selection, explanation, or a check.']",18-24 items (12-18 for lighter repair pages; 25-35 for major solving/factoring pages).,The closing paragraph should make substitution and evaluation feel like the next necessary question.,1,course-unit deterministic checker + attempt-gated reveal,82
A1,"Quantities, Variables, and Mathematical Objects",A1.4,4,Substitution and evaluation,/subjects/math/algebra/quantities-variables/substitution-and-evaluation/,lesson,Replace variables or subexpressions with equal-valued expressions while preserving grouping.,Evaluate a cost formula for several signed and fractional inputs.,Arithmetic readiness plus the central language of A1.,"Within Act I - Giving general names to quantities, this page advances the course by establishing that replace variables or subexpressions with equal-valued expressions while preserving grouping..",One clean attempt-before-reveal item that tests the exact decision described by this outcome: Replace variables or subexpressions with equal-valued expressions while preserving grouping.,"['One direct item requiring the core procedure or interpretation.', 'One mixed item requiring method selection, explanation, or a check.']",18-24 items (12-18 for lighter repair pages; 25-35 for major solving/factoring pages).,The closing paragraph should make grouping and order of operations feel like the next necessary question.,1,course-unit deterministic checker + attempt-gated reveal,82
A1,"Quantities, Variables, and Mathematical Objects",A1.5,5,Grouping and order of operations,/subjects/math/algebra/quantities-variables/grouping-and-order-of-operations/,lesson,Interpret grouping symbols as explicit structure and precedence as a shared reading convention.,Resolve two calculator entries that appear similar but mean different things.,Arithmetic readiness plus the central language of A1.,"Within Act I - Giving general names to quantities, this page advances the course by establishing that interpret grouping symbols as explicit structure and precedence as a shared reading convention..",One clean attempt-before-reveal item that tests the exact decision described by this outcome: Interpret grouping symbols as explicit structure and precedence as a shared reading convention.,"['One direct item requiring the core procedure or interpretation.', 'One mixed item requiring method selection, explanation, or a check.']",18-24 items (12-18 for lighter repair pages; 25-35 for major solving/factoring pages).,The closing paragraph should make properties of real-number operations feel like the next necessary question.,1,course-unit deterministic checker + attempt-gated reveal,82
A1,"Quantities, Variables, and Mathematical Objects",A1.6,6,Properties of real-number operations,/subjects/math/algebra/quantities-variables/properties-of-real-number-operations/,lesson,"Use commutative, associative, identity, inverse, and distributive properties to justify rewrites.",Rearrange a calculation to make it easier without changing its value.,Arithmetic readiness plus the central language of A1.,"Within Act I - Giving general names to quantities, this page advances the course by establishing that use commutative, associative, identity, inverse, and distributive properties to justify rewrites..","One clean attempt-before-reveal item that tests the exact decision described by this outcome: Use commutative, associative, identity, inverse, and distributive properties to justify rewrites.","['One direct item requiring the core procedure or interpretation.', 'One mixed item requiring method selection, explanation, or a check.']",18-24 items (12-18 for lighter repair pages; 25-35 for major solving/factoring pages).,The closing paragraph should make equivalent expressions and like terms feel like the next necessary question.,1,course-unit deterministic checker + attempt-gated reveal,82
A1,"Quantities, Variables, and Mathematical Objects",A1.7,7,Equivalent expressions and like terms,/subjects/math/algebra/quantities-variables/equivalent-expressions-and-like-terms/,lesson,Recognize rewrites that preserve value for every allowed input and combine only structurally alike terms.,Compare two formulas by testing and then proving equivalence.,Arithmetic readiness plus the central language of A1.,"Within Act I - Giving general names to quantities, this page advances the course by establishing that recognize rewrites that preserve value for every allowed input and combine only structurally alike terms..",One clean attempt-before-reveal item that tests the exact decision described by this outcome: Recognize rewrites that preserve value for every allowed input and combine only structurally alike terms.,"['One direct item requiring the core procedure or interpretation.', 'One mixed item requiring method selection, explanation, or a check.']",18-24 items (12-18 for lighter repair pages; 25-35 for major solving/factoring pages).,"The closing paragraph should make formulas, units, and mathematical communication feel like the next necessary question.",1,course-unit deterministic checker + attempt-gated reveal,82
A1,"Quantities, Variables, and Mathematical Objects",A1.8,8,"Formulas, units, and mathematical communication",/subjects/math/algebra/quantities-variables/formulas-units-and-mathematical-communication/,lesson,Read formulas as reusable relationships and communicate transformations unambiguously.,"Use an area, distance, or finance formula with units.",Arithmetic readiness plus the central language of A1.,"Within Act I - Giving general names to quantities, this page advances the course by establishing that read formulas as reusable relationships and communicate transformations unambiguously..",One clean attempt-before-reveal item that tests the exact decision described by this outcome: Read formulas as reusable relationships and communicate transformations unambiguously.,"['One direct item requiring the core procedure or interpretation.', 'One mixed item requiring method selection, explanation, or a check.']",18-24 items (12-18 for lighter repair pages; 25-35 for major solving/factoring pages).,"The closing paragraph should make solutions, solution sets, and checking feel like the next necessary question.",1,course-unit deterministic checker + attempt-gated reveal,82
A2,"Expressions, Equality, and Linear Equations",A2.1,1,"Solutions, solution sets, and checking",/subjects/math/algebra/linear-equations/solutions-solution-sets-and-checking/,lesson,Determine whether candidate values make an equation true and distinguish a proposed answer from a verified solution.,Test several possible access codes against a condition.,Mastery of the preceding dependency strand through A1 and any locally linked repair skills.,"Within Act II - Preserving truth while changing form, this page advances the course by establishing that determine whether candidate values make an equation true and distinguish a proposed answer from a verified solution..",One clean attempt-before-reveal item that tests the exact decision described by this outcome: Determine whether candidate values make an equation true and distinguish a proposed answer from a verified solution.,"['One direct item requiring the core procedure or interpretation.', 'One mixed item requiring method selection, explanation, or a check.']",18-24 items (12-18 for lighter repair pages; 25-35 for major solving/factoring pages).,The closing paragraph should make addition and subtraction equations feel like the next necessary question.,1,course-unit deterministic checker + attempt-gated reveal,82
A2,"Expressions, Equality, and Linear Equations",A2.2,2,Addition and subtraction equations,/subjects/math/algebra/linear-equations/addition-and-subtraction-equations/,lesson,Use additive inverses to isolate a variable while preserving equality.,Undo a net change in a balance or temperature.,Mastery of the preceding dependency strand through A2 and any locally linked repair skills.,"Within Act II - Preserving truth while changing form, this page advances the course by establishing that use additive inverses to isolate a variable while preserving equality..",One clean attempt-before-reveal item that tests the exact decision described by this outcome: Use additive inverses to isolate a variable while preserving equality.,"['One direct item requiring the core procedure or interpretation.', 'One mixed item requiring method selection, explanation, or a check.']",18-24 items (12-18 for lighter repair pages; 25-35 for major solving/factoring pages).,The closing paragraph should make multiplication and division equations feel like the next necessary question.,1,course-unit deterministic checker + attempt-gated reveal,82
A2,"Expressions, Equality, and Linear Equations",A2.3,3,Multiplication and division equations,/subjects/math/algebra/linear-equations/multiplication-and-division-equations/,lesson,"Use reciprocals and equal scaling to isolate a variable, with explicit zero restrictions.",Recover a unit quantity from a scaled total.,Mastery of the preceding dependency strand through A2 and any locally linked repair skills.,"Within Act II - Preserving truth while changing form, this page advances the course by establishing that use reciprocals and equal scaling to isolate a variable, with explicit zero restrictions..","One clean attempt-before-reveal item that tests the exact decision described by this outcome: Use reciprocals and equal scaling to isolate a variable, with explicit zero restrictions.","['One direct item requiring the core procedure or interpretation.', 'One mixed item requiring method selection, explanation, or a check.']",18-24 items (12-18 for lighter repair pages; 25-35 for major solving/factoring pages).,The closing paragraph should make simplifying before solving feel like the next necessary question.,1,course-unit deterministic checker + attempt-gated reveal,82
A2,"Expressions, Equality, and Linear Equations",A2.4,4,Simplifying before solving,/subjects/math/algebra/linear-equations/simplifying-before-solving/,lesson,Combine like terms and distribute before isolating the variable.,Compare a cluttered equation with its simplified structure.,Mastery of the preceding dependency strand through A2 and any locally linked repair skills.,"Within Act II - Preserving truth while changing form, this page advances the course by establishing that combine like terms and distribute before isolating the variable..",One clean attempt-before-reveal item that tests the exact decision described by this outcome: Combine like terms and distribute before isolating the variable.,"['One direct item requiring the core procedure or interpretation.', 'One mixed item requiring method selection, explanation, or a check.']",18-24 items (12-18 for lighter repair pages; 25-35 for major solving/factoring pages).,The closing paragraph should make multistep linear equations feel like the next necessary question.,1,course-unit deterministic checker + attempt-gated reveal,82
A2,"Expressions, Equality, and Linear Equations",A2.5,5,Multistep linear equations,/subjects/math/algebra/linear-equations/multistep-linear-equations/,lesson,Undo layered operations in an order determined by structure.,Reverse a multi-stage fee or measurement process.,Mastery of the preceding dependency strand through A2 and any locally linked repair skills.,"Within Act II - Preserving truth while changing form, this page advances the course by establishing that undo layered operations in an order determined by structure..",One clean attempt-before-reveal item that tests the exact decision described by this outcome: Undo layered operations in an order determined by structure.,"['One direct item requiring the core procedure or interpretation.', 'One mixed item requiring method selection, explanation, or a check.']",18-24 items (12-18 for lighter repair pages; 25-35 for major solving/factoring pages).,The closing paragraph should make equations with fractions and decimals feel like the next necessary question.,1,course-unit deterministic checker + attempt-gated reveal,82
A2,"Expressions, Equality, and Linear Equations",A2.6,6,Equations with fractions and decimals,/subjects/math/algebra/linear-equations/equations-with-fractions-and-decimals/,lesson,Solve equations with rational coefficients directly or by clearing denominators strategically.,Resolve a formula involving fractional rates.,Mastery of the preceding dependency strand through A2 and any locally linked repair skills.,"Within Act II - Preserving truth while changing form, this page advances the course by establishing that solve equations with rational coefficients directly or by clearing denominators strategically..",One clean attempt-before-reveal item that tests the exact decision described by this outcome: Solve equations with rational coefficients directly or by clearing denominators strategically.,"['One direct item requiring the core procedure or interpretation.', 'One mixed item requiring method selection, explanation, or a check.']",18-24 items (12-18 for lighter repair pages; 25-35 for major solving/factoring pages).,The closing paragraph should make variables on both sides feel like the next necessary question.,1,course-unit deterministic checker + attempt-gated reveal,82
A2,"Expressions, Equality, and Linear Equations",A2.7,7,Variables on both sides,/subjects/math/algebra/linear-equations/variables-on-both-sides/,lesson,Collect variable terms and constants strategically and interpret the resulting coefficient.,Compare two pricing plans that depend on the same usage variable.,Mastery of the preceding dependency strand through A2 and any locally linked repair skills.,"Within Act II - Preserving truth while changing form, this page advances the course by establishing that collect variable terms and constants strategically and interpret the resulting coefficient..",One clean attempt-before-reveal item that tests the exact decision described by this outcome: Collect variable terms and constants strategically and interpret the resulting coefficient.,"['One direct item requiring the core procedure or interpretation.', 'One mixed item requiring method selection, explanation, or a check.']",18-24 items (12-18 for lighter repair pages; 25-35 for major solving/factoring pages).,"The closing paragraph should make one solution, no solution, or infinitely many feel like the next necessary question.",1,course-unit deterministic checker + attempt-gated reveal,82
A2,"Expressions, Equality, and Linear Equations",A2.8,8,"One solution, no solution, or infinitely many",/subjects/math/algebra/linear-equations/one-solution-no-solution-or-infinitely-many/,lesson,Recognize identities and contradictions produced by simplification.,"Compare conditions that describe one value, every value, or no value.",Mastery of the preceding dependency strand through A2 and any locally linked repair skills.,"Within Act II - Preserving truth while changing form, this page advances the course by establishing that recognize identities and contradictions produced by simplification..",One clean attempt-before-reveal item that tests the exact decision described by this outcome: Recognize identities and contradictions produced by simplification.,"['One direct item requiring the core procedure or interpretation.', 'One mixed item requiring method selection, explanation, or a check.']",18-24 items (12-18 for lighter repair pages; 25-35 for major solving/factoring pages).,The closing paragraph should make translating one-variable models feel like the next necessary question.,1,course-unit deterministic checker + attempt-gated reveal,82
A2,"Expressions, Equality, and Linear Equations",A2.9,9,Translating one-variable models,/subjects/math/algebra/linear-equations/translating-one-variable-models/,lesson,Define a variable and build a linear equation from a verbal or diagrammatic relationship.,Represent a total assembled from a fixed part and a variable part.,Mastery of the preceding dependency strand through A2 and any locally linked repair skills.,"Within Act II - Preserving truth while changing form, this page advances the course by establishing that define a variable and build a linear equation from a verbal or diagrammatic relationship..",One clean attempt-before-reveal item that tests the exact decision described by this outcome: Define a variable and build a linear equation from a verbal or diagrammatic relationship.,"['One direct item requiring the core procedure or interpretation.', 'One mixed item requiring method selection, explanation, or a check.']",18-24 items (12-18 for lighter repair pages; 25-35 for major solving/factoring pages).,The closing paragraph should make linear equation strategy studio feel like the next necessary question.,1,course-unit deterministic checker + attempt-gated reveal,82
A2,"Expressions, Equality, and Linear Equations",A2.10,10,Linear equation strategy studio,/subjects/math/algebra/linear-equations/linear-equation-strategy-studio/,lesson,"Classify structure, choose a first move, and defend the solution route.",Sort a mixed set of equations with no chapter labels.,Mastery of the preceding dependency strand through A2 and any locally linked repair skills.,"Within Act II - Preserving truth while changing form, this page advances the course by establishing that classify structure, choose a first move, and defend the solution route..","One clean attempt-before-reveal item that tests the exact decision described by this outcome: Classify structure, choose a first move, and defend the solution route.","['One direct item requiring the core procedure or interpretation.', 'One mixed item requiring method selection, explanation, or a check.']",18-24 items (12-18 for lighter repair pages; 25-35 for major solving/factoring pages).,The closing paragraph should make inequalities and truth sets feel like the next necessary question.,1,course-unit deterministic checker + attempt-gated reveal,82
A3,"Inequalities, Absolute Value, and Formulas",A3.1,1,Inequalities and truth sets,/subjects/math/algebra/inequalities-absolute-value/inequalities-and-truth-sets/,lesson,Interpret an inequality as a condition satisfied by a region of values.,Test candidate values against a safety or budget threshold.,Mastery of the preceding dependency strand through A2 and any locally linked repair skills.,"Within Act III - Describing regions and constraints, this page advances the course by establishing that interpret an inequality as a condition satisfied by a region of values..",One clean attempt-before-reveal item that tests the exact decision described by this outcome: Interpret an inequality as a condition satisfied by a region of values.,"['One direct item requiring the core procedure or interpretation.', 'One mixed item requiring method selection, explanation, or a check.']",18-24 items (12-18 for lighter repair pages; 25-35 for major solving/factoring pages).,The closing paragraph should make solving linear inequalities feel like the next necessary question.,1,course-unit deterministic checker + attempt-gated reveal,82
A3,"Inequalities, Absolute Value, and Formulas",A3.2,2,Solving linear inequalities,/subjects/math/algebra/inequalities-absolute-value/solving-linear-inequalities/,lesson,Apply equation-style operations while tracking order and representing the result as a set.,Find all values that keep a total under a limit.,Mastery of the preceding dependency strand through A3 and any locally linked repair skills.,"Within Act III - Describing regions and constraints, this page advances the course by establishing that apply equation-style operations while tracking order and representing the result as a set..",One clean attempt-before-reveal item that tests the exact decision described by this outcome: Apply equation-style operations while tracking order and representing the result as a set.,"['One direct item requiring the core procedure or interpretation.', 'One mixed item requiring method selection, explanation, or a check.']",18-24 items (12-18 for lighter repair pages; 25-35 for major solving/factoring pages).,The closing paragraph should make why negative scaling reverses order feel like the next necessary question.,1,course-unit deterministic checker + attempt-gated reveal,82
A3,"Inequalities, Absolute Value, and Formulas",A3.3,3,Why negative scaling reverses order,/subjects/math/algebra/inequalities-absolute-value/why-negative-scaling-reverses-order/,lesson,Explain order reversal through reflection and numerical comparison.,Reflect two ordered points through zero.,Mastery of the preceding dependency strand through A3 and any locally linked repair skills.,"Within Act III - Describing regions and constraints, this page advances the course by establishing that explain order reversal through reflection and numerical comparison..",One clean attempt-before-reveal item that tests the exact decision described by this outcome: Explain order reversal through reflection and numerical comparison.,"['One direct item requiring the core procedure or interpretation.', 'One mixed item requiring method selection, explanation, or a check.']",18-24 items (12-18 for lighter repair pages; 25-35 for major solving/factoring pages).,The closing paragraph should make interval notation and endpoint meaning feel like the next necessary question.,1,course-unit deterministic checker + attempt-gated reveal,82
A3,"Inequalities, Absolute Value, and Formulas",A3.4,4,Interval notation and endpoint meaning,/subjects/math/algebra/inequalities-absolute-value/interval-notation-and-endpoint-meaning/,lesson,"Translate among inequalities, number-line graphs, and interval notation.",Encode an allowed temperature or measurement range.,Mastery of the preceding dependency strand through A3 and any locally linked repair skills.,"Within Act III - Describing regions and constraints, this page advances the course by establishing that translate among inequalities, number-line graphs, and interval notation..","One clean attempt-before-reveal item that tests the exact decision described by this outcome: Translate among inequalities, number-line graphs, and interval notation.","['One direct item requiring the core procedure or interpretation.', 'One mixed item requiring method selection, explanation, or a check.']",18-24 items (12-18 for lighter repair pages; 25-35 for major solving/factoring pages).,The closing paragraph should make compound inequalities feel like the next necessary question.,1,course-unit deterministic checker + attempt-gated reveal,82
A3,"Inequalities, Absolute Value, and Formulas",A3.5,5,Compound inequalities,/subjects/math/algebra/inequalities-absolute-value/compound-inequalities/,lesson,Interpret and solve intersections and unions of conditions.,Find values satisfying simultaneous minimum and maximum requirements.,Mastery of the preceding dependency strand through A3 and any locally linked repair skills.,"Within Act III - Describing regions and constraints, this page advances the course by establishing that interpret and solve intersections and unions of conditions..",One clean attempt-before-reveal item that tests the exact decision described by this outcome: Interpret and solve intersections and unions of conditions.,"['One direct item requiring the core procedure or interpretation.', 'One mixed item requiring method selection, explanation, or a check.']",18-24 items (12-18 for lighter repair pages; 25-35 for major solving/factoring pages).,The closing paragraph should make absolute value as distance feel like the next necessary question.,1,course-unit deterministic checker + attempt-gated reveal,82
A3,"Inequalities, Absolute Value, and Formulas",A3.6,6,Absolute value as distance,/subjects/math/algebra/inequalities-absolute-value/absolute-value-as-distance/,lesson,Interpret |x-a| as the distance from a center a.,Locate all points a fixed distance from a target.,Mastery of the preceding dependency strand through A3 and any locally linked repair skills.,"Within Act III - Describing regions and constraints, this page advances the course by establishing that interpret |x-a| as the distance from a center a..",One clean attempt-before-reveal item that tests the exact decision described by this outcome: Interpret |x-a| as the distance from a center a.,"['One direct item requiring the core procedure or interpretation.', 'One mixed item requiring method selection, explanation, or a check.']",18-24 items (12-18 for lighter repair pages; 25-35 for major solving/factoring pages).,The closing paragraph should make absolute-value equations and inequalities feel like the next necessary question.,1,course-unit deterministic checker + attempt-gated reveal,82
