assessment_id,unit,kind,path,question_count,duration_minutes,grading,answer_route,cumulative_share,indexable
a6-mastery,A6,mastery-check,/subjects/math/algebra/exponents-roots/mastery-check/,24-32,30-55,deterministic + rubric-scored explanation prompts,/subjects/math/algebra/exponents-roots/mastery-check/answer-key/,15% older + 25% recent,yes
a7-review,A7,review,/subjects/math/algebra/polynomial-operations/review/,35-50,35-60,mixed self-check + selected deterministic checks,embedded attempt-gated reveals,25% prior units,yes
a7-practice,A7,practice,/subjects/math/algebra/polynomial-operations/practice/,20-40,flexible,deterministic where supported; symbolic equivalence server-side,attempt-gated per item,30% prior units,yes
a7-mastery,A7,mastery-check,/subjects/math/algebra/polynomial-operations/mastery-check/,24-32,30-55,deterministic + rubric-scored explanation prompts,/subjects/math/algebra/polynomial-operations/mastery-check/answer-key/,15% older + 25% recent,yes
a8-review,A8,review,/subjects/math/algebra/factoring-quadratics/review/,35-50,35-60,mixed self-check + selected deterministic checks,embedded attempt-gated reveals,25% prior units,yes
a8-practice,A8,practice,/subjects/math/algebra/factoring-quadratics/practice/,20-40,flexible,deterministic where supported; symbolic equivalence server-side,attempt-gated per item,30% prior units,yes
a8-mastery,A8,mastery-check,/subjects/math/algebra/factoring-quadratics/mastery-check/,24-32,30-55,deterministic + rubric-scored explanation prompts,/subjects/math/algebra/factoring-quadratics/mastery-check/answer-key/,15% older + 25% recent,yes
a8-investigation,A8,performance-task,/subjects/math/algebra/factoring-quadratics/investigation/,1 multistage investigation,45-90,"rubric; setup, representation, computation, checking, interpretation",attempt-gated model solution on same route or separate teacher-only artifact,integrated,yes
a9-review,A9,review,/subjects/math/algebra/quadratic-functions/review/,25-35,35-60,mixed self-check + selected deterministic checks,embedded attempt-gated reveals,25% prior units,yes
a9-practice,A9,practice,/subjects/math/algebra/quadratic-functions/practice/,20-40,flexible,deterministic where supported; symbolic equivalence server-side,attempt-gated per item,30% prior units,yes
a9-mastery,A9,mastery-check,/subjects/math/algebra/quadratic-functions/mastery-check/,18-24,30-55,deterministic + rubric-scored explanation prompts,/subjects/math/algebra/quadratic-functions/mastery-check/answer-key/,15% older + 25% recent,yes
a9-investigation,A9,performance-task,/subjects/math/algebra/quadratic-functions/investigation/,1 multistage investigation,45-90,"rubric; setup, representation, computation, checking, interpretation",attempt-gated model solution on same route or separate teacher-only artifact,integrated,yes
a10-review,A10,review,/subjects/math/algebra/rational-expressions/review/,35-50,35-60,mixed self-check + selected deterministic checks,embedded attempt-gated reveals,25% prior units,yes
a10-practice,A10,practice,/subjects/math/algebra/rational-expressions/practice/,20-40,flexible,deterministic where supported; symbolic equivalence server-side,attempt-gated per item,30% prior units,yes
a10-mastery,A10,mastery-check,/subjects/math/algebra/rational-expressions/mastery-check/,24-32,30-55,deterministic + rubric-scored explanation prompts,/subjects/math/algebra/rational-expressions/mastery-check/answer-key/,15% older + 25% recent,yes
a11-review,A11,review,/subjects/math/algebra/radicals-complex-numbers/review/,35-50,35-60,mixed self-check + selected deterministic checks,embedded attempt-gated reveals,25% prior units,yes
a11-practice,A11,practice,/subjects/math/algebra/radicals-complex-numbers/practice/,20-40,flexible,deterministic where supported; symbolic equivalence server-side,attempt-gated per item,30% prior units,yes
a11-mastery,A11,mastery-check,/subjects/math/algebra/radicals-complex-numbers/mastery-check/,24-32,30-55,deterministic + rubric-scored explanation prompts,/subjects/math/algebra/radicals-complex-numbers/mastery-check/answer-key/,15% older + 25% recent,yes
a12-review,A12,review,/subjects/math/algebra/functions/review/,25-35,35-60,mixed self-check + selected deterministic checks,embedded attempt-gated reveals,25% prior units,yes
a12-practice,A12,practice,/subjects/math/algebra/functions/practice/,20-40,flexible,deterministic where supported; symbolic equivalence server-side,attempt-gated per item,30% prior units,yes
a12-mastery,A12,mastery-check,/subjects/math/algebra/functions/mastery-check/,18-24,30-55,deterministic + rubric-scored explanation prompts,/subjects/math/algebra/functions/mastery-check/answer-key/,15% older + 25% recent,yes
a13-review,A13,review,/subjects/math/algebra/exponential-logarithmic/review/,35-50,35-60,mixed self-check + selected deterministic checks,embedded attempt-gated reveals,25% prior units,yes
a13-practice,A13,practice,/subjects/math/algebra/exponential-logarithmic/practice/,20-40,flexible,deterministic where supported; symbolic equivalence server-side,attempt-gated per item,30% prior units,yes
a13-mastery,A13,mastery-check,/subjects/math/algebra/exponential-logarithmic/mastery-check/,24-32,30-55,deterministic + rubric-scored explanation prompts,/subjects/math/algebra/exponential-logarithmic/mastery-check/answer-key/,15% older + 25% recent,yes
a13-investigation,A13,performance-task,/subjects/math/algebra/exponential-logarithmic/investigation/,1 multistage investigation,45-90,"rubric; setup, representation, computation, checking, interpretation",attempt-gated model solution on same route or separate teacher-only artifact,integrated,yes
a14-review,A14,review,/subjects/math/algebra/precalculus-readiness/review/,25-35,35-60,mixed self-check + selected deterministic checks,embedded attempt-gated reveals,25% prior units,yes
a14-practice,A14,practice,/subjects/math/algebra/precalculus-readiness/practice/,20-40,flexible,deterministic where supported; symbolic equivalence server-side,attempt-gated per item,30% prior units,yes
a14-mastery,A14,mastery-check,/subjects/math/algebra/precalculus-readiness/mastery-check/,18-24,30-55,deterministic + rubric-scored explanation prompts,/subjects/math/algebra/precalculus-readiness/mastery-check/answer-key/,15% older + 25% recent,yes
a14-investigation,A14,performance-task,/subjects/math/algebra/precalculus-readiness/investigation/,1 multistage investigation,45-90,"rubric; setup, representation, computation, checking, interpretation",attempt-gated model solution on same route or separate teacher-only artifact,integrated,yes
algebra-course-diagnostic,course,diagnostic,/subjects/math/algebra/diagnostic/,36-50 adaptive probes,35-60,deterministic; routes to exact repair lesson,diagnostic report only; no public key,all prerequisite strands,yes
algebra-final-exam,course,exam,/subjects/math/algebra/final-exam/,40-55,90-120,deterministic + rubric for modeling/explanation,/subjects/math/algebra/final-exam/answer-key/,100% cumulative,yes
