id,path,title,page_type,unit,action,indexable,sequence,notes
algebra-a3-4,/subjects/math/algebra/inequalities-absolute-value/interval-notation-and-endpoint-meaning/,Interval notation and endpoint meaning,lesson,A3,create,yes,4,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a3-5,/subjects/math/algebra/inequalities-absolute-value/compound-inequalities/,Compound inequalities,lesson,A3,create,yes,5,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a3-6,/subjects/math/algebra/inequalities-absolute-value/absolute-value-as-distance/,Absolute value as distance,lesson,A3,create,yes,6,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a3-7,/subjects/math/algebra/inequalities-absolute-value/absolute-value-equations-and-inequalities/,Absolute-value equations and inequalities,lesson,A3,create,yes,7,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a3-8,/subjects/math/algebra/inequalities-absolute-value/literal-equations-and-formulas/,Literal equations and formulas,lesson,A3,create,yes,8,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a3-review,/subjects/math/algebra/inequalities-absolute-value/review/,"Inequalities, Absolute Value, and Formulas: cumulative review",review,A3,create,yes,,
algebra-a3-practice,/subjects/math/algebra/inequalities-absolute-value/practice/,"Inequalities, Absolute Value, and Formulas: mixed practice",practice,A3,create,yes,,
algebra-a3-mastery,/subjects/math/algebra/inequalities-absolute-value/mastery-check/,"Inequalities, Absolute Value, and Formulas: mastery check",mastery-check,A3,create,yes,,
algebra-a3-mastery-key,/subjects/math/algebra/inequalities-absolute-value/mastery-check/answer-key/,"Inequalities, Absolute Value, and Formulas: mastery answer key",answer-key,A3,create,yes,,
algebra-a4-hub,/subjects/math/algebra/linear-relationships/,"Unit A4: Ratios, Rates, and Linear Relationships",unit-hub,A4,claim-existing-topic-root,yes,0,Unit route resolves before legacy topic routing when a collision exists; child guide routes remain valid.
algebra-a4-1,/subjects/math/algebra/linear-relationships/ratios-and-equivalent-ratios/,Ratios and equivalent ratios,lesson,A4,create,yes,1,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a4-2,/subjects/math/algebra/linear-relationships/unit-rates/,Unit rates,lesson,A4,create,yes,2,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a4-3,/subjects/math/algebra/linear-relationships/proportional-relationships/,Proportional relationships,lesson,A4,create,yes,3,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a4-4,/subjects/math/algebra/linear-relationships/percent-as-a-multiplier/,Percent as a multiplier,lesson,A4,create,yes,4,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a4-5,/subjects/math/algebra/linear-relationships/coordinate-plane-and-equation-solutions/,Coordinate plane and equation solutions,lesson,A4,create,yes,5,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a4-6,/subjects/math/algebra/linear-relationships/intercepts/,Intercepts,lesson,A4,create,yes,6,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a4-7,/subjects/math/algebra/linear-relationships/slope-from-graphs-and-tables/,Slope from graphs and tables,lesson,A4,create,yes,7,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a4-8,/subjects/math/algebra/linear-relationships/slope-from-two-points/,Slope from two points,lesson,A4,create,yes,8,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a4-9,/subjects/math/algebra/linear-relationships/equations-of-lines/,Equations of lines,lesson,A4,create,yes,9,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a4-10,/subjects/math/algebra/linear-relationships/parallel-and-perpendicular-lines/,Parallel and perpendicular lines,lesson,A4,create,yes,10,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a4-11,/subjects/math/algebra/linear-relationships/linear-models-fit-and-residuals/,"Linear models, fit, and residuals",lesson,A4,create,yes,11,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a4-review,/subjects/math/algebra/linear-relationships/review/,"Ratios, Rates, and Linear Relationships: cumulative review",review,A4,create,yes,,
algebra-a4-practice,/subjects/math/algebra/linear-relationships/practice/,"Ratios, Rates, and Linear Relationships: mixed practice",practice,A4,create,yes,,
algebra-a4-mastery,/subjects/math/algebra/linear-relationships/mastery-check/,"Ratios, Rates, and Linear Relationships: mastery check",mastery-check,A4,create,yes,,
algebra-a4-mastery-key,/subjects/math/algebra/linear-relationships/mastery-check/answer-key/,"Ratios, Rates, and Linear Relationships: mastery answer key",answer-key,A4,create,yes,,
algebra-a4-investigation,/subjects/math/algebra/linear-relationships/investigation/,"Ratios, Rates, and Linear Relationships: investigation",investigation,A4,create,yes,,
algebra-a5-hub,/subjects/math/algebra/systems/,Unit A5: Systems and Simultaneous Constraints,unit-hub,A5,create,yes,0,Unit route resolves before legacy topic routing when a collision exists; child guide routes remain valid.
algebra-a5-1,/subjects/math/algebra/systems/systems-as-simultaneous-conditions/,Systems as simultaneous conditions,lesson,A5,create,yes,1,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a5-2,/subjects/math/algebra/systems/graphical-solutions/,Graphical solutions,lesson,A5,create,yes,2,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a5-3,/subjects/math/algebra/systems/substitution/,Substitution,lesson,A5,create,yes,3,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a5-4,/subjects/math/algebra/systems/elimination/,Elimination,lesson,A5,create,yes,4,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a5-5,/subjects/math/algebra/systems/dependent-and-inconsistent-systems/,Dependent and inconsistent systems,lesson,A5,create,yes,5,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a5-6,/subjects/math/algebra/systems/applications-of-systems/,Applications of systems,lesson,A5,create,yes,6,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a5-7,/subjects/math/algebra/systems/systems-of-inequalities/,Systems of inequalities,lesson,A5,create,yes,7,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a5-8,/subjects/math/algebra/systems/systems-strategy-studio/,Systems strategy studio,lesson,A5,create,yes,8,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a5-review,/subjects/math/algebra/systems/review/,Systems and Simultaneous Constraints: cumulative review,review,A5,create,yes,,
algebra-a5-practice,/subjects/math/algebra/systems/practice/,Systems and Simultaneous Constraints: mixed practice,practice,A5,create,yes,,
algebra-a5-mastery,/subjects/math/algebra/systems/mastery-check/,Systems and Simultaneous Constraints: mastery check,mastery-check,A5,create,yes,,
algebra-a5-mastery-key,/subjects/math/algebra/systems/mastery-check/answer-key/,Systems and Simultaneous Constraints: mastery answer key,answer-key,A5,create,yes,,
algebra-a5-investigation,/subjects/math/algebra/systems/investigation/,Systems and Simultaneous Constraints: investigation,investigation,A5,create,yes,,
algebra-a6-hub,/subjects/math/algebra/exponents-roots/,"Unit A6: Exponents, Roots, and Power Structure",unit-hub,A6,create,yes,0,Unit route resolves before legacy topic routing when a collision exists; child guide routes remain valid.
algebra-a6-1,/subjects/math/algebra/exponents-roots/exponents-as-repeated-multiplication/,Exponents as repeated multiplication,lesson,A6,create,yes,1,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a6-2,/subjects/math/algebra/exponents-roots/negative-bases-and-grouping/,Negative bases and grouping,lesson,A6,create,yes,2,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a6-3,/subjects/math/algebra/exponents-roots/product-and-quotient-laws/,Product and quotient laws,lesson,A6,create,yes,3,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a6-4,/subjects/math/algebra/exponents-roots/power-of-a-power-product-and-quotient/,"Power of a power, product, and quotient",lesson,A6,create,yes,4,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a6-5,/subjects/math/algebra/exponents-roots/zero-and-negative-exponents/,Zero and negative exponents,lesson,A6,create,yes,5,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a6-6,/subjects/math/algebra/exponents-roots/scientific-notation/,Scientific notation,lesson,A6,create,yes,6,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a6-7,/subjects/math/algebra/exponents-roots/square-roots-and-nth-roots/,Square roots and nth roots,lesson,A6,create,yes,7,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a6-8,/subjects/math/algebra/exponents-roots/simple-power-and-root-equations/,Simple power and root equations,lesson,A6,create,yes,8,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a6-9,/subjects/math/algebra/exponents-roots/power-function-preview/,Power-function preview,lesson,A6,create,yes,9,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a6-review,/subjects/math/algebra/exponents-roots/review/,"Exponents, Roots, and Power Structure: cumulative review",review,A6,create,yes,,
algebra-a6-practice,/subjects/math/algebra/exponents-roots/practice/,"Exponents, Roots, and Power Structure: mixed practice",practice,A6,create,yes,,
algebra-a6-mastery,/subjects/math/algebra/exponents-roots/mastery-check/,"Exponents, Roots, and Power Structure: mastery check",mastery-check,A6,create,yes,,
algebra-a6-mastery-key,/subjects/math/algebra/exponents-roots/mastery-check/answer-key/,"Exponents, Roots, and Power Structure: mastery answer key",answer-key,A6,create,yes,,
algebra-a7-hub,/subjects/math/algebra/polynomial-operations/,Unit A7: Polynomial Operations and Special Products,unit-hub,A7,create,yes,0,Unit route resolves before legacy topic routing when a collision exists; child guide routes remain valid.
algebra-a7-1,/subjects/math/algebra/polynomial-operations/polynomial-vocabulary-and-evaluation/,Polynomial vocabulary and evaluation,lesson,A7,create,yes,1,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a7-2,/subjects/math/algebra/polynomial-operations/adding-and-subtracting-polynomials/,Adding and subtracting polynomials,lesson,A7,create,yes,2,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a7-3,/subjects/math/algebra/polynomial-operations/multiplying-monomials/,Multiplying monomials,lesson,A7,create,yes,3,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a7-4,/subjects/math/algebra/polynomial-operations/monomial-times-polynomial/,Monomial times polynomial,lesson,A7,create,yes,4,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a7-5,/subjects/math/algebra/polynomial-operations/polynomial-times-polynomial/,Polynomial times polynomial,lesson,A7,create,yes,5,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a7-6,/subjects/math/algebra/polynomial-operations/special-products/,Special products,lesson,A7,create,yes,6,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a7-7,/subjects/math/algebra/polynomial-operations/division-by-a-monomial/,Division by a monomial,lesson,A7,create,yes,7,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a7-8,/subjects/math/algebra/polynomial-operations/polynomial-long-division/,Polynomial long division,lesson,A7,create,yes,8,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a7-9,/subjects/math/algebra/polynomial-operations/polynomial-structure-clinic/,Polynomial structure clinic,lesson,A7,create,yes,9,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a7-review,/subjects/math/algebra/polynomial-operations/review/,Polynomial Operations and Special Products: cumulative review,review,A7,create,yes,,
algebra-a7-practice,/subjects/math/algebra/polynomial-operations/practice/,Polynomial Operations and Special Products: mixed practice,practice,A7,create,yes,,
algebra-a7-mastery,/subjects/math/algebra/polynomial-operations/mastery-check/,Polynomial Operations and Special Products: mastery check,mastery-check,A7,create,yes,,
algebra-a7-mastery-key,/subjects/math/algebra/polynomial-operations/mastery-check/answer-key/,Polynomial Operations and Special Products: mastery answer key,answer-key,A7,create,yes,,
algebra-a8-hub,/subjects/math/algebra/factoring-quadratics/,Unit A8: Factoring and Quadratic Equations,unit-hub,A8,create,yes,0,Unit route resolves before legacy topic routing when a collision exists; child guide routes remain valid.
algebra-a8-1,/subjects/math/algebra/factoring-quadratics/factoring-as-reverse-distribution-and-gcf/,Factoring as reverse distribution and GCF,lesson,A8,create,yes,1,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a8-2,/subjects/math/algebra/factoring-quadratics/factoring-by-grouping/,Factoring by grouping,lesson,A8,create,yes,2,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a8-3,/subjects/math/algebra/factoring-quadratics/factoring-x-2-bx-c/,Factoring x^2+bx+c,lesson,A8,create,yes,3,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a8-4,/subjects/math/algebra/factoring-quadratics/factoring-ax-2-bx-c/,Factoring ax^2+bx+c,lesson,A8,create,yes,4,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a8-5,/subjects/math/algebra/factoring-quadratics/special-factoring-patterns/,Special factoring patterns,lesson,A8,create,yes,5,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a8-6,/subjects/math/algebra/factoring-quadratics/general-factoring-strategy-and-irreducibility/,General factoring strategy and irreducibility,lesson,A8,create,yes,6,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a8-7,/subjects/math/algebra/factoring-quadratics/zero-product-property/,Zero-product property,lesson,A8,create,yes,7,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a8-8,/subjects/math/algebra/factoring-quadratics/solving-quadratics-by-factoring/,Solving quadratics by factoring,lesson,A8,create,yes,8,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a8-9,/subjects/math/algebra/factoring-quadratics/square-root-method/,Square-root method,lesson,A8,create,yes,9,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a8-10,/subjects/math/algebra/factoring-quadratics/completing-the-square-geometrically/,Completing the square geometrically,lesson,A8,create,yes,10,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a8-11,/subjects/math/algebra/factoring-quadratics/completing-the-square-algebraically/,Completing the square algebraically,lesson,A8,create,yes,11,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a8-12,/subjects/math/algebra/factoring-quadratics/quadratic-formula-and-discriminant/,Quadratic formula and discriminant,lesson,A8,create,yes,12,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a8-review,/subjects/math/algebra/factoring-quadratics/review/,Factoring and Quadratic Equations: cumulative review,review,A8,create,yes,,
algebra-a8-practice,/subjects/math/algebra/factoring-quadratics/practice/,Factoring and Quadratic Equations: mixed practice,practice,A8,create,yes,,
algebra-a8-mastery,/subjects/math/algebra/factoring-quadratics/mastery-check/,Factoring and Quadratic Equations: mastery check,mastery-check,A8,create,yes,,
algebra-a8-mastery-key,/subjects/math/algebra/factoring-quadratics/mastery-check/answer-key/,Factoring and Quadratic Equations: mastery answer key,answer-key,A8,create,yes,,
algebra-a8-investigation,/subjects/math/algebra/factoring-quadratics/investigation/,Factoring and Quadratic Equations: investigation,investigation,A8,create,yes,,
algebra-a9-hub,/subjects/math/algebra/quadratic-functions/,Unit A9: Quadratic Functions and Models,unit-hub,A9,create,yes,0,Unit route resolves before legacy topic routing when a collision exists; child guide routes remain valid.
algebra-a9-1,/subjects/math/algebra/quadratic-functions/quadratic-relations-and-three-useful-forms/,Quadratic relations and three useful forms,lesson,A9,create,yes,1,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a9-2,/subjects/math/algebra/quadratic-functions/graphing-parabolas/,Graphing parabolas,lesson,A9,create,yes,2,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a9-3,/subjects/math/algebra/quadratic-functions/factored-form-and-zeros/,Factored form and zeros,lesson,A9,create,yes,3,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a9-4,/subjects/math/algebra/quadratic-functions/vertex-form-and-transformations/,Vertex form and transformations,lesson,A9,create,yes,4,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a9-5,/subjects/math/algebra/quadratic-functions/moving-among-forms/,Moving among forms,lesson,A9,create,yes,5,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a9-6,/subjects/math/algebra/quadratic-functions/quadratic-models-and-extrema/,Quadratic models and extrema,lesson,A9,create,yes,6,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a9-7,/subjects/math/algebra/quadratic-functions/quadratic-inequalities/,Quadratic inequalities,lesson,A9,create,yes,7,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a9-8,/subjects/math/algebra/quadratic-functions/quadratic-regression-and-model-limitations/,Quadratic regression and model limitations,lesson,A9,create,yes,8,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a9-review,/subjects/math/algebra/quadratic-functions/review/,Quadratic Functions and Models: cumulative review,review,A9,create,yes,,
algebra-a9-practice,/subjects/math/algebra/quadratic-functions/practice/,Quadratic Functions and Models: mixed practice,practice,A9,create,yes,,
algebra-a9-mastery,/subjects/math/algebra/quadratic-functions/mastery-check/,Quadratic Functions and Models: mastery check,mastery-check,A9,create,yes,,
