lesson_id,unit,title,outcome
P3.3,P3,Composition from tables and graphs,Evaluate composite functions when one or both functions are represented numerically or graphically.
P3.4,P3,Domains of composite functions,Determine the domain of a composite by enforcing both inner-function and outer-input conditions.
P3.5,P3,One-to-one functions,Determine whether a function is one-to-one and explain why one-to-one behavior is required for an inverse function.
P3.6,P3,Constructing inverse functions,Construct an inverse function algebraically and state the swapped domain and range.
P3.7,P3,Graphs and verification of inverses,Verify inverse functions using composition and graph symmetry across y=x.
P3.8,P3,Domain restrictions and radical inverses,Restrict power functions to one-to-one branches and connect those branches to principal radical functions.
P3.9,P3,Model construction and validation,"Build a multi-stage function model, state its domain and assumptions, and evaluate whether an inverse interpretation is meaningful."
P4.1,P4,Power functions and dominant behavior,"Compare power functions f(x)=ax^p and explain how exponent and coefficient control domain, symmetry, end behavior, and growth."
P4.2,P4,"Polynomial functions, degree, and leading term","Identify degree, leading term, coefficients, and standard form, and explain why the leading term governs large-input behavior."
P4.3,P4,End behavior,"Determine polynomial end behavior from degree parity and leading coefficient and express it verbally, graphically, and with limit-style notation."
P4.4,P4,"Zeros, factors, and intercepts","Connect polynomial zeros, linear factors, solutions, and x-intercepts, and distinguish exact from approximate zeros."
P4.5,P4,Multiplicity and sign behavior,"Relate the multiplicity of a zero to sign changes, crossing or touching behavior, and local flattening."
P4.6,P4,Graph construction from structure,"Construct a polynomial graph from degree, leading coefficient, zeros, multiplicities, sign intervals, and selected points."
P4.7,P4,Turning points and local versus global behavior,"Use degree bounds, graph evidence, and function values to analyze turning points and extrema."
P4.8,P4,Intermediate Value reasoning and root bounds,Use polynomial continuity and sign changes to guarantee roots and bracket them within intervals.
P4.9,P4,Polynomial division,Divide polynomials using long and synthetic division and verify the division algorithm P=DQ+R.
P4.10,P4,Remainder and factor theorems,Use P(c) as the remainder on division by x-c and test whether x-c is a factor.
P4.11,P4,Rational-root candidates and root search,Generate all possible rational zeros of an integer-coefficient polynomial and organize an efficient exact-and-numerical search.
P4.12,P4,Complex zeros and the Fundamental Theorem of Algebra,"Count polynomial zeros over the complex numbers, use conjugate pairs for real coefficients, and build real polynomials from complex roots."
P4.13,P4,Building polynomial models and finding numerical roots,"Construct polynomial functions from conditions, fit vertical scale, and approximate roots that lack convenient exact forms."
P5.1,P5,Rational functions and their domains,Identify rational functions and determine all excluded inputs from the original denominator before simplifying.
P5.2,P5,"Equivalent formulas, different functions, and holes",Identify removable discontinuities caused by common factors and distinguish formula equivalence from function equality.
P5.3,P5,Vertical asymptotes and local behavior,Determine vertical asymptotes and describe one-sided behavior from factor signs and multiplicity.
P5.4,P5,Horizontal asymptotes and end behavior,Determine horizontal asymptotes from degree comparison and interpret them as long-run output behavior.
P5.5,P5,Slant and polynomial asymptotes,Use polynomial division to determine nonhorizontal asymptotes and describe the shrinking remainder term.
P5.6,P5,Intercepts and sign charts,Find rational intercepts and determine positive and negative intervals using factored sign structure.
P5.7,P5,Complete rational graph construction,"Construct a complete rational graph using domain, discontinuities, asymptotes, intercepts, signs, and selected values."
P5.8,P5,Rational equations and function intersections,Solve rational equations and intersections exactly or numerically while rejecting excluded candidates.
P5.9,P5,Rational inequalities,"Solve rational inequalities using critical values, sign intervals, and correct endpoint inclusion."
P5.10,P5,Variation and rational models,"Build and interpret direct, inverse, joint, and combined variation models with meaningful parameters and domains."
P5.11,P5,Partial-fraction structure,Decompose proper rational functions with factorable denominators into simpler component fractions and verify recombination.
P6.1,P6,Additive versus multiplicative change,"Distinguish linear, exponential, and neither patterns by comparing equal-input differences, ratios, and percent changes."
P6.2,P6,Exponential functions and parameters,"Analyze f(x)=ab^x by interpreting initial value, base, multiplier, percent rate, domain, range, and asymptote."
P6.3,P6,Exponential transformations,"Analyze transformed exponential functions and track asymptotes, domain, range, and feature points."
P6.4,P6,Growth and decay models,"Construct exponential models from an initial value, rate, multiplier, two points, or a known doubling or half-life."
P6.5,P6,Compound interest and effective rate,"Use periodic compounding models and compare nominal rates, periodic rates, compounding frequency, and effective annual yield."
P6.6,P6,Continuous growth and the number e,Use A(t)=A0e^(kt) for continuous proportional change and interpret the continuous rate parameter k.
P6.7,P6,Exponential regression and residuals,"Fit an exponential model to data, interpret parameters, inspect residuals, and evaluate interpolation and extrapolation."
P6.8,P6,Logistic and bounded growth,"Analyze logistic growth qualitatively and interpret initial value, carrying capacity, growth rate, and inflection behavior."
P6.9,P6,Logarithms as inverse functions,"Define log base b as the inverse of b^x, convert between forms, and interpret logarithms as exponents."
P6.10,P6,Logarithmic graphs and transformations,"Analyze transformed logarithmic functions, including domain, range, vertical asymptote, intercepts, and base-dependent direction."
P6.11,P6,Logarithm laws,"Derive and apply product, quotient, and power laws while preserving positive-argument domains."
P6.12,P6,Solving exponential equations,"Solve exponential equations using common bases, logarithms, and numerical methods, and interpret exact and approximate answers."
P6.13,P6,Solving logarithmic equations and interpreting inverse models,"Solve logarithmic equations, reject invalid arguments, and use logarithms to analyze doubling time, half-life, and logarithmic scales."
P7.1,P7,Systems as intersections and models,Interpret a system solution as an input-output point satisfying every equation and solve two-variable systems graphically and algebraically.
P7.2,P7,Nonlinear systems,"Solve systems involving lines, quadratics, circles, rational, exponential, or other nonlinear functions and interpret all real intersections."
P7.3,P7,Systems of inequalities and feasible regions,"Graph simultaneous inequalities, identify feasible regions, and interpret boundaries and vertices."
P7.4,P7,Systems in three variables,Solve and classify three-variable linear systems and interpret their solutions as intersections of planes.
P7.5,P7,Matrix notation and operations,"Represent rectangular arrays with matrices and perform dimension-compatible addition, scalar multiplication, and matrix multiplication."
P7.6,P7,Augmented matrices and row operations,Translate linear systems into augmented matrices and justify elementary row operations as equivalent-system transformations.
P7.7,P7,Gaussian elimination and echelon form,Use forward elimination to reach row-echelon form and solve by back-substitution.
P7.8,P7,Gauss-Jordan elimination and reduced row-echelon form,"Reduce matrices to RREF and interpret pivots, free variables, rank, and consistency directly."
P7.9,P7,"Determinants, singularity, and inverse matrices","Compute and interpret determinants, identify singular matrices, and solve suitable systems with inverse matrices."
P7.10,P7,Linear transformations and multivariable modeling,"Interpret matrices as transformations of vectors and construct a complete multivariable model using equations, inequalities, and matrices."
