exercise_id,lesson_id,unit,sequence,prompt,answer
P0.4-E09,P0.4,P0,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P0.4-E10,P0.4,P0,10,State how this lesson connects forward.,"The next lesson, Radicals and rational exponents repair, uses this result as part of a larger structure."
P0.5-E01,P0.5,P0,1,Simplify sqrt(48).,4sqrt(3).
P0.5-E02,P0.5,P0,2,Evaluate 16^(3/4).,8.
P0.5-E03,P0.5,P0,3,State domain of sqrt(3-x).,x≤3.
P0.5-E04,P0.5,P0,4,Simplify sqrt(x^2).,|x|.
P0.5-E05,P0.5,P0,5,State the defining idea of radicals and rational exponents repair in one precise sentence.,"Even roots require nonnegative radicands and the principal square root is nonnegative, so sqrt(x^2)=|x|."
P0.5-E06,P0.5,P0,6,State the condition that must be checked before using the method.,Negative rational exponents also require a nonzero base. Squaring is not reversible without sign and domain checks.
P0.5-E07,P0.5,P0,7,Describe the first invalid step in the common error.,A frequent error is replacing sqrt(x^2) with x for negative inputs or omitting the final check.
P0.5-E08,P0.5,P0,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P0.5-E09,P0.5,P0,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P0.5-E10,P0.5,P0,10,State how this lesson connects forward.,"The next lesson, Exponential and logarithmic algebra repair, uses this result as part of a larger structure."
P0.6-E01,P0.6,P0,1,Simplify x^5/x^2.,"x^3, x≠0."
P0.6-E02,P0.6,P0,2,Evaluate log_5(125).,3.
P0.6-E03,P0.6,P0,3,Expand log_b(xy^2).,log_b x+2log_b y.
P0.6-E04,P0.6,P0,4,Solve 3^x=81.,x=4.
P0.6-E05,P0.6,P0,5,State the defining idea of exponential and logarithmic algebra repair in one precise sentence.,"Exponent laws describe repeated multiplication, while logarithms reverse exponentiation."
P0.6-E06,P0.6,P0,6,State the condition that must be checked before using the method.,"Real logarithm arguments must be positive, and bases must be positive and unequal to 1."
P0.6-E07,P0.6,P0,7,Describe the first invalid step in the common error.,"A frequent error is applying a product law to a sum, such as log(a+b)=log a+log b."
P0.6-E08,P0.6,P0,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P0.6-E09,P0.6,P0,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P0.6-E10,P0.6,P0,10,State how this lesson connects forward.,"The next lesson, Function notation and graph reading repair, uses this result as part of a larger structure."
P0.7-E01,P0.7,P0,1,"If f(x)=3x-1, find f(4).",11.
P0.7-E02,P0.7,P0,2,State range with minimum -2 and no upper bound.,"[-2,∞)."
P0.7-E03,P0.7,P0,3,"Meaning of an open circle at (3,5).",The point is excluded.
P0.7-E04,P0.7,P0,4,Graph meaning of f(x)=0.,The x-intercepts.
P0.7-E05,P0.7,P0,5,State the defining idea of function notation and graph reading repair in one precise sentence.,"Function notation f(a) asks for one output, while f(x)=k asks for every input that produces the output k."
P0.7-E06,P0.7,P0,6,State the condition that must be checked before using the method.,"Open circles exclude points, arrows indicate continuation, and intervals of increase or decrease are reported with input values."
P0.7-E07,P0.7,P0,7,Describe the first invalid step in the common error.,A frequent error is reading f(3) as multiplication or reporting output values where input intervals are required.
P0.7-E08,P0.7,P0,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P0.7-E09,P0.7,P0,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P0.7-E10,P0.7,P0,10,State how this lesson connects forward.,"The next lesson, Mixed readiness synthesis, uses this result as part of a larger structure."
P0.8-E01,P0.8,P0,1,Factor x^3-9x.,x(x-3)(x+3).
P0.8-E02,P0.8,P0,2,Average rate of x^2 from 1 to 4.,5.
P0.8-E03,P0.8,P0,3,What does a polynomial sign change guarantee?,At least one zero in the interval.
P0.8-E04,P0.8,P0,4,One valid use of graphing technology.,Bracket or approximate a root on a stated interval.
P0.8-E05,P0.8,P0,5,State the defining idea of mixed readiness synthesis in one precise sentence.,"A complete solution identifies the mathematical object, states restrictions, selects a method, carries out the work, and interprets the result."
P0.8-E06,P0.8,P0,6,State the condition that must be checked before using the method.,"A correct calculation can still be an invalid model conclusion when units, domain, or assumptions are ignored."
P0.8-E07,P0.8,P0,7,Describe the first invalid step in the common error.,A frequent error is reporting a calculator output without explaining why the method applies or what the number means.
P0.8-E08,P0.8,P0,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P0.8-E09,P0.8,P0,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P0.8-E10,P0.8,P0,10,State how this lesson connects forward.,"The next lesson, Quantities, variables, and dependency, uses this result as part of a larger structure."
P1.1-E01,P1.1,P1,1,Write cost for $9 plus $2 per movie.,C(m)=9+2m.
P1.1-E02,P1.1,P1,2,Units of 60 in d(t)=60t miles.,Miles per hour.
P1.1-E03,P1.1,P1,3,Perimeter with width 5 and length L.,2L+10.
P1.1-E04,P1.1,P1,4,Horizontal axis for cost as function of hours.,Hours.
P1.1-E05,P1.1,P1,5,"State the defining idea of quantities, variables, and dependency in one precise sentence.","An input is supplied to a relationship, an output is determined by it, and parameters remain fixed for one selected model."
P1.1-E06,P1.1,P1,6,State the condition that must be checked before using the method.,"The same symbol can play different roles in different models; the context determines whether it is input, output, or parameter."
P1.1-E07,P1.1,P1,7,Describe the first invalid step in the common error.,A frequent error is manipulating symbols before defining what they measure.
P1.1-E08,P1.1,P1,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P1.1-E09,P1.1,P1,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P1.1-E10,P1.1,P1,10,State how this lesson connects forward.,"The next lesson, Relations and functions, uses this result as part of a larger structure."
P1.2-E01,P1.2,P1,1,"Is (1,2),(2,3),(1,4) a function?",No.
P1.2-E02,P1.2,P1,2,Is y=x^2 a function of x?,Yes.
P1.2-E03,P1.2,P1,3,Give a function not one-to-one.,For example y=x^2.
P1.2-E04,P1.2,P1,4,Why does a vertical line fail as a function of x?,One input has many outputs.
P1.2-E05,P1.2,P1,5,State the defining idea of relations and functions in one precise sentence.,A relation is a function when every allowed input has exactly one output. Several inputs may share an output.
P1.2-E06,P1.2,P1,6,State the condition that must be checked before using the method.,The function condition applies only to inputs in the domain. One-to-one behavior is a separate stronger property.
P1.2-E07,P1.2,P1,7,Describe the first invalid step in the common error.,A frequent error is rejecting a many-to-one function because an output repeats.
P1.2-E08,P1.2,P1,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P1.2-E09,P1.2,P1,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P1.2-E10,P1.2,P1,10,State how this lesson connects forward.,"The next lesson, Function notation, evaluation, and solving, uses this result as part of a larger structure."
P1.3-E01,P1.3,P1,1,"For f(x)=4x-7, find f(5).",13.
P1.3-E02,P1.3,P1,2,"For g(x)=x^2+1, find g(-3).",10.
P1.3-E03,P1.3,P1,3,"For f(x)=x^2, solve f(x)=16.",x=±4.
P1.3-E04,P1.3,P1,4,How solve f(x)=0 from a graph?,Find x-intercepts.
P1.3-E05,P1.3,P1,5,"State the defining idea of function notation, evaluation, and solving in one precise sentence.",The notation f(x) names the output of function f at input x; it is not multiplication.
P1.3-E06,P1.3,P1,6,State the condition that must be checked before using the method.,"A function produces at most one output for an allowed input, but a fixed output may have several inputs."
P1.3-E07,P1.3,P1,7,Describe the first invalid step in the common error.,A frequent error is confusing f(a) with the equation f(x)=a.
P1.3-E08,P1.3,P1,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P1.3-E09,P1.3,P1,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P1.3-E10,P1.3,P1,10,State how this lesson connects forward.,"The next lesson, Words, tables, graphs, and formulas, uses this result as part of a larger structure."
P1.4-E01,P1.4,P1,1,"Table f=2x+1 at -1,0,1,2.","-1,1,3,5."
P1.4-E02,P1.4,P1,2,Cost $25 plus $8 per person.,C(p)=25+8p.
P1.4-E03,P1.4,P1,3,Best form for exact f(37).,Formula.
P1.4-E04,P1.4,P1,4,Best form for turning points.,Graph.
P1.4-E05,P1.4,P1,5,"State the defining idea of words, tables, graphs, and formulas in one precise sentence.","Words define quantities and assumptions, tables show selected pairs, graphs reveal global behavior, and formulas support exact calculation."
P1.4-E06,P1.4,P1,6,State the condition that must be checked before using the method.,"Connecting data points claims that intermediate inputs are meaningful, and fitting a formula does not make it an exact law."
P1.4-E07,P1.4,P1,7,Describe the first invalid step in the common error.,A frequent error is inventing continuity or a unique formula from a small table.
P1.4-E08,P1.4,P1,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P1.4-E09,P1.4,P1,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P1.4-E10,P1.4,P1,10,State how this lesson connects forward.,"The next lesson, Domain from formulas, uses this result as part of a larger structure."
P1.5-E01,P1.5,P1,1,Domain of 1/(x+4).,x≠-4.
P1.5-E02,P1.5,P1,2,Domain of sqrt(2-x).,x≤2.
P1.5-E03,P1.5,P1,3,Domain of ln(x+3).,x>-3.
P1.5-E04,P1.5,P1,4,Domain of sqrt(x^2-9).,x≤-3 or x≥3.
P1.5-E05,P1.5,P1,5,State the defining idea of domain from formulas in one precise sentence.,"The real domain is the intersection of every input condition imposed by denominators, even roots, logarithms, and nested functions."
P1.5-E06,P1.5,P1,6,State the condition that must be checked before using the method.,"A square root in a denominator requires a strictly positive radicand, while an ordinary square root allows zero."
P1.5-E07,P1.5,P1,7,Describe the first invalid step in the common error.,A frequent error is checking only one restriction or using the simplified formula's larger domain.
P1.5-E08,P1.5,P1,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P1.5-E09,P1.5,P1,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P1.5-E10,P1.5,P1,10,State how this lesson connects forward.,"The next lesson, Domain from context, uses this result as part of a larger structure."
P1.6-E01,P1.6,P1,1,Physical domain of side length s.,s≥0.
P1.6-E02,P1.6,P1,2,Domain of 32-seat class size.,Integers 0 through 32.
P1.6-E03,P1.6,P1,3,Classify household size.,Discrete.
P1.6-E04,P1.6,P1,4,Define interpolation.,Prediction within observed inputs.
P1.6-E05,P1.6,P1,5,State the defining idea of domain from context in one precise sentence.,The algebraic domain states where a formula is defined; the contextual domain states where its inputs are meaningful for the model.
P1.6-E06,P1.6,P1,6,State the condition that must be checked before using the method.,Extrapolation outside observed inputs is an additional assumption even when the formula continues.
P1.6-E07,P1.6,P1,7,Describe the first invalid step in the common error.,"A frequent error is reporting all real numbers for a model involving time, length, population, or counts."
P1.6-E08,P1.6,P1,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P1.6-E09,P1.6,P1,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P1.6-E10,P1.6,P1,10,State how this lesson connects forward.,"The next lesson, Range and global graph behavior, uses this result as part of a larger structure."
P1.7-E01,P1.7,P1,1,"Range greater than 4, not equal.","(4,∞)."
P1.7-E02,P1.7,P1,2,Maximum y-intercepts for a function.,One.
P1.7-E03,P1.7,P1,3,Point for f(2)=0.,"(2,0)."
P1.7-E04,P1.7,P1,4,Meaning bounded above.,Outputs do not exceed some fixed bound.
P1.7-E05,P1.7,P1,5,State the defining idea of range and global graph behavior in one precise sentence.,"A graph reveals range, intercepts, extrema, boundedness, symmetry, and intervals of change."
P1.7-E06,P1.7,P1,6,State the condition that must be checked before using the method.,"Open endpoints, arrows, asymptotes, and missing points affect whether boundary values belong to the range."
P1.7-E07,P1.7,P1,7,Describe the first invalid step in the common error.,A frequent error is writing outputs as intervals of increase or calling every local peak an absolute maximum.
P1.7-E08,P1.7,P1,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P1.7-E09,P1.7,P1,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P1.7-E10,P1.7,P1,10,State how this lesson connects forward.,"The next lesson, Piecewise-defined functions, uses this result as part of a larger structure."
P1.8-E01,P1.8,P1,1,Write |x| piecewise.,-x for x<0; x for x≥0.
P1.8-E02,P1.8,P1,2,Meaning of overlapping intervals.,The definition may assign two outputs.
P1.8-E03,P1.8,P1,3,Meaning of omitted boundary.,The function is undefined there.
P1.8-E04,P1.8,P1,4,Line style for excluded endpoint.,Open point.
P1.8-E05,P1.8,P1,5,State the defining idea of piecewise-defined functions in one precise sentence.,A piecewise function uses different rules on nonoverlapping parts of one domain.
P1.8-E06,P1.8,P1,6,State the condition that must be checked before using the method.,"At a boundary, continuity requires both one-sided behaviors and the defined value to agree."
P1.8-E07,P1.8,P1,7,Describe the first invalid step in the common error.,A frequent error is evaluating every formula or including both boundary points.
P1.8-E08,P1.8,P1,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P1.8-E09,P1.8,P1,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P1.8-E10,P1.8,P1,10,State how this lesson connects forward.,"The next lesson, Average rate of change, uses this result as part of a larger structure."
P1.9-E01,P1.9,P1,1,Average rate of 2x+5 from 1 to 7.,2.
P1.9-E02,P1.9,P1,2,Average rate of x^2-3x from 2 to 5.,4.
P1.9-E03,P1.9,P1,3,Why a≠b?,The denominator cannot be zero.
P1.9-E04,P1.9,P1,4,Graph meaning.,Slope of the secant line.
P1.9-E05,P1.9,P1,5,State the defining idea of average rate of change in one precise sentence.,"Average rate of change from a to b is [f(b)-f(a)]/(b-a), the slope of the secant line through the endpoint values."
P1.9-E06,P1.9,P1,6,State the condition that must be checked before using the method.,"The inputs must be distinct, and the rate summarizes the interval rather than every interior moment."
P1.9-E07,P1.9,P1,7,Describe the first invalid step in the common error.,A frequent error is reversing only one difference or omitting units.
P1.9-E08,P1.9,P1,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P1.9-E09,P1.9,P1,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P1.9-E10,P1.9,P1,10,State how this lesson connects forward.,"The next lesson, Function representation and modeling studio, uses this result as part of a larger structure."
P1.10-E01,P1.10,P1,1,Define residual.,Observed minus predicted.
P1.10-E02,P1.10,P1,2,Why inspect residual patterns?,They reveal systematic model failure.
P1.10-E03,P1.10,P1,3,Give interpolation example.,Estimate within observed range.
P1.10-E04,P1.10,P1,4,Give extrapolation example.,Predict beyond observed range.
P1.10-E05,P1.10,P1,5,State the defining idea of function representation and modeling studio in one precise sentence.,A model is a deliberately simplified function used to answer a question; it is not the real system itself.
P1.10-E06,P1.10,P1,6,State the condition that must be checked before using the method.,"Interpolation and extrapolation must be distinguished, and causation requires evidence beyond correlation."
P1.10-E07,P1.10,P1,7,Describe the first invalid step in the common error.,A frequent error is choosing the smoothest graph or highest fit statistic without checking meaning.
P1.10-E08,P1.10,P1,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P1.10-E09,P1.10,P1,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P1.10-E10,P1.10,P1,10,State how this lesson connects forward.,"The next lesson, Parent-function atlas, uses this result as part of a larger structure."
P2.1-E01,P2.1,P2,1,Domain/range of x^2.,"All reals; [0,∞)."
P2.1-E02,P2.1,P2,2,Parent with sharp corner.,Absolute value.
P2.1-E03,P2.1,P2,3,Quadratic table pattern.,Constant second differences.
P2.1-E04,P2.1,P2,4,Exponential table pattern.,Constant ratios.
P2.1-E05,P2.1,P2,5,State the defining idea of parent-function atlas in one precise sentence.,"A parent function is a convenient reference member identified by domain, range, symmetry, endpoints, asymptotes, and rate patterns."
P2.1-E06,P2.1,P2,6,State the condition that must be checked before using the method.,"A graph window can hide asymptotes or end behavior, so classification should use more than silhouette."
P2.1-E07,P2.1,P2,7,Describe the first invalid step in the common error.,A frequent error is naming a family from appearance without checking restrictions.
P2.1-E08,P2.1,P2,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P2.1-E09,P2.1,P2,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P2.1-E10,P2.1,P2,10,State how this lesson connects forward.,"The next lesson, Coordinate mappings and transformation logic, uses this result as part of a larger structure."
P2.2-E01,P2.2,P2,1,"Map (1,4) under f(x)+3.","(1,7)."
P2.2-E02,P2.2,P2,2,Map under f(x-2).,"(3,4)."
P2.2-E03,P2.2,P2,3,Map under -f(x).,"(1,-4)."
P2.2-E04,P2.2,P2,4,Map under f(-x).,"(-1,4)."
P2.2-E05,P2.2,P2,5,State the defining idea of coordinate mappings and transformation logic in one precise sentence.,"A graph transformation is a coordinate map from a point (u,v) on the parent to a point on the transformed graph."
P2.2-E06,P2.2,P2,6,State the condition that must be checked before using the method.,"For a f(b(x-h))+k, the map is (u,v) to (h+u/b,av+k)."
P2.2-E07,P2.2,P2,7,Describe the first invalid step in the common error.,A frequent error is applying an inside parameter directly instead of using its reciprocal on x-coordinates.
P2.2-E08,P2.2,P2,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P2.2-E09,P2.2,P2,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P2.2-E10,P2.2,P2,10,State how this lesson connects forward.,"The next lesson, Vertical translations, uses this result as part of a larger structure."
P2.3-E01,P2.3,P2,1,Vertex of |x|+6.,"(0,6)."
P2.3-E02,P2.3,P2,2,Range of sqrt(x)-2.,"[-2,∞)."
P2.3-E03,P2.3,P2,3,HA of 5^x+7.,y=7.
P2.3-E04,P2.3,P2,4,"Map (-2,5) under f(x)-8.","(-2,-3)."
P2.3-E05,P2.3,P2,5,State the defining idea of vertical translations in one precise sentence.,Adding k outside a function changes every output by k and moves the graph vertically.
P2.3-E06,P2.3,P2,6,State the condition that must be checked before using the method.,The domain and input locations of extrema remain unchanged.
P2.3-E07,P2.3,P2,7,Describe the first invalid step in the common error.,A frequent error is moving x-coordinates or assuming x-intercepts simply shift vertically.
P2.3-E08,P2.3,P2,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P2.3-E09,P2.3,P2,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P2.3-E10,P2.3,P2,10,State how this lesson connects forward.,"The next lesson, Horizontal translations, uses this result as part of a larger structure."
P2.4-E01,P2.4,P2,1,Endpoint of sqrt(x+5).,"(-5,0)."
P2.4-E02,P2.4,P2,2,Vertex of (x-7)^2.,"(7,0)."
P2.4-E03,P2.4,P2,3,"Move (-2,4] right 3.","(1,7]."
P2.4-E04,P2.4,P2,4,"Map (5,-2) under f(x+3).","(2,-2)."
P2.4-E05,P2.4,P2,5,State the defining idea of horizontal translations in one precise sentence.,Replacing x by x-h relocates every input feature h units to the right.
P2.4-E06,P2.4,P2,6,State the condition that must be checked before using the method.,The range remains unchanged because the same outputs occur at new inputs.
P2.4-E07,P2.4,P2,7,Describe the first invalid step in the common error.,A frequent error is reading the inside sign literally without solving for the old input.
P2.4-E08,P2.4,P2,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P2.4-E09,P2.4,P2,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P2.4-E10,P2.4,P2,10,State how this lesson connects forward.,"The next lesson, Reflections and symmetry, uses this result as part of a larger structure."
P2.5-E01,P2.5,P2,1,Reflect x^2 across x-axis.,-x^2.
P2.5-E02,P2.5,P2,2,Reflect sqrt(x) across y-axis.,sqrt(-x).
P2.5-E03,P2.5,P2,3,"Map (3,-5) across x-axis.","(3,5)."
P2.5-E04,P2.5,P2,4,Classify x^2+x.,Neither.
P2.5-E05,P2.5,P2,5,State the defining idea of reflections and symmetry in one precise sentence.,The graph of -f(x) reflects across the x-axis; f(-x) reflects across the y-axis.
P2.5-E06,P2.5,P2,6,State the condition that must be checked before using the method.,Symmetry claims require a domain symmetric about zero.
P2.5-E07,P2.5,P2,7,Describe the first invalid step in the common error.,A frequent error is confusing -f(x) with f(-x).
P2.5-E08,P2.5,P2,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P2.5-E09,P2.5,P2,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P2.5-E10,P2.5,P2,10,State how this lesson connects forward.,"The next lesson, Vertical and horizontal scaling, uses this result as part of a larger structure."
P2.6-E01,P2.6,P2,1,Describe 5|x|.,Vertical stretch 5.
P2.6-E02,P2.6,P2,2,Describe f(x/3).,Horizontal stretch 3.
P2.6-E03,P2.6,P2,3,"Map (8,-1) under f(4x).","(2,-1)."
P2.6-E04,P2.6,P2,4,"Range [1,4] under -2f.","[-8,-2]."
P2.6-E05,P2.6,P2,5,State the defining idea of vertical and horizontal scaling in one precise sentence.,Multiplying outputs scales vertically; replacing x by cx divides horizontal coordinates by c.
