visual_id,lesson_id,unit,role,title
P2.9-V1,P2.9,P2,Anchor figure,Pointwise multiplication
P2.9-V2,P2.9,P2,Mechanism figure,Zero-set union
P2.9-V3,P2.9,P2,Comparison and error figure,Hole-asymptote preview
P2.10-V1,P2.10,P2,Anchor figure,Feature-to-form map
P2.10-V2,P2.10,P2,Mechanism figure,Parameter recovery
P2.10-V3,P2.10,P2,Comparison and error figure,Competing formulas
P3.1-V1,P3.1,P3,Anchor figure,Two-stage machine
P3.1-V2,P3.1,P3,Mechanism figure,Order comparison
P3.1-V3,P3.1,P3,Comparison and error figure,Unit compatibility
P3.2-V1,P3.2,P3,Anchor figure,Substitution slots
P3.2-V2,P3.2,P3,Mechanism figure,Expression trees
P3.2-V3,P3.2,P3,Comparison and error figure,Outer restriction preimage
P3.3-V1,P3.3,P3,Anchor figure,Table lookup chain
P3.3-V2,P3.3,P3,Mechanism figure,Graph-to-graph trace
P3.3-V3,P3.3,P3,Comparison and error figure,Undefined versus insufficient data
P3.4-V1,P3.4,P3,Anchor figure,Composite-domain pipeline
P3.4-V2,P3.4,P3,Mechanism figure,Preimage of forbidden value
P3.4-V3,P3.4,P3,Comparison and error figure,Hidden restriction
P3.5-V1,P3.5,P3,Anchor figure,Horizontal-line test
P3.5-V2,P3.5,P3,Mechanism figure,Reverse mapping failure
P3.5-V3,P3.5,P3,Comparison and error figure,Quadratic branch restrictions
P3.6-V1,P3.6,P3,Anchor figure,Coordinate reversal
P3.6-V2,P3.6,P3,Mechanism figure,Algebraic inversion
P3.6-V3,P3.6,P3,Comparison and error figure,Inverse versus reciprocal
P3.7-V1,P3.7,P3,Anchor figure,Inverse reflection
P3.7-V2,P3.7,P3,Mechanism figure,Composition loop
P3.7-V3,P3.7,P3,Comparison and error figure,Domain-range swap
P3.8-V1,P3.8,P3,Anchor figure,Principal root versus equation roots
P3.8-V2,P3.8,P3,Mechanism figure,Radical-exponent equivalence
P3.8-V3,P3.8,P3,Comparison and error figure,Extraneous-solution map
P3.9-V1,P3.9,P3,Anchor figure,Modeling cycle
P3.9-V2,P3.9,P3,Mechanism figure,Competing extrapolations
P3.9-V3,P3.9,P3,Comparison and error figure,Residual plot
P4.1-V1,P4.1,P4,Anchor figure,Power-family grid
P4.1-V2,P4.1,P4,Mechanism figure,Large-input comparison
P4.1-V3,P4.1,P4,Comparison and error figure,Exponent classification tree
P4.2-V1,P4.2,P4,Anchor figure,Polynomial anatomy
P4.2-V2,P4.2,P4,Mechanism figure,Leading-term ratio
P4.2-V3,P4.2,P4,Comparison and error figure,Local versus long-range view
P4.3-V1,P4.3,P4,Anchor figure,Four end families
P4.3-V2,P4.3,P4,Mechanism figure,Factored degree inventory
P4.3-V3,P4.3,P4,Comparison and error figure,Plausible graph filter
P4.4-V1,P4.4,P4,Anchor figure,Zero-factor-intercept triangle
P4.4-V2,P4.4,P4,Mechanism figure,Exact versus approximate roots
P4.4-V3,P4.4,P4,Comparison and error figure,Window caution
P4.5-V1,P4.5,P4,Anchor figure,Multiplicity gallery
P4.5-V2,P4.5,P4,Mechanism figure,Factor sign table
P4.5-V3,P4.5,P4,Comparison and error figure,Degree accounting
P4.6-V1,P4.6,P4,Anchor figure,Polynomial graphing workflow
P4.6-V2,P4.6,P4,Mechanism figure,Aligned sign chart
P4.6-V3,P4.6,P4,Comparison and error figure,Valid versus impossible sketch
P4.7-V1,P4.7,P4,Anchor figure,Turning-point gallery
P4.7-V2,P4.7,P4,Mechanism figure,Local versus absolute extrema
P4.7-V3,P4.7,P4,Comparison and error figure,Turn versus intercept
P4.8-V1,P4.8,P4,Anchor figure,Continuity crossing
P4.8-V2,P4.8,P4,Mechanism figure,Bisection tree
P4.8-V3,P4.8,P4,Comparison and error figure,Same-sign counterexamples
P4.9-V1,P4.9,P4,Anchor figure,Long-division layout
P4.9-V2,P4.9,P4,Mechanism figure,Synthetic correspondence
P4.9-V3,P4.9,P4,Comparison and error figure,P=DQ+R identity
P4.10-V1,P4.10,P4,Anchor figure,Remainder theorem substitution
P4.10-V2,P4.10,P4,Mechanism figure,Factor-test loop
P4.10-V3,P4.10,P4,Comparison and error figure,Multiplicity by repeated division
P4.11-V1,P4.11,P4,Anchor figure,Rational-root lattice
P4.11-V2,P4.11,P4,Mechanism figure,Candidate workflow
P4.11-V3,P4.11,P4,Comparison and error figure,Candidate versus root
P4.12-V1,P4.12,P4,Anchor figure,Complex-root inventory
P4.12-V2,P4.12,P4,Mechanism figure,Conjugate reflection
P4.12-V3,P4.12,P4,Comparison and error figure,Conjugate factor multiplication
P4.13-V1,P4.13,P4,Anchor figure,Condition-to-factor builder
P4.13-V2,P4.13,P4,Mechanism figure,Numerical root refinement
P4.13-V3,P4.13,P4,Comparison and error figure,Even-root warning
P5.1-V1,P5.1,P5,Anchor figure,Numerator-denominator role map
P5.1-V2,P5.1,P5,Mechanism figure,Domain intervals
P5.1-V3,P5.1,P5,Comparison and error figure,No-real-zero denominator
P5.2-V1,P5.2,P5,Anchor figure,Cancellation with domain memory
P5.2-V2,P5.2,P5,Mechanism figure,Hole coordinate construction
P5.2-V3,P5.2,P5,Comparison and error figure,Equal expressions versus functions
P5.3-V1,P5.3,P5,Anchor figure,One-sided arrows
P5.3-V2,P5.3,P5,Mechanism figure,Multiplicity comparison
P5.3-V3,P5.3,P5,Comparison and error figure,Local sign ledger
P5.4-V1,P5.4,P5,Anchor figure,Degree comparison chart
P5.4-V2,P5.4,P5,Mechanism figure,Leading-term quotient
P5.4-V3,P5.4,P5,Comparison and error figure,Asymptote crossing
P5.5-V1,P5.5,P5,Anchor figure,Division decomposition
P5.5-V2,P5.5,P5,Mechanism figure,Slant approach
P5.5-V3,P5.5,P5,Comparison and error figure,Polynomial asymptote
P5.6-V1,P5.6,P5,Anchor figure,Rational sign chart
P5.6-V2,P5.6,P5,Mechanism figure,Intercept versus hole
P5.6-V3,P5.6,P5,Comparison and error figure,Multiplicity at rational zero
P5.7-V1,P5.7,P5,Anchor figure,Complete checklist
P5.7-V2,P5.7,P5,Mechanism figure,Branch assembly
P5.7-V3,P5.7,P5,Comparison and error figure,Window failure comparison
P5.8-V1,P5.8,P5,Anchor figure,Intersection equation
P5.8-V2,P5.8,P5,Mechanism figure,Candidate filter
P5.8-V3,P5.8,P5,Comparison and error figure,Exact-numerical method tree
P5.9-V1,P5.9,P5,Anchor figure,Inequality sign chart
P5.9-V2,P5.9,P5,Mechanism figure,Endpoint rules
P5.9-V3,P5.9,P5,Comparison and error figure,Function comparison
P5.10-V1,P5.10,P5,Anchor figure,Variation relationship map
P5.10-V2,P5.10,P5,Mechanism figure,Positive-domain inverse model
P5.10-V3,P5.10,P5,Comparison and error figure,Units of k
P5.11-V1,P5.11,P5,Anchor figure,Denominator-component map
P5.11-V2,P5.11,P5,Mechanism figure,Strategic substitution
P5.11-V3,P5.11,P5,Comparison and error figure,Recombination check
P6.1-V1,P6.1,P6,Anchor figure,Difference-ratio comparison
P6.1-V2,P6.1,P6,Mechanism figure,Additive-multiplicative timelines
P6.1-V3,P6.1,P6,Comparison and error figure,"Early similarity, late divergence"
P6.2-V1,P6.2,P6,Anchor figure,Exponential parameter dashboard
P6.2-V2,P6.2,P6,Mechanism figure,One-step multiplier proof
P6.2-V3,P6.2,P6,Comparison and error figure,Growth-decay family
P6.3-V1,P6.3,P6,Anchor figure,Transformed anchors
P6.3-V2,P6.3,P6,Mechanism figure,Range orientation
P6.3-V3,P6.3,P6,Comparison and error figure,Effective-base rewrite
P6.4-V1,P6.4,P6,Anchor figure,Model-form selector
P6.4-V2,P6.4,P6,Mechanism figure,Doubling-half-life timelines
P6.4-V3,P6.4,P6,Comparison and error figure,Model-domain warning
P6.5-V1,P6.5,P6,Anchor figure,Compounding timeline
P6.5-V2,P6.5,P6,Mechanism figure,Nominal versus effective rate
P6.5-V3,P6.5,P6,Comparison and error figure,Frequency convergence
P6.6-V1,P6.6,P6,Anchor figure,Compounding limit to e
P6.6-V2,P6.6,P6,Mechanism figure,Continuous parameter dashboard
P6.6-V3,P6.6,P6,Comparison and error figure,Periodic versus continuous
P6.7-V1,P6.7,P6,Anchor figure,Regression fit
P6.7-V2,P6.7,P6,Mechanism figure,Residual pattern gallery
P6.7-V3,P6.7,P6,Comparison and error figure,Extrapolation divergence
P6.8-V1,P6.8,P6,Anchor figure,Exponential versus logistic
P6.8-V2,P6.8,P6,Mechanism figure,Logistic anatomy
P6.8-V3,P6.8,P6,Comparison and error figure,Incomplete-data ambiguity
P6.9-V1,P6.9,P6,Anchor figure,Inverse reflection
P6.9-V2,P6.9,P6,Mechanism figure,Base-exponent-output triangle
P6.9-V3,P6.9,P6,Comparison and error figure,Domain-range swap
P6.10-V1,P6.10,P6,Anchor figure,Log parent features
P6.10-V2,P6.10,P6,Mechanism figure,Transformed boundary
P6.10-V3,P6.10,P6,Comparison and error figure,Base comparison
P6.11-V1,P6.11,P6,Anchor figure,Exponent-to-log derivation
P6.11-V2,P6.11,P6,Mechanism figure,Valid-invalid law gallery
P6.11-V3,P6.11,P6,Comparison and error figure,Expansion-condensation tree
P6.12-V1,P6.12,P6,Anchor figure,Equation method tree
P6.12-V2,P6.12,P6,Mechanism figure,Taking logs steps
P6.12-V3,P6.12,P6,Comparison and error figure,Exact-to-approximate workflow
P6.13-V1,P6.13,P6,Anchor figure,Log candidate filter
P6.13-V2,P6.13,P6,Mechanism figure,Doubling-half-life view
P6.13-V3,P6.13,P6,Comparison and error figure,Logarithmic scale factors
P7.1-V1,P7.1,P7,Anchor figure,System representation triangle
P7.1-V2,P7.1,P7,Mechanism figure,Line solution-count gallery
P7.1-V3,P7.1,P7,Comparison and error figure,Method-choice map
P7.2-V1,P7.2,P7,Anchor figure,Nonlinear intersection gallery
P7.2-V2,P7.2,P7,Mechanism figure,Substitution workflow
P7.2-V3,P7.2,P7,Comparison and error figure,Repeated root as tangency
P7.3-V1,P7.3,P7,Anchor figure,Layered half-planes
P7.3-V2,P7.3,P7,Mechanism figure,Boundary inclusion
P7.3-V3,P7.3,P7,Comparison and error figure,Vertex objective table
P7.4-V1,P7.4,P7,Anchor figure,Three-plane gallery
P7.4-V2,P7.4,P7,Mechanism figure,Elimination ladder
P7.4-V3,P7.4,P7,Comparison and error figure,Parameterized solution line
P7.5-V1,P7.5,P7,Anchor figure,Matrix anatomy
P7.5-V2,P7.5,P7,Mechanism figure,Dimension compatibility
P7.5-V3,P7.5,P7,Comparison and error figure,Row-column dot product
P7.6-V1,P7.6,P7,Anchor figure,System-to-matrix translation
P7.6-V2,P7.6,P7,Mechanism figure,Row-operation meanings
P7.6-V3,P7.6,P7,Comparison and error figure,Forbidden zero scaling
P7.7-V1,P7.7,P7,Anchor figure,Echelon staircase
P7.7-V2,P7.7,P7,Mechanism figure,Forward elimination stages
P7.7-V3,P7.7,P7,Comparison and error figure,Terminal row classifier
P7.8-V1,P7.8,P7,Anchor figure,RREF checklist
P7.8-V2,P7.8,P7,Mechanism figure,Pivot-free map
P7.8-V3,P7.8,P7,Comparison and error figure,Rank classification table
P7.9-V1,P7.9,P7,Anchor figure,Determinant as area scale
P7.9-V2,P7.9,P7,Mechanism figure,Singular collapse
P7.9-V3,P7.9,P7,Comparison and error figure,Inverse verification
P7.10-V1,P7.10,P7,Anchor figure,Basis-vector explorer
P7.10-V2,P7.10,P7,Mechanism figure,Transformation gallery
P7.10-V3,P7.10,P7,Comparison and error figure,Multivariable model pipeline
